university_name,teaching,research,citations,income,international
University of Oxford,0.6444,0.8054,0.5423,0.2674,0.5271000000000001
California Institute of Technology,0.6603999999999999,0.7814,0.5373,0.4924,0.3881
University of Cambridge,0.6534,0.7964,0.5162999999999999,0.20539999999999997,0.5131
Stanford University,0.6673999999999999,0.7734000000000001,0.5573,0.27440000000000003,0.3581000000000001
Massachusetts Institute of Technology,0.6444,0.7334,0.5532999999999999,0.4814000000000001,0.45310000000000006
Princeton University,0.6424,0.7724,0.5462999999999999,0.19839999999999997,0.3741
Harvard University,0.6314,0.7954,0.5492999999999999,0.08539999999999998,0.32610000000000006
Yale University,0.6594,0.7574,0.5312999999999999,0.13640000000000002,0.2501000000000001
The University of Chicago,0.6303999999999998,0.7234,0.5253,0.13940000000000002,0.32310000000000005
Imperial College London,0.5843999999999999,0.6853999999999999,0.5282999999999999,0.31140000000000007,0.5341
University of Pennsylvania,0.6144,0.7134,0.5402999999999999,0.3524,0.21310000000000007
Johns Hopkins University,0.5564,0.7234,0.5412999999999999,0.5253999999999999,0.29510000000000003
University of California,0.5693999999999999,0.7153999999999999,0.5502999999999999,0.07340000000000002,0.2671000000000001
ETH Zurich,0.5573999999999999,0.7373999999999999,0.46129999999999993,0.18039999999999995,0.5451
UCL,0.5174,0.6964,0.5192999999999999,0.039400000000000046,0.5251000000000001
Columbia University,0.5953999999999999,0.6354,0.5402999999999999,0.060399999999999954,0.35609999999999997
University of California,0.5703999999999999,0.6953999999999999,0.5312999999999999,0.1254,0.20409999999999995
University of Toronto,0.5053999999999998,0.7044,0.49429999999999985,0.1174,0.4101
Cornell University,0.5364,0.6694,0.5242999999999999,0.016600000000000004,0.29710000000000014
Duke University,0.5634,0.5774,0.5282999999999999,0.6114000000000002,0.17810000000000004
University of Michigan-Ann Arbor,0.5334,0.6704,0.5073,0.08940000000000003,0.15510000000000013
Northwestern University,0.48139999999999994,0.6474,0.5362999999999999,0.39640000000000003,0.20409999999999995
Tsinghua University,0.6053999999999999,0.7494,0.3042999999999999,0.6124,0.03710000000000002
Peking University,0.6303999999999998,0.7094,0.2902999999999999,0.4784,0.15910000000000002
National University of Singapore,0.5074,0.7134,0.3272999999999999,0.20039999999999997,0.5181
University of Washington,0.4613999999999999,0.6314000000000001,0.5442999999999999,0.08739999999999998,0.16710000000000003
Carnegie Mellon University,0.3984,0.6364000000000001,0.5402999999999999,0.1174,0.3691
London School of Economics and Political Science,0.4293999999999999,0.6394,0.48629999999999984,0.036599999999999966,0.4951000000000001
New York University,0.5074,0.5844,0.5232999999999999,0.0005999999999999894,0.21710000000000007
University of Edinburgh,0.4123999999999999,0.5504,0.5223,0.0014000000000000123,0.5011
University of California,0.36539999999999995,0.5984,0.5352999999999999,0.5154000000000001,0.20010000000000006
LMU Munich,0.4234,0.5794,0.4462999999999999,0.6124,0.2351000000000001
University of Melbourne,0.3984,0.5504,0.45629999999999993,0.3754,0.4941
University of British Columbia,0.35439999999999994,0.5414,0.48329999999999995,0.050399999999999945,0.5071000000000001
University of Hong Kong,0.4343999999999999,0.5814,0.3242999999999998,0.20939999999999998,0.5491
King’s College London,0.35239999999999994,0.49440000000000006,0.5062999999999999,0.06840000000000002,0.5191
The University of Tokyo,0.5984,0.7053999999999999,0.1652999999999999,0.3864,0.05489999999999995
École Polytechnique Fédérale de Lausanne,0.40539999999999987,0.47239999999999993,0.4412999999999999,0.27640000000000003,0.5491
Georgia Institute of Technology,0.3413999999999999,0.5734,0.46229999999999993,0.2284,0.33409999999999995
University of Texas at Austin,0.4214,0.5714,0.49029999999999996,0.07840000000000003,0.04589999999999994
Karolinska Institute,0.2933999999999999,0.5234000000000001,0.5192999999999999,0.3244000000000001,0.3751000000000001
McGill University,0.38939999999999997,0.5284000000000001,0.4052999999999999,0.04039999999999999,0.46710000000000007
Technical University of Munich,0.38539999999999985,0.5134000000000001,0.4132999999999999,0.6124,0.29210000000000014
Heidelberg University,0.4103999999999999,0.4124,0.5203,0.15840000000000004,0.2381000000000001
KU Leuven,0.3264,0.5484000000000001,0.4112999999999999,0.6053999999999999,0.2811
Paris Sciences et Lettres – PSL Research University Paris,0.4553999999999999,0.5234000000000001,0.3282999999999999,0.13440000000000002,0.3501000000000001
The Hong Kong University of Science and Technology,0.3133999999999999,0.47039999999999993,0.45629999999999993,0.3314000000000001,0.5401
University of Illinois at Urbana-Champaign,0.37139999999999995,0.5894,0.4023,0.09139999999999998,0.10609999999999997
Nanyang Technological University,0.3154,0.5134000000000001,0.4073,0.3774,0.5141
Australian National University,0.2834,0.5064000000000001,0.4422999999999999,0.07639999999999997,0.5181
University of Wisconsin-Madison,0.4273999999999999,0.5124,0.4112999999999999,0.07539999999999997,0.03710000000000002
Washington University in St Louis,0.38139999999999996,0.38439999999999996,0.5462999999999999,0.01940000000000003,0.1341000000000001
Brown University,0.37939999999999996,0.37040000000000006,0.5073,0.02260000000000001,0.17710000000000004
University of North Carolina at Chapel Hill,0.3363999999999999,0.4414,0.5273,0.0514,0.05689999999999995
University of California,0.36339999999999995,0.47840000000000005,0.3903,0.1264,0.18710000000000004
University of Manchester,0.3083999999999999,0.4474,0.4102999999999999,0.05940000000000001,0.4731000000000001
University of California,0.21839999999999993,0.4454,0.5223,0.4574,0.24409999999999998
Chinese University of Hong Kong,0.2973999999999999,0.4374,0.4032999999999999,0.16440000000000005,0.5411
