university_name,teaching,research,citations,income,international
University of Oxford,0.6227816750178955,0.7562963493199714,0.5030851825340015,0.19030565497494634,0.493010737294202
California Institute of Technology,0.6387816750178954,0.7322963493199713,0.4980851825340015,0.4153056549749463,0.35401073729420185
University of Cambridge,0.6317816750178955,0.7472963493199714,0.4770851825340014,0.12830565497494628,0.47901073729420185
Stanford University,0.6457816750178954,0.7242963493199714,0.5180851825340016,0.19730565497494634,0.32401073729420193
Massachusetts Institute of Technology,0.6227816750178955,0.6842963493199714,0.5140851825340014,0.4043056549749464,0.4190107372942019
Princeton University,0.6207816750178955,0.7232963493199713,0.5070851825340015,0.12130565497494628,0.34001073729420184
Harvard University,0.6097816750178955,0.7462963493199714,0.5100851825340014,0.008305654974946286,0.2920107372942019
Yale University,0.6377816750178955,0.7082963493199713,0.4920851825340014,0.05930565497494633,0.21601073729420195
The University of Chicago,0.6087816750178954,0.6742963493199714,0.4860851825340015,0.062305654974946334,0.2890107372942019
Imperial College London,0.5627816750178954,0.6362963493199713,0.4890851825340014,0.23430565497494638,0.5000107372942019
University of Pennsylvania,0.5927816750178955,0.6642963493199714,0.5010851825340015,0.2753056549749463,0.17901073729420192
Johns Hopkins University,0.5347816750178955,0.6742963493199714,0.5020851825340014,0.44830565497494623,0.2610107372942019
University of California,0.5477816750178954,0.6662963493199713,0.5110851825340015,0.003694345025053669,0.23301073729420196
ETH Zurich,0.5357816750178954,0.6882963493199713,0.42208518253400146,0.10330565497494626,0.5110107372942019
UCL,0.4957816750178955,0.6472963493199714,0.4800851825340014,0.037694345025053644,0.49101073729420197
Columbia University,0.5737816750178955,0.5862963493199713,0.5010851825340015,0.016694345025053736,0.3220107372942018
University of California,0.5487816750178954,0.6462963493199713,0.4920851825340014,0.04830565497494632,0.1700107372942018
University of Toronto,0.4837816750178954,0.6552963493199714,0.4550851825340014,0.040305654974946314,0.37601073729420187
Cornell University,0.5147816750178955,0.6202963493199714,0.4850851825340014,0.0936943450250537,0.263010737294202
Duke University,0.5417816750178955,0.5282963493199714,0.4890851825340014,0.5343056549749464,0.14401073729420188
University of Michigan-Ann Arbor,0.5117816750178955,0.6212963493199714,0.4680851825340015,0.012305654974946345,0.12101073729420198
Northwestern University,0.45978167501789546,0.5982963493199713,0.4970851825340014,0.31930565497494634,0.1700107372942018
Tsinghua University,0.5837816750178955,0.7002963493199713,0.26508518253400143,0.5353056549749463,0.0030107372942018706
Peking University,0.6087816750178954,0.6602963493199714,0.2510851825340014,0.4013056549749463,0.12501073729420187
National University of Singapore,0.4857816750178955,0.6642963493199714,0.28808518253400145,0.12330565497494628,0.48401073729420185
University of Washington,0.43978167501789545,0.5822963493199714,0.5050851825340015,0.010305654974946288,0.13301073729420188
Carnegie Mellon University,0.3767816750178955,0.5872963493199714,0.5010851825340015,0.040305654974946314,0.33501073729420183
London School of Economics and Political Science,0.4077816750178954,0.5902963493199713,0.44708518253400137,0.11369434502505366,0.46101073729420194
New York University,0.4857816750178955,0.5352963493199714,0.4840851825340014,0.07769434502505368,0.18301073729420192
University of Edinburgh,0.3907816750178954,0.5012963493199714,0.4830851825340015,0.07569434502505368,0.46701073729420184
University of California,0.34378167501789547,0.5492963493199714,0.4960851825340014,0.43830565497494633,0.1660107372942019
LMU Munich,0.4017816750178955,0.5302963493199714,0.40708518253400144,0.5353056549749463,0.20101073729420194
University of Melbourne,0.3767816750178955,0.5012963493199714,0.41708518253400145,0.2983056549749463,0.46001073729420183
University of British Columbia,0.33278167501789546,0.49229634931997135,0.4440851825340015,0.026694345025053745,0.47301073729420196
University of Hong Kong,0.4127816750178954,0.5322963493199714,0.28508518253400134,0.13230565497494629,0.5150107372942019
King’s College London,0.33078167501789546,0.4452963493199714,0.4670851825340014,0.008694345025053674,0.48501073729420185
The University of Tokyo,0.5767816750178956,0.6562963493199713,0.12608518253400142,0.30930565497494633,0.0889892627057981
École Polytechnique Fédérale de Lausanne,0.3837816750178954,0.4232963493199713,0.40208518253400144,0.19930565497494634,0.5150107372942019
Georgia Institute of Technology,0.31978167501789545,0.5242963493199714,0.42308518253400146,0.1513056549749463,0.3000107372942018
University of Texas at Austin,0.3997816750178955,0.5222963493199714,0.4510851825340015,0.0013056549749463353,0.07998926270579809
Karolinska Institute,0.2717816750178954,0.47429634931997144,0.4800851825340014,0.2473056549749464,0.34101073729420195
McGill University,0.3677816750178955,0.47929634931997145,0.3660851825340014,0.0366943450250537,0.4330107372942019
Technical University of Munich,0.3637816750178954,0.46429634931997144,0.3740851825340014,0.5353056549749463,0.258010737294202
Heidelberg University,0.3887816750178954,0.36329634931997135,0.4810851825340015,0.08130565497494635,0.20401073729420194
KU Leuven,0.30478167501789555,0.49929634931997147,0.3720851825340014,0.5283056549749463,0.24701073729420187
