player_name,serve__pct_1st_serve,serve__pct_1st_serve_points_won,serve__pct_2nd_serve_points_won,serve__pct_service_games_won,serve__avg_aces_match,serve__avg_double_faultsmatch
John Isner,0.05490000000000006,0.09560000000000002,0.01440000000000008,0.12490000000000012,0.16569999999999996,0.0015000000000000013
Nick Kyrgios,0.050900000000000056,0.0766,0.0384000000000001,0.13690000000000013,0.1007,0.0085
Reilly Opelka,0.02290000000000003,0.08360000000000001,0.05740000000000001,0.11590000000000011,0.1007,0.0045000000000000005
Hubert Hurkacz,0.0049000000000000155,0.0706,0.032400000000000095,0.11290000000000011,0.0747,0.009500000000000001
Matteo Berrettini,0.01090000000000002,0.0716,0.0045999999999999375,0.08590000000000009,0.0657,0.0045000000000000005
Nicolas Jarry,0.015900000000000025,0.10060000000000002,0.03059999999999996,0.07790000000000008,0.0657,0.0025000000000000022
Novak Djokovic,0.026900000000000035,0.06059999999999999,0.0414000000000001,0.08490000000000009,0.0006999999999999992,0.006500000000000002
Maxime Cressy,0.0131,0.0716,0.023400000000000087,0.0959000000000001,0.08669999999999999,0.0575
Ben Shelton,0.04310000000000003,0.0786,0.022400000000000087,0.1029000000000001,0.0417,0.0225
Stefanos Tsitsipas,0.0019000000000000128,0.05359999999999998,0.031400000000000095,0.07090000000000007,0.017699999999999994,0.0045000000000000005
Felix Auger-Aliassime,0.017900000000000027,0.059599999999999986,0.016599999999999948,0.07090000000000007,0.051699999999999996,0.0085
Casper Ruud,0.023900000000000032,0.036599999999999966,0.028400000000000092,0.060900000000000065,0.0006999999999999992,0.0045000000000000005
Daniil Medvedev,0.01090000000000002,0.05359999999999998,0.010599999999999943,0.07190000000000007,0.033699999999999994,0.014499999999999999
Taylor Fritz,0.010099999999999998,0.05059999999999998,0.005400000000000071,0.049900000000000055,0.045700000000000005,0.0034999999999999996
Brandon Nakashima,0.015900000000000025,0.03759999999999997,0.013400000000000079,0.05190000000000006,0.015700000000000006,0.009500000000000001
Marin Cilic,0.041100000000000025,0.0726,0.005599999999999938,0.06490000000000007,0.0567,0.0085
Arthur Rinderknech,0.027900000000000036,0.03759999999999997,0.03359999999999996,0.048900000000000055,0.0377,0.0075
Thiago Monteiro,0.03290000000000004,0.015599999999999947,0.02440000000000009,0.03290000000000004,0.006699999999999998,0.011500000000000003
Alexander Zverev,0.07289999999999996,0.034599999999999964,0.04159999999999997,0.048900000000000055,0.015700000000000006,0.011500000000000003
Andrey Rublev,0.0121,0.05359999999999998,0.00759999999999994,0.05590000000000006,0.020699999999999996,0.0045000000000000005
Denis Shapovalov,0.0121,0.05459999999999998,0.007400000000000073,0.05890000000000006,0.02869999999999999,0.0315
Carlos Alcaraz,0.027900000000000036,0.00759999999999994,0.033400000000000096,0.05190000000000006,0.019300000000000005,0.0005000000000000004
Pablo Carreno Busta,0.03590000000000004,0.006400000000000072,0.044399999999999995,0.03590000000000004,0.018300000000000004,0.0075
Rafael Nadal,0.01990000000000003,0.01859999999999995,0.029400000000000093,0.04490000000000005,0.009300000000000003,0.010500000000000002
Borna Coric,0.009099999999999997,0.023599999999999954,0.017400000000000082,0.03290000000000004,0.0097,0.0075
Steve Johnson,0.062100000000000044,0.059599999999999986,0.005400000000000071,0.04690000000000005,0.038699999999999984,0.012499999999999997
Lorenzo Sonego,0.05490000000000006,0.0045999999999999375,0.01759999999999995,0.01990000000000014,0.0016999999999999932,0.0075
Karen Khachanov,0.01090000000000002,0.01959999999999995,0.009599999999999942,0.027900000000000036,0.019699999999999995,0.0005000000000000004
Jack Draper,0.041100000000000025,0.04459999999999997,0.011599999999999944,0.05490000000000006,0.023699999999999985,0.005499999999999998
Roberto Bautista Agut,0.03190000000000004,0.0035999999999999366,0.01540000000000008,0.03090000000000004,0.030300000000000007,0.0085
Grigor Dimitrov,9.999999999998899e-05,0.03859999999999997,0.00759999999999994,0.03190000000000004,0.0023000000000000104,0.003499999999999996
Benjamin Bonzi,0.028100000000000014,0.027599999999999958,0.009400000000000075,0.038900000000000046,0.0016999999999999932,0.0005000000000000004
Holger Rune,0.01090000000000002,0.010599999999999943,0.010400000000000076,0.038900000000000046,0.0143,0.009500000000000001
Jannik Sinner,0.04810000000000003,0.03359999999999996,0.011400000000000077,0.03990000000000005,0.004699999999999996,0.003499999999999996
Jan-Lennard Struff,0.05810000000000004,0.04159999999999997,0.0045999999999999375,0.023900000000000032,0.04269999999999999,0.012499999999999997
Cameron Norrie,0.023900000000000032,0.0025999999999999357,0.010599999999999943,0.016900000000000137,0.012300000000000005,0.005500000000000001
