qid,gender,race,weight_lifting_ability
2,573726.6666666666,-1139704.4444444445,-608768.8888888889
2,730160.0,555551.1111111111,-158848.88888888888
2,-802451.1111111111,483971.1111111111,1816668.888888889
2,-824831.1111111111,525740.0,1794833.3333333335
2,-1049351.111111111,-994962.2222222222,225700.0
2,679702.2222222222,566517.7777777778,-688864.4444444444
2,635542.2222222222,492266.66666666674,-687297.7777777778
2,762102.2222222222,489544.4444444445,-631435.5555555556
2,-1414906.666666667,339137.7777777778,-425577.7777777778
2,663057.7777777778,459393.33333333326,-722855.5555555555
2,587306.6666666667,-1187060.0,-379140.0
2,-950526.6666666667,-895993.3333333335,-84977.7777777778
2,718791.1111111111,461413.33333333326,-722855.5555555555
2,697262.2222222222,457024.4444444444,-711700.0
2,710688.8888888889,519708.8888888889,174706.66666666663
2,-1412226.6666666665,429042.2222222222,-433224.44444444444
2,729540.0,441242.2222222222,688422.2222222222
2,663942.2222222222,465440.0,-847202.2222222222
2,511697.7777777778,-1007155.5555555556,-670397.7777777778
2,636664.4444444445,-1183582.2222222222,-201837.7777777778
2,764355.5555555556,565140.0,-18575.55555555555
2,495875.5555555555,-1200962.2222222222,-722100.0
2,608204.4444444445,-1060231.111111111,-468168.8888888889
2,788757.7777777778,538415.5555555555,-493997.7777777778
2,734986.6666666667,524597.7777777778,-758693.3333333333
2,-1199982.2222222222,492388.8888888889,264002.22222222225
2,663780.0,580064.4444444444,491208.8888888889
2,686588.8888888889,465440.0,-852068.8888888889
2,-1217617.7777777778,443620.0,758620.0
2,820475.5555555556,548700.0,-387826.66666666674
2,735844.4444444444,613680.0,-635111.1111111111
2,-904906.6666666667,-752115.5555555556,-360553.3333333334
2,533637.7777777778,-1182908.8888888888,-736073.3333333333
2,531133.3333333333,-1052973.3333333333,-666744.4444444444
2,561217.7777777778,-1065371.111111111,-681891.1111111111
2,-977582.2222222222,-687660.0,-271811.1111111111
2,586553.3333333333,-1087951.111111111,-514135.55555555556
2,485915.5555555555,-1181177.7777777778,-715313.3333333333
2,708040.0,509422.2222222222,-838960.0
2,-1224597.7777777778,430313.3333333334,220182.2222222222
2,-1157331.1111111112,321700.0,-803222.2222222222
2,580471.1111111111,-1050848.8888888888,-101033.33333333334
2,-939920.0,-903364.4444444444,-84977.7777777778
2,725511.1111111111,509651.1111111111,392155.55555555556
2,714253.3333333333,530622.2222222222,-627428.8888888889
2,700995.5555555556,670397.7777777778,-635111.1111111111
2,762006.6666666667,491395.5555555556,-598446.6666666667
2,-1237208.888888889,450488.8888888889,314004.44444444444
2,-1174595.5555555555,571724.4444444444,722080.0
2,715751.1111111111,534491.1111111111,234702.22222222222
2,509115.55555555556,-1080697.7777777778,-890588.8888888889
2,508971.1111111111,-1027608.8888888888,-681891.1111111111
2,586553.3333333333,-1087951.111111111,-514135.55555555556
2,750400.0,477317.7777777778,-723953.3333333333
2,588488.8888888889,-1143791.111111111,-462302.2222222222
2,677662.2222222222,529371.1111111111,-771720.0
2,805022.2222222222,-820924.4444444444,1377060.0
2,735844.4444444444,520317.77777777775,-688837.7777777778
2,-1019528.8888888889,-1016966.6666666667,241700.0
2,681462.2222222222,491913.3333333334,-630915.5555555556
2,-1148704.4444444445,468095.55555555556,587417.7777777778
2,788008.8888888889,517993.3333333334,-274977.7777777778
2,739551.1111111111,506053.33333333326,-25160.0
2,-1193991.111111111,455120.0,460255.55555555556
2,-1160204.4444444445,325726.6666666666,-806313.3333333335
2,-991873.3333333335,-1002464.4444444444,112448.8888888889
2,701337.7777777778,452704.4444444444,-804077.7777777778
2,504211.1111111111,-1026348.8888888889,-961242.2222222222
2,667160.0,475826.66666666674,-1003248.8888888888
2,631191.1111111111,-1171648.8888888888,307184.44444444444
2,803284.4444444444,606888.8888888889,-173791.11111111112
2,-805222.2222222222,519108.8888888889,1874288.8888888888
2,-990124.4444444445,-994526.6666666665,102335.55555555555
2,-1073837.7777777778,-1019448.8888888889,1776495.5555555555
2,604480.0,-1125106.6666666665,-419091.1111111111
2,648462.2222222222,-1126035.5555555555,-241851.1111111111
2,-1191857.7777777778,501153.33333333326,299544.44444444444
2,577004.4444444444,-1175062.2222222222,-323877.7777777778
2,746928.8888888889,524622.2222222222,-657820.0
2,582753.3333333333,-1162388.8888888888,41660.0
2,795926.6666666665,515984.4444444445,-358262.2222222222
2,558291.1111111111,-1047891.1111111111,-677193.3333333333
2,-1011066.6666666667,-1079764.4444444445,262935.55555555556
2,-1238593.3333333335,425951.1111111111,38175.555555555555
2,660457.7777777778,453891.1111111111,-1015768.8888888889
2,-958277.7777777778,-1036262.2222222222,1770544.444444444
2,-1194524.4444444445,439386.66666666674,324060.00000000006
2,613924.4444444444,-1198937.7777777778,30028.888888888887
2,820475.5555555556,507717.7777777778,-358262.2222222222
2,-951804.4444444444,-874906.6666666665,-83051.1111111111
2,-1152271.1111111112,468691.1111111111,553906.6666666666
2,-1174162.2222222222,467284.44444444444,585966.6666666666
2,815277.7777777778,557386.6666666665,-274264.44444444444
2,538366.6666666667,-1058984.4444444445,-670397.7777777778
2,727497.7777777778,515648.8888888889,362151.1111111111
2,649520.0,525444.4444444445,566962.2222222222
2,-964275.5555555556,-781511.1111111111,-219020.0
2,746193.3333333335,571822.2222222222,51342.222222222226
2,610866.6666666667,-1172044.4444444445,-66480.0
2,753271.1111111111,508748.8888888889,-496006.6666666666
2,648462.2222222222,-1134162.2222222222,-242595.55555555556
2,-1276437.7777777778,-1038026.6666666667,615997.7777777778
2,538366.6666666667,-1058984.4444444445,-670397.7777777778
2,759213.3333333333,517993.3333333334,-248997.7777777778
2,718791.1111111111,461413.33333333326,-722855.5555555555
2,-1189888.8888888888,449420.0,323113.3333333334
2,698046.6666666665,510328.8888888888,-3226.666666666665
2,-1196284.4444444445,439417.7777777778,142557.77777777778
2,-1101215.5555555555,-1079613.3333333335,360688.8888888889
2,658122.2222222222,525088.8888888889,516620.00000000006
2,737540.0,473942.2222222222,-632620.0
2,-969644.4444444444,-1025973.3333333335,1771882.2222222222
2,-1193944.4444444445,461331.1111111111,477857.77777777775
2,665382.2222222222,559471.1111111111,502822.22222222225
2,515226.66666666674,-1210711.111111111,-731260.0
2,465406.66666666674,-1050960.0,-890588.8888888889
2,-979606.6666666665,-943813.3333333335,-82715.55555555556
2,-897073.3333333335,-743173.3333333335,-427528.8888888889
2,-1401144.4444444445,341962.2222222222,-437853.3333333334
2,-1259668.8888888888,-1247968.8888888888,752831.1111111111
2,629251.1111111111,-1055713.3333333333,-347546.66666666674
2,645037.7777777778,460882.2222222222,-808944.4444444444
2,696615.5555555556,478313.33333333326,-681564.4444444444
2,777871.1111111111,550666.6666666667,-493706.6666666666
2,-1200164.4444444445,445671.1111111111,341188.8888888889
2,-1336264.4444444445,339340.0,-600666.6666666667
2,668240.0,545120.0,345904.44444444444
2,-1216917.7777777778,482075.5555555555,134922.22222222222
2,728284.4444444444,467880.0,-727157.7777777778
2,-824684.4444444445,-730593.3333333335,-522413.33333333326
2,701337.7777777778,493686.66666666657,-847202.2222222222
2,706173.3333333333,573760.0,131713.3333333333
2,-1051931.111111111,-1017644.4444444444,330897.7777777778
2,-993280.0,-1071004.4444444445,1768582.2222222222
2,596440.0,-1175062.2222222222,-350926.66666666674
2,-823051.1111111111,517808.8888888889,1833066.6666666665
2,662413.3333333333,518300.0,-719671.1111111111
2,643188.8888888889,-1171155.5555555555,298353.3333333333
2,621764.4444444445,-1191800.0,-121082.22222222222
2,803284.4444444444,510697.77777777775,-196626.6666666667
2,316053.33333333326,285668.8888888889,1236942.2222222222
2,-1334355.5555555555,430840.0,-524844.4444444445
2,583260.0,-1136168.8888888888,-517040.0
2,-984933.3333333335,-959728.8888888888,-8344.44444444445
2,-771248.8888888889,460462.2222222222,1937840.0
