player_name,max_sensitivity
John Isner,0.8666666666666666
Nick Kyrgios,0.8666666666666666
Reilly Opelka,0.8666666666666666
Hubert Hurkacz,0.8666666666666666
Matteo Berrettini,0.9999999999999999
Nicolas Jarry,0.8666666666666666
Novak Djokovic,0.9999999999999999
Maxime Cressy,0.8666666666666666
Ben Shelton,0.8666666666666666
Stefanos Tsitsipas,0.6
Felix Auger-Aliassime,0.8666666666666666
Casper Ruud,0.9999999999999999
Daniil Medvedev,0.8666666666666666
Taylor Fritz,0.8666666666666666
Brandon Nakashima,0.8666666666666666
Marin Cilic,0.8666666666666666
Arthur Rinderknech,0.8666666666666666
Thiago Monteiro,0.6
Alexander Zverev,0.6
Andrey Rublev,0.8666666666666666
Denis Shapovalov,0.8666666666666666
Carlos Alcaraz,0.8666666666666666
Pablo Carreno Busta,0.7333333333333333
Rafael Nadal,0.8666666666666666
Borna Coric,0.8666666666666666
Steve Johnson,0.7333333333333333
Lorenzo Sonego,0.6
Karen Khachanov,0.7333333333333333
Jack Draper,0.7333333333333333
Roberto Bautista Agut,0.7333333333333333
Grigor Dimitrov,0.7333333333333333
Benjamin Bonzi,0.8666666666666666
Holger Rune,0.6
Jannik Sinner,0.8666666666666666
Jan-Lennard Struff,0.9999999999999999
Cameron Norrie,0.7333333333333333
Frances Tiafoe,0.9999999999999999
Tallon Griekspoor,0.7333333333333333
Miomir Kecmanovic,0.4666666666666666
Alexander Bublik,0.4666666666666666
Adrian Mannarino,0.4666666666666666
Lorenzo Musetti,0.7333333333333333
Sebastian Korda,0.06666666666666665
Andy Murray,0.7333333333333333
Oscar Otte,0.7333333333333333
Laslo Djere,0.4666666666666666
Daniel Evans,0.6
Tommy Paul,0.7333333333333333
Emil Ruusuvuori,0.4666666666666666
Dominic Thiem,0.9999999999999999
Mackenzie McDonald,0.9999999999999999
Ilya Ivashka,0.3333333333333333
Yoshihito Nishioka,0.6
Filip Krajinovic,0.8666666666666666
Alex Molcan,0.8666666666666666
Botic van de Zandschulp,0.4666666666666666
Marcos Giron,0.6
Sebastian Baez,0.7333333333333333
Marton Fucsovics,0.8666666666666666
Ugo Humbert,0.9999999999999999
Richard Gasquet,0.8666666666666666
Jenson Brooksby,0.9999999999999999
Alex de Minaur,0.8666666666666666
Jiri Lehecka,0.9999999999999999
J.J. Wolf,0.7333333333333333
Alejandro Davidovich Fokina,0.9999999999999999
Dusan Lajovic,0.8666666666666666
Albert Ramos-Vinolas,0.9999999999999999
Taro Daniel,0.7333333333333333
Mikael Ymer,0.9999999999999999
Soonwoo Kwon,0.8666666666666666
Joao Sousa,0.9999999999999999
Jaume Munar,0.8666666666666666
Francisco Cerundolo,0.9999999999999999
Pedro Martinez,0.9999999999999999
Alejandro Tabilo,0.7333333333333333
David Goffin,0.7333333333333333
Aslan Karatsev,0.8666666666666666
Federico Delbonis,0.9999999999999999
Tomas Martin Etcheverry,0.8666666666666666
Federico Coria,0.8666666666666666
Diego Schwartzman,0.8666666666666666
Fabio Fognini,0.8666666666666666
Cristian Garin,0.9999999999999999
Bernabe Zapata Miralles,0.8666666666666666
Nikoloz Basilashvili,0.8666666666666666
