Institution,Count AI,Count Systems,Count Theory,Count Interdisciplinary
Carnegie Mellon University,3.9655680794895893,5.83906902325543,2.100308607100749,3.7540006536085477
Univ. of Illinois at Urbana-Champaign,2.853208265081251,5.010111334250619,1.5246101617243666,2.1427451635981467
Univ. of California - San Diego,2.1023484082778015,3.692750444372701,1.0684693537198284,2.425288157030837
Massachusetts Institute of Technology,1.8983240924225127,3.4502259592901585,1.292313369519336,1.8578983615836724
Georgia Institute of Technology,1.8258758396418566,3.0526208034177476,0.6851195312614966,2.1880229025211757
Stanford University,2.017491337304471,2.2443066364414284,1.1004224651230916,2.316486785130816
University of Michigan,1.8499702725124259,3.326414175058262,0.8820110788908502,1.3789916678612852
University of Washington,1.7313430295504224,2.4988548630389156,1.0025797516287056,2.1255162976593507
Univ. of California - Berkeley,1.521515841100846,2.7407710283209816,1.1291126957118431,1.4545725513320025
Cornell University,2.0198450851855725,2.176430156734751,1.0281036675217627,1.5424615040434493
University of Maryland - College Park,1.6440976990815588,1.6370029895381726,0.47716276238941807,1.9735916946108147
Northeastern University,1.1312554606471057,1.9771625636017742,0.8574495123816139,1.0319991559807127
University of Wisconsin - Madison,0.9118663176901431,2.1839626341189327,0.6956076584859402,0.8140971432614648
Columbia University,1.228724337908763,1.5835388605777847,0.6543544832658018,0.8830633452475218
Purdue University,0.8355394742744592,2.1173459107327517,0.598126634685978,0.719513765770514
University of Texas at Austin,1.1524599093265084,1.8824824679666183,0.8605326335074893,0.4254024298753136
University of Pennsylvania,1.152348996689255,1.5966158269980841,0.5624828546139825,0.826590060208311
Princeton University,0.8431534927552242,1.356269783887731,0.4522511363679176,0.7964127317667857
University of Massachusetts Amherst,1.2502152389103984,1.2654349215502372,0.06049518317606465,0.5696182026839505
New York University,0.9777850449183485,0.7249544953899232,0.6010896731793427,0.6792956473142797
University of Southern California,0.9820667179047335,1.2050502220173709,0.23873054638824392,0.3452452650118897
Univ. of California - Los Angeles,1.1434457634952448,0.9923418024149181,0.6019366523569087,-0.16348650635593043
Stony Brook University,0.7538819703558164,0.8579107728043056,0.3278253430680078,0.5581605910514402
University of Chicago,0.39626963592373093,1.560136467503934,0.21463158430059542,0.3264929197687277
Univ. of California - Irvine,0.5571016156567214,1.3051823432198355,0.10827042723541955,0.4364854657833473
Univ. of California - Santa Barbara,0.7663693813025577,1.182176431189209,0.37724337060693147,0.11289744764000752
Rutgers University,0.9714162669715101,0.3620453482661242,0.11167693397130235,0.4726161862758214
Duke University,0.6494901388723842,0.8304630166517555,0.15929800316287704,0.20539870964615206
Univ. of California - Riverside,0.23472071152374777,1.5922950109490945,0.025033295100956525,-0.06914025275947092
Northwestern University,0.26338547336553403,0.688898666760328,0.10873281216735736,0.4680038503228349
Pennsylvania State University,0.6400023935836815,1.1808661216516867,-0.13148877150739752,-0.04912846197570063
University of Utah,0.2186491434240367,0.5904457122137531,0.024604816462363076,0.5234074458947453
