university_name,teaching,research,citations,income,international
University of Oxford,0.615418918918919,0.7488243243243243,0.4923918918918919,0.1982567567567569,0.48753378378378387
California Institute of Technology,0.6314189189189188,0.7248243243243243,0.4873918918918919,0.4232567567567569,0.34853378378378375
University of Cambridge,0.6244189189189189,0.7398243243243243,0.4663918918918918,0.13625675675675686,0.47353378378378375
Stanford University,0.6384189189189189,0.7168243243243244,0.5073918918918919,0.20525675675675692,0.31853378378378383
Massachusetts Institute of Technology,0.615418918918919,0.6768243243243244,0.5033918918918918,0.412256756756757,0.4135337837837838
Princeton University,0.613418918918919,0.7158243243243243,0.4963918918918918,0.12925675675675685,0.33453378378378373
Harvard University,0.6024189189189189,0.7388243243243243,0.4993918918918918,0.016256756756756863,0.2865337837837838
Yale University,0.6304189189189189,0.7008243243243243,0.4813918918918918,0.06725675675675691,0.21053378378378385
The University of Chicago,0.6014189189189187,0.6668243243243244,0.4753918918918919,0.07025675675675691,0.2835337837837838
Imperial College London,0.5554189189189189,0.6288243243243242,0.4783918918918918,0.24225675675675695,0.49453378378378376
University of Pennsylvania,0.585418918918919,0.6568243243243244,0.4903918918918918,0.2832567567567569,0.1735337837837838
Johns Hopkins University,0.5274189189189189,0.6668243243243244,0.4913918918918918,0.4562567567567568,0.2555337837837838
University of California,0.5404189189189188,0.6588243243243243,0.5003918918918918,0.004256756756756908,0.22753378378378386
ETH Zurich,0.5284189189189188,0.6808243243243243,0.41139189189189185,0.11125675675675684,0.5055337837837838
UCL,0.4884189189189189,0.6398243243243243,0.4693918918918918,0.029743243243243067,0.48553378378378387
Columbia University,0.5664189189189188,0.5788243243243243,0.4903918918918918,0.00874324324324316,0.3165337837837837
University of California,0.5414189189189189,0.6388243243243242,0.4813918918918918,0.0562567567567569,0.1645337837837837
University of Toronto,0.4764189189189188,0.6478243243243244,0.44439189189189177,0.04825675675675689,0.37053378378378377
Cornell University,0.5074189189189189,0.6128243243243243,0.4743918918918918,0.08574324324324312,0.2575337837837839
Duke University,0.534418918918919,0.5208243243243244,0.4783918918918918,0.542256756756757,0.13853378378378378
University of Michigan-Ann Arbor,0.504418918918919,0.6138243243243243,0.4573918918918919,0.020256756756756922,0.11553378378378387
Northwestern University,0.4524189189189189,0.5908243243243243,0.4863918918918918,0.3272567567567569,0.1645337837837837
Tsinghua University,0.5764189189189188,0.6928243243243243,0.2543918918918918,0.5432567567567569,0.0024662162162162327
Peking University,0.6014189189189187,0.6528243243243244,0.2403918918918918,0.4092567567567569,0.11953378378378376
National University of Singapore,0.4784189189189189,0.6568243243243244,0.27739189189189184,0.13125675675675685,0.47853378378378375
University of Washington,0.43241891891891887,0.5748243243243244,0.4943918918918918,0.018256756756756864,0.12753378378378377
Carnegie Mellon University,0.3694189189189189,0.5798243243243244,0.4903918918918918,0.04825675675675689,0.32953378378378373
