,dataset,n_observations,approach,parameter,parameter_value,avg_time,time_0,time_1,time_2,time_3,time_4,agreement_kendall_0,agreement_kendall_1,agreement_kendall_2,agreement_kendall_3,agreement_kendall_4,agreement_jaccard2_0,agreement_jaccard2_1,agreement_jaccard2_2,agreement_jaccard2_3,agreement_jaccard2_4,agreement_euclidean_0,agreement_euclidean_1,agreement_euclidean_2,agreement_euclidean_3,agreement_euclidean_4,fidelity_0,fidelity_1,fidelity_2,fidelity_3,fidelity_4
0,ATP,86,rank,,,3.236316204071045,5.947087049484253,2.5651466846466064,2.5241808891296387,2.610151529312134,2.5350148677825928,,,,,,,,,,,,,,,,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063
1,ATP,86,rank,coalition_size,1.0,0.5530959129333496,0.5574710369110107,0.5491163730621338,0.5495285987854004,0.5633013248443604,0.5460622310638428,0.931782945736434,0.931782945736434,0.931782945736434,0.931782945736434,0.931782945736434,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9617019111785293,0.9617019111785293,0.9617019111785293,0.9617019111785293,0.9617019111785293,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063
2,ATP,86,rank,coalition_size,2.0,1.333951187133789,1.3152656555175781,1.3038153648376465,1.3269016742706299,1.3676159381866455,1.3561573028564453,0.9542635658914729,0.9542635658914729,0.9542635658914729,0.9542635658914729,0.9542635658914729,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9770326401461387,0.9770326401461387,0.9770326401461387,0.9770326401461387,0.9770326401461387,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063
3,ATP,86,rank,coalition_size,3.0,2.0906816005706785,2.0773732662200928,2.1015493869781494,2.1107587814331055,2.1001102924346924,2.0636162757873535,0.9627906976744187,0.9627906976744187,0.9627906976744187,0.9627906976744187,0.9627906976744187,0.9612403100775193,0.9612403100775193,0.9612403100775193,0.9612403100775193,0.9612403100775193,0.9860082234772751,0.9860082234772751,0.9860082234772751,0.9860082234772751,0.9860082234772751,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063
4,ATP,86,rank,coalition_size,4.0,2.456866216659546,2.4192612171173096,2.430729389190674,2.4653379917144775,2.4952332973480225,2.473769187927246,0.9790697674418604,0.9790697674418604,0.9790697674418604,0.9790697674418604,0.9790697674418604,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9912436043968941,0.9912436043968941,0.9912436043968941,0.9912436043968941,0.9912436043968941,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063
5,ATP,86,rank,coalition_size,5.0,2.5266133308410645,2.5666017532348633,2.5407979488372803,2.5080575942993164,2.5131046772003174,2.504504680633545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063
6,ATP,86,rank,sample_size,20.0,0.7928150177001954,0.7868344783782959,0.7964637279510498,0.8007104396820068,0.8030819892883301,0.776984453201294,0.9403100775193798,0.9131782945736434,0.9147286821705427,0.9418604651162791,0.9294573643410852,0.9534883720930233,0.9302325581395349,0.9379844961240309,0.945736434108527,0.945736434108527,0.969043247815031,0.9654203432051033,0.9687476128174951,0.9719540849347864,0.9668552377724441,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063
7,ATP,86,rank,sample_size,50.0,1.6277610778808593,1.581238031387329,1.6666157245635986,1.6554343700408936,1.6189353466033936,1.616581916809082,0.9519379844961241,0.9658914728682172,0.9542635658914729,0.9689922480620156,0.9472868217054263,0.9534883720930233,0.9767441860465116,0.9689922480620156,0.9689922480620156,0.9534883720930233,0.9870083952021095,0.9860182197299376,0.9861260504544326,0.9855165394320768,0.9841208573528629,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063
8,ATP,86,rank,n_jobs,1.0,29.095088529586793,29.082560062408447,29.128944873809814,29.04705023765564,29.119637966156006,29.097249507904053,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063
9,ATP,86,rank,n_jobs,2.0,15.518132543563842,16.379512071609497,14.997003316879272,15.270291090011597,15.361319303512573,15.582536935806274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063
10,ATP,86,rank,n_jobs,4.0,7.792359781265259,8.385368585586548,7.710585594177246,7.589608907699585,7.546893835067749,7.729341983795166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063
11,ATP,86,rank,n_jobs,8.0,4.146247529983521,4.945791959762573,3.910975694656372,3.9343862533569336,3.9634790420532227,3.976604700088501,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063,0.999217050071063
