player_name,serve__pct_1st_serve,serve__pct_1st_serve_points_won,serve__pct_2nd_serve_points_won,serve__pct_service_games_won,serve__avg_aces_match,serve__avg_double_faultsmatch
John Isner,0.05311111111111122,0.07511111111111124,0.015555555555555545,0.10166666666666668,0.15877777777777774,0.0009999999999999974
Nick Kyrgios,0.049111111111111216,0.05611111111111122,0.039555555555555566,0.1136666666666667,0.09377777777777777,0.006000000000000002
Reilly Opelka,0.02111111111111119,0.06311111111111123,0.05855555555555547,0.09266666666666667,0.09377777777777777,0.006999999999999999
Hubert Hurkacz,0.0031111111111111756,0.05011111111111122,0.03355555555555556,0.08966666666666667,0.06777777777777777,0.012
Matteo Berrettini,0.009111111111111181,0.05111111111111122,0.003444444444444472,0.06266666666666665,0.05877777777777776,0.006999999999999999
Nicolas Jarry,0.014111111111111185,0.08011111111111124,0.029444444444444495,0.05466666666666664,0.05877777777777776,0.005000000000000001
Novak Djokovic,0.025111111111111195,0.04011111111111121,0.04255555555555557,0.06166666666666665,0.006222222222222233,0.009000000000000001
Maxime Cressy,0.01488888888888884,0.05111111111111122,0.024555555555555553,0.07266666666666666,0.07977777777777775,0.05500000000000001
Ben Shelton,0.04488888888888887,0.058111111111111224,0.023555555555555552,0.07966666666666666,0.03477777777777777,0.02
Stefanos Tsitsipas,0.00011111111111117289,0.0331111111111112,0.03255555555555556,0.047666666666666635,0.010777777777777761,0.006999999999999999
Felix Auger-Aliassime,0.016111111111111187,0.03911111111111121,0.015444444444444483,0.047666666666666635,0.044777777777777764,0.006000000000000002
Casper Ruud,0.022111111111111192,0.016111111111111187,0.029555555555555557,0.037666666666666626,0.006222222222222233,0.006999999999999999
Daniil Medvedev,0.009111111111111181,0.0331111111111112,0.009444444444444478,0.048666666666666636,0.02677777777777776,0.012
Taylor Fritz,0.011888888888888838,0.0301111111111112,0.006555555555555537,0.026666666666666616,0.03877777777777777,0.005999999999999998
Brandon Nakashima,0.014111111111111185,0.017111111111111188,0.014555555555555544,0.028666666666666618,0.008777777777777773,0.012
Marin Cilic,0.042888888888888865,0.05211111111111122,0.004444444444444473,0.04166666666666663,0.04977777777777777,0.006000000000000002
Arthur Rinderknech,0.026111111111111196,0.017111111111111188,0.0324444444444445,0.025666666666666615,0.030777777777777765,0.009999999999999998
Thiago Monteiro,0.0311111111111112,0.0048888888888888316,0.025555555555555554,0.009666666666666601,0.00022222222222223476,0.014000000000000002
Alexander Zverev,0.07111111111111112,0.014111111111111185,0.040444444444444505,0.025666666666666615,0.008777777777777773,0.009000000000000005
Andrey Rublev,0.01388888888888884,0.0331111111111112,0.006444444444444475,0.03266666666666662,0.013777777777777764,0.006999999999999999
Denis Shapovalov,0.01388888888888884,0.0341111111111112,0.008555555555555538,0.035666666666666624,0.021777777777777757,0.029
Carlos Alcaraz,0.026111111111111196,0.012888888888888839,0.03455555555555556,0.028666666666666618,0.026222222222222237,0.0019999999999999983
Pablo Carreno Busta,0.0341111111111112,0.02688888888888885,0.04555555555555546,0.012666666666666604,0.025222222222222236,0.009999999999999998
Rafael Nadal,0.01811111111111119,0.0018888888888888289,0.030555555555555558,0.021666666666666612,0.016222222222222235,0.008000000000000004
Borna Coric,0.010888888888888837,0.0031111111111111756,0.018555555555555547,0.009666666666666601,0.002777777777777768,0.009999999999999998
Steve Johnson,0.06388888888888888,0.03911111111111121,0.006555555555555537,0.023666666666666614,0.03177777777777775,0.009999999999999998
Lorenzo Sonego,0.05311111111111122,0.01588888888888884,0.016444444444444484,0.0033333333333332993,0.005222222222222239,0.009999999999999998
Karen Khachanov,0.009111111111111181,0.000888888888888828,0.008444444444444477,0.004666666666666597,0.012777777777777763,0.0019999999999999983
Jack Draper,0.042888888888888865,0.024111111111111194,0.010444444444444478,0.03166666666666662,0.016777777777777753,0.002999999999999999
Roberto Bautista Agut,0.0301111111111112,0.016888888888888842,0.016555555555555546,0.0076666666666665995,0.03722222222222224,0.011
Grigor Dimitrov,0.0018888888888888289,0.01811111111111119,0.006444444444444475,0.0086666666666666,0.009222222222222243,0.0009999999999999974
Benjamin Bonzi,0.029888888888888854,0.007111111111111179,0.01055555555555554,0.015666666666666607,0.005222222222222239,0.002999999999999999
Holger Rune,0.009111111111111181,0.009888888888888836,0.011555555555555541,0.015666666666666607,0.021222222222222233,0.007000000000000003
Jannik Sinner,0.04988888888888887,0.013111111111111184,0.012555555555555542,0.016666666666666607,0.0022222222222222365,0.0009999999999999974
Jan-Lennard Struff,0.05988888888888888,0.02111111111111119,0.003444444444444472,0.0006666666666665932,0.035777777777777756,0.009999999999999998
Cameron Norrie,0.022111111111111192,0.017888888888888843,0.009444444444444478,0.006333333333333302,0.019222222222222238,0.008
Frances Tiafoe,0.05788888888888888,0.005111111111111177,0.0014444444444444704,0.00033333333333340764,0.018777777777777768,0.004
Tallon Griekspoor,0.008888888888888835,0.008888888888888835,0.009444444444444478,0.010333333333333306,0.005777777777777757,0.002999999999999999
Miomir Kecmanovic,0.0018888888888888289,0.03988888888888886,0.03155555555555556,0.022333333333333316,0.028222222222222232,0.013000000000000001
Alexander Bublik,0.03788888888888886,0.05211111111111122,0.08444444444444449,0.0043333333333333,0.06477777777777777,0.038000000000000006
Adrian Mannarino,0.027888888888888852,0.02388888888888885,0.024555555555555553,0.020333333333333314,0.01122222222222223,0.005999999999999998
Lorenzo Musetti,0.017111111111111188,0.03788888888888886,0.015555555555555545,0.030333333333333323,0.030222222222222234,0.006999999999999999
Sebastian Korda,0.0018888888888888289,0.027888888888888852,0.015444444444444483,0.01633333333333331,0.006222222222222233,0.004
Andy Murray,0.031888888888888856,0.010111111111111182,0.02544444444444449,0.021333333333333315,0.0007777777777777661,0.0009999999999999974
Oscar Otte,0.06488888888888888,0.0311111111111112,0.0314444444444445,0.010333333333333306,0.017777777777777767,0.012999999999999994
Laslo Djere,0.018888888888888844,0.0048888888888888316,0.028444444444444494,0.005333333333333301,0.0032222222222222374,0.009999999999999998
Daniel Evans,0.010888888888888837,0.01488888888888884,0.005444444444444474,0.029333333333333322,0.02222222222222224,0.004
Tommy Paul,0.011888888888888838,0.021888888888888847,0.005444444444444474,0.018333333333333313,0.025222222222222236,0.002999999999999999
Emil Ruusuvuori,0.037111111111111206,0.03788888888888886,0.01144444444444448,0.03833333333333333,0.028222222222222232,0.002999999999999999
Dominic Thiem,0.0021111111111111747,0.043888888888888866,0.012555555555555542,0.03833333333333333,0.02222222222222224,0.005999999999999998
Mackenzie McDonald,0.01911111111111119,0.043888888888888866,0.014444444444444482,0.043333333333333335,0.012222222222222238,0.006999999999999999
Ilya Ivashka,0.005111111111111177,0.032888888888888856,0.02244444444444449,0.022333333333333316,0.021222222222222233,0.0009999999999999974
Yoshihito Nishioka,0.04111111111111121,0.0898888888888888,0.03355555555555556,0.055333333333333345,0.04222222222222224,0.017
Filip Krajinovic,0.009111111111111181,0.04588888888888876,0.002555555555555533,0.04533333333333334,0.026222222222222237,0.008
Alex Molcan,0.023111111111111193,0.05988888888888877,0.011555555555555541,0.05033333333333334,0.029222222222222233,0.006999999999999999
Botic van de Zandschulp,0.0021111111111111747,0.01588888888888884,0.040444444444444505,0.03933333333333333,0.00022222222222223476,0.011
Marcos Giron,0.022888888888888848,0.027888888888888852,0.005444444444444474,0.04933333333333334,0.015222222222222234,0.013000000000000001
Sebastian Baez,0.09211111111111114,0.0938888888888888,0.004555555555555535,0.07233333333333336,0.048222222222222236,0.008
Marton Fucsovics,0.020888888888888846,0.029888888888888854,0.005444444444444474,0.029333333333333322,0.021222222222222233,0.011
Ugo Humbert,0.0031111111111111756,0.05188888888888876,0.013444444444444481,0.05133333333333334,0.01122222222222223,0.0019999999999999983
Richard Gasquet,0.04688888888888887,0.018888888888888844,0.007444444444444476,0.029333333333333322,0.01422222222222224,0.009000000000000005
Jenson Brooksby,0.025111111111111195,0.06988888888888878,0.005555555555555536,0.06533333333333335,0.03722222222222224,0.015
Alex de Minaur,0.03588888888888886,0.040888888888888864,0.004555555555555535,0.033333333333333326,0.028222222222222232,0.005999999999999998
Jiri Lehecka,0.017111111111111188,0.05988888888888877,0.01244444444444448,0.06133333333333335,0.01422222222222224,0.0009999999999999974
J.J. Wolf,0.031888888888888856,0.016888888888888842,0.0344444444444445,0.05233333333333334,0.002777777777777768,0.002999999999999999
Alejandro Davidovich Fokina,0.04211111111111121,0.07588888888888878,0.005555555555555536,0.07433333333333336,0.03422222222222224,3.469446951953614e-18
Dusan Lajovic,0.046111111111111214,0.07588888888888878,0.01144444444444448,0.08933333333333338,0.030222222222222234,0.013000000000000001
Albert Ramos-Vinolas,0.022111111111111192,0.07088888888888878,0.009444444444444478,0.06933333333333336,0.040222222222222236,0.009999999999999998
Taro Daniel,0.01488888888888884,0.022888888888888848,0.05244444444444446,0.07433333333333336,0.006222222222222233,0.009999999999999998
Mikael Ymer,0.04411111111111121,0.07488888888888878,0.014444444444444482,0.07433333333333336,0.04422222222222223,0.0019999999999999983
Soonwoo Kwon,0.032888888888888856,0.03488888888888886,0.02344444444444449,0.05833333333333335,0.017222222222222236,0.002999999999999999
Joao Sousa,0.02388888888888885,0.04588888888888876,0.017444444444444485,0.06433333333333335,0.029222222222222233,0.004
Jaume Munar,0.0021111111111111747,0.05188888888888876,0.0364444444444445,0.07433333333333336,0.026222222222222237,0.009000000000000005
Francisco Cerundolo,0.01588888888888884,0.06088888888888877,0.01244444444444448,0.06733333333333336,0.038222222222222234,0.0019999999999999983
Pedro Martinez,0.02111111111111119,0.0888888888888888,0.002555555555555533,0.07933333333333337,0.04422222222222223,0.008000000000000004
Alejandro Tabilo,0.007111111111111179,0.04588888888888876,0.05344444444444446,0.09633333333333338,0.005222222222222239,0.004
David Goffin,0.05888888888888888,0.027888888888888852,0.02544444444444449,0.06533333333333335,0.019222222222222238,0.006000000000000002
Aslan Karatsev,0.03788888888888886,0.043888888888888866,0.029444444444444495,0.06633333333333336,0.018222222222222237,0.022000000000000002
Federico Delbonis,0.025111111111111195,0.07188888888888878,0.04244444444444451,0.10033333333333339,0.033222222222222236,0.002999999999999999
Tomas Martin Etcheverry,0.04511111111111121,0.0998888888888888,0.030444444444444496,0.1233333333333334,0.025222222222222236,0.0019999999999999983
Federico Coria,0.03811111111111121,0.0938888888888888,0.027444444444444493,0.1313333333333333,0.039222222222222235,0.0019999999999999983
Diego Schwartzman,0.04111111111111121,0.1008888888888888,0.0334444444444445,0.1183333333333334,0.05322222222222224,0.009999999999999998
Fabio Fognini,0.04488888888888887,0.06788888888888878,0.026444444444444493,0.09633333333333338,0.032222222222222235,0.016999999999999998
Cristian Garin,0.010888888888888837,0.07188888888888878,0.04744444444444451,0.1143333333333334,0.03722222222222224,0.006000000000000002
Bernabe Zapata Miralles,0.017111111111111188,0.10688888888888881,0.030444444444444496,0.1403333333333333,0.04422222222222223,0.006999999999999999
Nikoloz Basilashvili,0.06088888888888888,0.043888888888888866,0.056444444444444464,0.1183333333333334,0.032222222222222235,0.009999999999999998
