university_name,teaching,research,citations,income,international
University of Oxford,242.21,224.63,250.60000000000002,7.67,52.39
Stanford University,242.6833333333333,179.22333333333333,243.25,14.416666666666668,46.31
Harvard University,247.59999999999997,260.5466666666666,199.43666666666667,0.3333333333333333,39.14333333333333
California Institute of Technology,242.11,242.44000000000005,225.9766666666667,18.466666666666665,42.79333333333334
Massachusetts Institute of Technology,164.8033333333333,246.52666666666664,237.48333333333335,13.216666666666665,27.496666666666666
University of Cambridge,259.3833333333333,255.2533333333333,223.84333333333336,5.323333333333333,57.08
University of California Berkeley,227.63666666666666,275.07,268.06,12.51666666666667,31.05333333333333
Yale University,251.15333333333336,301.06333333333333,231.06,4.113333333333333,26.519999999999996
Princeton University,248.38333333333335,264.8266666666667,230.18333333333334,2.1700000000000004,44.82666666666667
The University of Chicago,265.86333333333334,293.22666666666663,211.12,5.366666666666667,38.153333333333336
Imperial College London,229.99666666666667,258.19666666666666,242.68000000000004,8.643333333333334,68.74000000000001
Johns Hopkins University,226.60333333333335,245.89333333333332,223.27999999999997,14.913333333333332,34.3
University of Pennsylvania,244.03999999999996,265.24,250.25666666666666,10.406666666666666,32.096666666666664
ETH Zurich,221.25333333333333,214.39999999999998,214.76333333333332,5.883333333333333,69.29333333333332
University of California Los Angeles,236.14,269.98333333333335,266.98333333333335,3.216666666666667,30.009999999999998
UCL,209.23333333333335,304.1533333333333,216.45999999999998,-0.3366666666666667,45.91333333333334
Columbia University,239.98,243.54666666666668,199.4033333333333,-0.5833333333333334,35.916666666666664
University of Toronto,206.88666666666666,278.64,212.82333333333332,1.6966666666666668,55.69333333333333
Cornell University,229.06,267.2166666666667,203.93,-1.76,40.38666666666667
Duke University,230.1,243.06333333333336,273.4533333333333,19.333333333333336,20.68
Tsinghua University,262.24,336.31000000000006,171.6,19.22,15.943333333333335
University of Michigan-Ann Arbor,224.53333333333333,268.44,150.48333333333332,2.1133333333333333,22.906666666666666
Peking University,254.39666666666668,334.26666666666665,167.18666666666667,20.84,19.17
Northwestern University,213.5,258.1633333333333,255.7,13.166666666666668,12.436666666666667
National University of Singapore,205.42666666666668,267.75666666666666,174.9066666666667,13.453333333333333,51.54666666666667
New York University,235.84333333333333,250.36,239.18666666666667,-4.2,31.269999999999996
London School of Economics and Political Science,198.95,269.1,227.3033333333333,-6.1033333333333335,41.07333333333334
Carnegie Mellon University,148.46,214.11999999999998,291.84999999999997,4.993333333333334,52.24666666666667
University of Washington,202.89666666666665,222.33666666666667,297.42999999999995,-0.22333333333333338,31.203333333333337
University of Edinburgh,194.50666666666666,256.4266666666667,255.95666666666665,-2.4633333333333334,61.55666666666667
University of Melbourne,198.61,235.71666666666664,215.82,8.27,63.27333333333333
LMU Munich,176.32333333333332,256.3666666666667,203.19333333333336,23.023333333333333,33.56333333333333
University of California San Diego,157.77,291.13666666666666,243.62333333333333,20.826666666666668,31.05666666666667
University of British Columbia,183.23000000000002,246.44,203.70333333333335,2.63,69.69
King’s College London,171.22,277.02,260.71999999999997,0.45333333333333337,67.79666666666668
Karolinska Institute,164.75333333333333,249.58666666666664,235.40000000000003,8.78,54.32666666666667
The University of Tokyo,325.5866666666667,272.92,75.69,15.836666666666666,-0.2966666666666669
Georgia Institute of Technology,170.21,265.4666666666667,210.39666666666668,10.719999999999999,45.656666666666666
University of Hong Kong,184.1733333333333,281.3233333333334,205.12,5.5,70.88333333333333
McGill University,160.42,250.33000000000004,273.3233333333333,-1.7266666666666666,61.60000000000001
Technical University of Munich,214.70333333333332,301.5633333333334,146.51333333333335,19.68,41.53666666666667
Heidelberg University,215.9933333333333,198.9766666666667,214.43333333333334,5.876666666666667,34.486666666666665
École Polytechnique Fédérale de Lausanne,223.94,218.81666666666666,257.75333333333333,10.240000000000002,69.05333333333334
University of Texas at Austin,156.86,256.95000000000005,249.26666666666665,-0.15000000000000008,0.5233333333333332
