,pct_1st_serve,matches_1st_serve,standing_player2,standing_player_1st_serve,pct_1st_serve_pw,points_won_1st_serve_pw,total_points_1st_serve_pw,matches_1st_serve_pw,standing_player_1st_serve_pw,pct_1st_serve_rpw,points_won_1st_serve_rpw,total_points_1st_serve_rpw,matches_1st_serve_rpw,standing_player_1st_serve_rpw,pct_2nd_serve_pw,points_won_2nd_serve_pw,total_points_2nd_serve_pw,matches_2nd_serve_pw,standing_player_2nd_serve_pw,pct_2nd_serve_rpw,points_won_2nd_serve_rpw,total_points_2nd_serve_rpw,matches_2nd_serve_rpw,standing_player_2nd_serve_rpw,number_aces,matches_aces,standing_player_aces,pct_break_points_converted,points_won_break_points_converted,total_points_break_points_converted,matches_break_points_converted,standing_player_break_points_converted,pct_break_point_won,points_won_break_point_won,total_points_break_point_won,matches_break_point_won,standing_player_break_point_won,return_standing_player_return,return_rating_return,pct_1st_serve_return_points_won_return,pct_2nd_serve_return_points_won_return,pct_return_games_won_return,pct_break_points_converted_return,pct_return_games_won,games_won_return_games_won,total_games_return_games_won,matches_return_games_won,standing_player_return_games_won,serve_standing_player_serve,serve_rating_serve,pct_1st_serve_serve,pct_1st_serve_points_won_serve,pct_2nd_serve_points_won_serve,pct_service_games_won_serve,avg_aces_match_serve,avg_double_faultsmatch_serve,pct_services_games_won,games_won_services_games_won,total_games_services_games_won,matches_services_games_won,standing_player_services_games_won,under_pressure_standing_player_underpressure,under_pressure_rating_underpressure,pct_break_points_converted_underpressure,pct_break_points_saved_underpressure,pct_tie_breaks_won_underpressure,pct_deciding_sets_won_underpressure
0,0.6877,54.0,Pablo Carreno Busta,1.0,0.7093,1735.0,2446.0,54.0,24.0,0.2829,624.0,2206.0,54.0,36.0,0.5066,689.0,1360.0,54.0,24.0,0.5066,689.0,1360.0,54.0,24.0,186.0,54.0,57.0,0.4272,129.0,302.0,54.0,12.0,0.6554,194.0,296.0,54.0,10.0,30.0,145.4,0.286,0.506,0.231,0.431,0.2271,129.0,568.0,54.0,24.0,18.0,277.2,0.687,0.706,0.539,0.816,3.9,1.5,0.8211,468.0,570.0,54.0,14.0,19.0,219.2,0.431,0.655,0.706,0.4
1,0.6804,50.0,Alejandro Davidovich Fokina,2.0,0.6635,1808.0,2725.0,50.0,40.0,0.3157,765.0,2423.0,50.0,9.0,0.5115,825.0,1613.0,50.0,18.0,0.5115,825.0,1613.0,50.0,18.0,112.0,50.0,86.0,0.3976,163.0,410.0,50.0,24.0,0.5762,223.0,387.0,50.0,37.0,22.0,148.6,0.312,0.516,0.262,0.396,0.2633,163.0,619.0,50.0,9.0,69.0,254.4,0.677,0.662,0.482,0.73,2.3,3.0,0.7316,447.0,611.0,50.0,39.0,27.0,213.1,0.396,0.579,0.6,0.556
2,0.6787,74.0,Alexander Zverev,3.0,0.7734,2915.0,3769.0,74.0,4.0,0.3137,1233.0,3930.0,74.0,11.0,0.5344,1197.0,2240.0,74.0,7.0,0.5344,1197.0,2240.0,74.0,7.0,749.0,74.0,2.0,0.4179,257.0,615.0,74.0,15.0,0.608,197.0,324.0,74.0,23.0,9.0,153.5,0.312,0.536,0.273,0.414,0.2758,257.0,932.0,74.0,7.0,6.0,290.0,0.678,0.773,0.521,0.862,10.4,3.8,0.8633,802.0,929.0,74.0,5.0,15.0,224.4,0.414,0.612,0.676,0.542
3,0.6772,44.0,Dusan Lajovic,4.0,0.6549,1503.0,2295.0,44.0,41.0,0.2913,614.0,2108.0,44.0,31.0,0.4996,632.0,1265.0,44.0,29.0,0.4996,632.0,1265.0,44.0,29.0,141.0,44.0,75.0,0.371,115.0,310.0,44.0,37.0,0.587,189.0,322.0,44.0,34.0,50.0,137.9,0.291,0.5,0.217,0.371,0.217,115.0,530.0,44.0,30.0,54.0,260.9,0.677,0.655,0.515,0.748,3.4,2.0,0.7481,395.0,528.0,44.0,34.0,83.0,159.5,0.371,0.587,0.364,0.273
4,0.6641,51.0,Lloyd Harris,5.0,0.763,1990.0,2608.0,51.0,10.0,0.2619,664.0,2535.0,51.0,41.0,0.4885,741.0,1517.0,51.0,36.0,0.4885,741.0,1517.0,51.0,36.0,576.0,51.0,8.0,0.3898,122.0,313.0,51.0,30.0,0.619,169.0,273.0,51.0,17.0,69.0,132.8,0.264,0.483,0.188,0.393,0.1897,122.0,643.0,51.0,41.0,11.0,284.7,0.664,0.763,0.49,0.839,11.4,2.3,0.838,538.0,642.0,51.0,11.0,54.0,200.7,0.393,0.623,0.391,0.6
5,0.662,51.0,Lorenzo Sonego,6.0,0.7199,1943.0,2699.0,51.0,19.0,0.2938,750.0,2553.0,51.0,26.0,0.4785,735.0,1536.0,51.0,39.0,0.4785,735.0,1536.0,51.0,39.0,311.0,51.0,30.0,0.3855,133.0,345.0,51.0,34.0,0.6117,178.0,291.0,51.0,19.0,54.0,136.5,0.294,0.479,0.209,0.383,0.2104,133.0,632.0,51.0,35.0,20.0,276.7,0.662,0.721,0.514,0.827,6.2,1.9,0.8237,528.0,641.0,51.0,13.0,55.0,199.2,0.383,0.614,0.524,0.471
6,0.659,54.0,Roberto Bautista Agut,7.0,0.6928,1937.0,2796.0,54.0,29.0,0.2906,781.0,2688.0,54.0,33.0,0.5499,976.0,1775.0,54.0,3.0,0.5499,976.0,1775.0,54.0,3.0,178.0,54.0,62.0,0.432,178.0,412.0,54.0,9.0,0.5856,212.0,362.0,54.0,36.0,14.0,152.3,0.288,0.548,0.255,0.432,0.2587,178.0,688.0,54.0,13.0,36.0,267.7,0.662,0.693,0.523,0.783,3.3,1.7,0.7823,539.0,689.0,54.0,25.0,66.0,186.9,0.432,0.587,0.429,0.421
7,0.6583,74.0,Cameron Norrie,8.0,0.7133,2538.0,3558.0,74.0,22.0,0.3167,1066.0,3366.0,74.0,7.0,0.5288,1092.0,2065.0,74.0,11.0,0.5288,1092.0,2065.0,74.0,11.0,347.0,74.0,22.0,0.4522,241.0,533.0,74.0,3.0,0.6039,250.0,414.0,74.0,25.0,5.0,157.8,0.317,0.529,0.28,0.452,0.2799,241.0,861.0,74.0,5.0,31.0,270.1,0.658,0.713,0.498,0.811,4.8,2.7,0.8115,706.0,870.0,74.0,20.0,25.0,214.7,0.452,0.604,0.5,0.591
8,0.6497,49.0,Sebastian Korda,9.0,0.7147,1731.0,2422.0,49.0,21.0,0.3122,735.0,2354.0,49.0,16.0,0.518,720.0,1390.0,49.0,16.0,0.518,720.0,1390.0,49.0,16.0,266.0,49.0,35.0,0.3917,141.0,360.0,49.0,27.0,0.6647,220.0,331.0,49.0,3.0,28.0,146.8,0.312,0.518,0.246,0.392,0.2461,141.0,573.0,49.0,19.0,28.0,270.8,0.65,0.715,0.505,0.809,5.4,2.5,0.809,470.0,581.0,49.0,21.0,22.0,217.6,0.392,0.665,0.476,0.643
9,0.6488,58.0,Novak Djokovic,10.0,0.7649,2414.0,3156.0,58.0,9.0,0.3582,1172.0,3272.0,58.0,1.0,0.5526,1114.0,2016.0,58.0,2.0,0.5526,1114.0,2016.0,58.0,2.0,464.0,58.0,15.0,0.4527,273.0,603.0,58.0,2.0,0.6591,203.0,308.0,58.0,8.0,1.0,171.0,0.358,0.553,0.346,0.453,0.346,273.0,789.0,58.0,1.0,8.0,288.1,0.649,0.765,0.542,0.87,8.1,2.6,0.8696,700.0,805.0,58.0,3.0,7.0,232.3,0.453,0.659,0.478,0.733
