,number_aces,matches_aces,standing_player2,standing_player_aces
75,92,20,Dominic Thiem,76
76,91,14,Michael Mmoh,77
77,90,25,Cristian Garin,78
78,89,24,Daniel Evans,79
79,89,16,Arthur Fils,80
80,86,7,Borna Gojo,81
81,84,20,David Goffin,82
82,83,22,Ilya Ivashka,83
83,82,20,Marco Cecchinato,84
84,81,25,Albert Ramos-Vinolas,85
85,78,32,Roberto Carballes Baena,86
86,74,10,Soonwoo Kwon,87
87,73,28,Dusan Lajovic,88
88,73,7,Feliciano Lopez,89
89,73,4,Milos Raonic,90
90,72,10,Aleksandar Vukic,91
91,68,15,Filip Krajinovic,92
92,68,8,Max Purcell,93
93,67,24,Alex Molcan,94
94,66,12,Gijs Brouwer,95
95,65,18,Constant Lestienne,96
96,64,7,Maximilian Marterer,97
97,62,24,Mikael Ymer,98
98,58,14,Corentin Moutet,99
99,57,16,Taro Daniel,100
100,56,33,Sebastian Baez,101
101,55,32,Bernabe Zapata Miralles,102
102,54,18,Guido Pella,103
103,52,14,Pavel Kotov,104
104,51,25,Jaume Munar,105
105,50,3,Jiri Vesely,106
106,49,6,Aleksandar Kovacevic,107
107,49,9,Andrea Vavassori,108
108,48,16,Fabio Fognini,109
109,48,8,Tomas Machac,110
110,48,23,Yoshihito Nishioka,111
111,47,4,Pablo Carreno Busta,112
112,46,16,Nuno Borges,113
113,46,14,Alexandre Muller,114
114,45,7,Facundo Bagnis,115
115,44,6,Alejandro Tabilo,116
116,43,11,Matteo Arnaldi,117
117,43,15,Federico Coria,118
118,43,4,Benoit Paire,119
119,39,9,Rinky Hijikata,120
120,37,3,Tim van Rijthoven,121
121,36,6,Zizou Bergs,122
122,36,11,Alexander Shevchenko,123
123,36,6,Jack Sock,124
124,35,9,Emilio Gomez,125
125,34,15,Radu Albot,126
126,34,6,Nikoloz Basilashvili,127
127,34,8,Denis Kudla,128
128,33,4,Steve Johnson,129
129,33,6,Sebastian Ofner,130
130,30,8,Elias Ymer,131
131,29,9,Juan Manuel Cerundolo,132
132,29,26,Diego Schwartzman,133
133,29,3,Dominic Stricker,134
134,28,7,Flavio Cobolli,135
135,28,4,Brandon Holt,136
136,28,3,Laurent Lokoli,137
137,28,2,Harold Mayot,138
138,27,3,Enzo Couacaud,139
139,27,6,Hugo Grenier,140
140,26,14,Hugo Dellien,141
141,26,7,Kyle Edmund,142
142,26,8,Hugo Gaston,143
143,26,3,Hamad Medjedovic,144
144,26,2,Giovanni Mpetshi Perricard,145
145,25,7,Jenson Brooksby,146
146,24,4,Rafael Nadal,147
147,24,4,Emilio Nava,148
148,24,4,Alexander Ritschard,149
149,22,4,Giulio Zeppieri,150
150,21,4,Jurij Rodionov,151
151,21,10,Joao Sousa,152
152,21,13,Luca Van Assche,153
153,20,9,Liam Broady,154
154,20,16,Pedro Martinez,155
155,20,3,Thiago Seyboth Wild,156
156,20,5,Abdullah Shelbayh,157
157,19,2,Robin Haase,158
158,18,6,Tomas Barrios Vera,159
159,18,1,Gabriel Diallo,160
160,18,6,Francesco Passaro,161
161,17,4,Jan Choinski,162
162,17,2,Viktor Durasovic,163
163,17,4,John Millman,164
164,16,1,Marin Cilic,165
165,16,3,Oleksii Krutykh,166
166,15,5,Jeremy Chardy,167
167,15,1,Nick Kyrgios,168
168,15,5,Gael Monfils,169
169,14,1,Vasek Pospisil,170
170,14,3,Stefanos Sakellaridis,171
171,13,5,Fabian Marozsan,172
172,12,3,Luciano Darderi,173
173,12,2,Ivan Gakhov,174
174,12,2,Matija Pecotic,175
175,12,3,Leandro Riedi,176
176,11,3,Facundo Diaz Acosta,177
177,11,1,Ernesto Escobedo,178
178,11,1,Ramkumar Ramanathan,179
179,10,2,Geoffrey Blancaneaux,180
180,10,3,Felipe Meligeni Alves,181
181,10,1,Stefano Napolitano,182
182,9,1,Mattia Bellucci,183
183,9,2,George Loffhagen,184
184,9,4,Chun-Hsin Tseng,185
185,8,3,Genaro Alberto Olivieri,186
186,8,1,Kiranpal Pannu,187
187,8,1,Li Tu,188
188,7,1,Alex Michelsen,189
189,7,5,Luca Nardi,190
190,7,1,Alex Rybakov,191
191,7,3,Timofey Skatov,192
192,7,2,Thiago Agustin Tirante,193
193,6,1,Antoine Bellier,194
194,6,1,Liam Krall,195
195,6,1,Martin Landaluce,196
196,6,4,Ryan Peniston,197
197,6,2,Daniel Rincon,198
198,6,4,Juncheng Shang,199
199,6,1,Zachary Svajda,200
