,Label,Score,Score bucket,Feature,Contribution
0,John Isner,314.00000000000006,314.0,Serve Rating,0.0
1,John Isner,314.00000000000006,314.0,% 1st Serve,3.5375000000000183
2,John Isner,314.00000000000006,314.0,% 1st Serve Points Won,8.925000000000006
3,John Isner,314.00000000000006,314.0,% 2nd Serve Points Won,1.462500000000018
4,John Isner,314.00000000000006,314.0,% Service Games Won,11.16250000000002
5,John Isner,314.00000000000006,314.0,Avg. Aces/ Match,15.66249999999998
6,John Isner,314.00000000000006,314.0,Avg. Double Faults/Match,0.10000000000001559
7,Nick Kyrgios,308.1,308.1,Serve Rating,0.0
8,Nick Kyrgios,308.1,308.1,% 1st Serve,3.0875000000000012
9,Nick Kyrgios,308.1,308.1,% 1st Serve Points Won,6.787499999999999
10,Nick Kyrgios,308.1,308.1,% 2nd Serve Points Won,4.162500000000001
11,Nick Kyrgios,308.1,308.1,% Service Games Won,12.51250000000001
12,Nick Kyrgios,308.1,308.1,Avg. Aces/ Match,8.349999999999994
13,Nick Kyrgios,308.1,308.1,Avg. Double Faults/Match,-0.6874999999999738
14,Reilly Opelka,307.0999999999999,307.1,Serve Rating,0.0
15,Reilly Opelka,307.0999999999999,307.1,% 1st Serve,0.28749999999999065
16,Reilly Opelka,307.0999999999999,307.1,% 1st Serve Points Won,7.48749999999998
17,Reilly Opelka,307.0999999999999,307.1,% 2nd Serve Points Won,6.062499999999982
18,Reilly Opelka,307.0999999999999,307.1,% Service Games Won,10.412499999999984
19,Reilly Opelka,307.0999999999999,307.1,Avg. Aces/ Match,8.349999999999994
20,Reilly Opelka,307.0999999999999,307.1,Avg. Double Faults/Match,0.6124999999999843
21,Hubert Hurkacz,299.09999999999997,299.1,Serve Rating,0.0
22,Hubert Hurkacz,299.09999999999997,299.1,% 1st Serve,-1.5125000000000264
23,Hubert Hurkacz,299.09999999999997,299.1,% 1st Serve Points Won,6.187499999999989
24,Hubert Hurkacz,299.09999999999997,299.1,% 2nd Serve Points Won,3.5625
25,Hubert Hurkacz,299.09999999999997,299.1,% Service Games Won,10.11249999999999
26,Hubert Hurkacz,299.09999999999997,299.1,Avg. Aces/ Match,5.7500000000000195
27,Hubert Hurkacz,299.09999999999997,299.1,Avg. Double Faults/Match,1.1124999999999845
28,Matteo Berrettini,292.0,292.0,Serve Rating,0.0
29,Matteo Berrettini,292.0,292.0,% 1st Serve,-0.9124999999999954
30,Matteo Berrettini,292.0,292.0,% 1st Serve Points Won,6.2875000000000085
31,Matteo Berrettini,292.0,292.0,% 2nd Serve Points Won,-0.13749999999999424
32,Matteo Berrettini,292.0,292.0,% Service Games Won,7.412500000000012
33,Matteo Berrettini,292.0,292.0,Avg. Aces/ Match,4.849999999999986
34,Matteo Berrettini,292.0,292.0,Avg. Double Faults/Match,0.6124999999999848
35,Nicolas Jarry,291.8,291.8,Serve Rating,0.0
36,Nicolas Jarry,291.8,291.8,% 1st Serve,-0.4124999999999927
37,Nicolas Jarry,291.8,291.8,% 1st Serve Points Won,9.187500000000007
38,Nicolas Jarry,291.8,291.8,% 2nd Serve Points Won,-2.737499999999999
39,Nicolas Jarry,291.8,291.8,% Service Games Won,6.612500000000007
40,Nicolas Jarry,291.8,291.8,Avg. Aces/ Match,4.849999999999987
41,Nicolas Jarry,291.8,291.8,Avg. Double Faults/Match,0.41249999999999454
42,Novak Djokovic,290.7,290.7,Serve Rating,0.0
43,Novak Djokovic,290.7,290.7,% 1st Serve,0.6874999999999957
44,Novak Djokovic,290.7,290.7,% 1st Serve Points Won,5.187499999999977
45,Novak Djokovic,290.7,290.7,% 2nd Serve Points Won,4.462499999999998
46,Novak Djokovic,290.7,290.7,% Service Games Won,7.312500000000003
47,Novak Djokovic,290.7,290.7,Avg. Aces/ Match,-1.65000000000001
48,Novak Djokovic,290.7,290.7,Avg. Double Faults/Match,0.8125000000000264
49,Maxime Cressy,289.3,289.3,Serve Rating,0.0
50,Maxime Cressy,289.3,289.3,% 1st Serve,-3.312499999999996
51,Maxime Cressy,289.3,289.3,% 1st Serve Points Won,6.287500000000002
52,Maxime Cressy,289.3,289.3,% 2nd Serve Points Won,2.6625000000000045
53,Maxime Cressy,289.3,289.3,% Service Games Won,8.412499999999996
54,Maxime Cressy,289.3,289.3,Avg. Aces/ Match,6.950000000000001
55,Maxime Cressy,289.3,289.3,Avg. Double Faults/Match,-5.587500000000006
56,Ben Shelton,286.59999999999997,286.6,Serve Rating,0.0
57,Ben Shelton,286.59999999999997,286.6,% 1st Serve,-6.312500000000021
58,Ben Shelton,286.59999999999997,286.6,% 1st Serve Points Won,6.987499999999991
59,Ben Shelton,286.59999999999997,286.6,% 2nd Serve Points Won,2.562500000000002
60,Ben Shelton,286.59999999999997,286.6,% Service Games Won,9.11249999999999
61,Ben Shelton,286.59999999999997,286.6,Avg. Aces/ Match,2.4500000000000095
62,Ben Shelton,286.59999999999997,286.6,Avg. Double Faults/Match,-2.087500000000006
63,Stefanos Tsitsipas,286.6,286.6,Serve Rating,0.0
64,Stefanos Tsitsipas,286.6,286.6,% 1st Serve,-1.8125000000000018
65,Stefanos Tsitsipas,286.6,286.6,% 1st Serve Points Won,4.487500000000002
66,Stefanos Tsitsipas,286.6,286.6,% 2nd Serve Points Won,3.4625000000000035
67,Stefanos Tsitsipas,286.6,286.6,% Service Games Won,5.912500000000001
68,Stefanos Tsitsipas,286.6,286.6,Avg. Aces/ Match,0.05000000000003138
69,Stefanos Tsitsipas,286.6,286.6,Avg. Double Faults/Match,0.6124999999999848
70,Felix Auger-Aliassime,286.1,286.1,Serve Rating,0.0
71,Felix Auger-Aliassime,286.1,286.1,% 1st Serve,-0.21249999999999838
72,Felix Auger-Aliassime,286.1,286.1,% 1st Serve Points Won,5.087500000000002
73,Felix Auger-Aliassime,286.1,286.1,% 2nd Serve Points Won,-1.3375000000000077
74,Felix Auger-Aliassime,286.1,286.1,% Service Games Won,5.912499999999992
75,Felix Auger-Aliassime,286.1,286.1,Avg. Aces/ Match,3.4500000000000073
76,Felix Auger-Aliassime,286.1,286.1,Avg. Double Faults/Match,-0.6874999999999746
77,Casper Ruud,284.09999999999997,284.1,Serve Rating,0.0
78,Casper Ruud,284.09999999999997,284.1,% 1st Serve,0.4625000000000015
79,Casper Ruud,284.09999999999997,284.1,% 1st Serve Points Won,2.4999999999999942
80,Casper Ruud,284.09999999999997,284.1,% 2nd Serve Points Won,3.724999999999997
81,Casper Ruud,284.09999999999997,284.1,% Service Games Won,4.7875000000000005
82,Casper Ruud,284.09999999999997,284.1,Avg. Aces/ Match,-2.287500000000014
83,Casper Ruud,284.09999999999997,284.1,Avg. Double Faults/Match,0.7749999999999798
84,Daniil Medvedev,283.09999999999997,283.1,Serve Rating,0.0
85,Daniil Medvedev,283.09999999999997,283.1,% 1st Serve,-0.8375000000000055
86,Daniil Medvedev,283.09999999999997,283.1,% 1st Serve Points Won,4.199999999999986
