,Serve Standing Player,Serve Standing Player2,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2nd Serve Points Won,% Service Games Won,Avg. Aces/ Match,Avg. Double Faults/Match,My score,My Rank,Label,Score,Score bucket,Feature,Contribution,Rank Bucket
27,4,Hubert Hurkacz,"299,1","0,634","0,782","0,553","0,905","13,3","1,6",299.09999999999997,4,Hubert Hurkacz,299.1,299.1,Avg. Double Faults/Match,1.1520833333333331,<10%
28,5,Matteo Berrettini,292,"0,64","0,783","0,516","0,878","12,4","2,1",292.0,5,Matteo Berrettini,292.0,292.0,Serve Rating,0.0,<10%
29,5,Matteo Berrettini,292,"0,64","0,783","0,516","0,878","12,4","2,1",292.0,5,Matteo Berrettini,292.0,292.0,% 1st Serve,-0.7083333333333333,<10%
30,5,Matteo Berrettini,292,"0,64","0,783","0,516","0,878","12,4","2,1",292.0,5,Matteo Berrettini,292.0,292.0,% 1st Serve Points Won,10.589583333333332,<10%
31,5,Matteo Berrettini,292,"0,64","0,783","0,516","0,878","12,4","2,1",292.0,5,Matteo Berrettini,292.0,292.0,% 2nd Serve Points Won,0.502083333333333,<10%
32,5,Matteo Berrettini,292,"0,64","0,783","0,516","0,878","12,4","2,1",292.0,5,Matteo Berrettini,292.0,292.0,% Service Games Won,13.37916666666667,<10%
33,5,Matteo Berrettini,292,"0,64","0,783","0,516","0,878","12,4","2,1",292.0,5,Matteo Berrettini,292.0,292.0,Avg. Aces/ Match,8.310416666666667,<10%
34,5,Matteo Berrettini,292,"0,64","0,783","0,516","0,878","12,4","2,1",292.0,5,Matteo Berrettini,292.0,292.0,Avg. Double Faults/Match,0.9270833333333328,<10%
35,6,Nicolas Jarry,"291,8","0,645","0,812","0,49","0,87","12,4","2,3",291.8,6,Nicolas Jarry,291.8,291.8,Serve Rating,0.0,<10%
36,6,Nicolas Jarry,"291,8","0,645","0,812","0,49","0,87","12,4","2,3",291.8,6,Nicolas Jarry,291.8,291.8,% 1st Serve,-0.1541666666666666,<10%
37,6,Nicolas Jarry,"291,8","0,645","0,812","0,49","0,87","12,4","2,3",291.8,6,Nicolas Jarry,291.8,291.8,% 1st Serve Points Won,14.072916666666666,<10%
38,6,Nicolas Jarry,"291,8","0,645","0,812","0,49","0,87","12,4","2,3",291.8,6,Nicolas Jarry,291.8,291.8,% 2nd Serve Points Won,-2.4416666666666664,<10%
39,6,Nicolas Jarry,"291,8","0,645","0,812","0,49","0,87","12,4","2,3",291.8,6,Nicolas Jarry,291.8,291.8,% Service Games Won,11.897916666666667,<10%
40,6,Nicolas Jarry,"291,8","0,645","0,812","0,49","0,87","12,4","2,3",291.8,6,Nicolas Jarry,291.8,291.8,Avg. Aces/ Match,8.10625,<10%
41,6,Nicolas Jarry,"291,8","0,645","0,812","0,49","0,87","12,4","2,3",291.8,6,Nicolas Jarry,291.8,291.8,Avg. Double Faults/Match,0.5187499999999997,<10%
42,7,Novak Djokovic,"290,7","0,656","0,772","0,562","0,877","5,9","1,9",290.7,7,Novak Djokovic,290.7,290.7,Serve Rating,0.0,<10%
43,7,Novak Djokovic,"290,7","0,656","0,772","0,562","0,877","5,9","1,9",290.7,7,Novak Djokovic,290.7,290.7,% 1st Serve,0.9249999999999996,<10%
44,7,Novak Djokovic,"290,7","0,656","0,772","0,562","0,877","5,9","1,9",290.7,7,Novak Djokovic,290.7,290.7,% 1st Serve Points Won,9.270833333333332,<10%
45,7,Novak Djokovic,"290,7","0,656","0,772","0,562","0,877","5,9","1,9",290.7,7,Novak Djokovic,290.7,290.7,% 2nd Serve Points Won,5.889583333333334,<10%
46,7,Novak Djokovic,"290,7","0,656","0,772","0,562","0,877","5,9","1,9",290.7,7,Novak Djokovic,290.7,290.7,% Service Games Won,13.34375,<10%
47,7,Novak Djokovic,"290,7","0,656","0,772","0,562","0,877","5,9","1,9",290.7,7,Novak Djokovic,290.7,290.7,Avg. Aces/ Match,0.35625,<10%
48,7,Novak Djokovic,"290,7","0,656","0,772","0,562","0,877","5,9","1,9",290.7,7,Novak Djokovic,290.7,290.7,Avg. Double Faults/Match,1.2145833333333325,<10%
49,8,Maxime Cressy,"289,3","0,616","0,783","0,544","0,888","14,5","8,3",289.3,8,Maxime Cressy,289.3,289.3,Serve Rating,0.0,<10%
50,8,Maxime Cressy,"289,3","0,616","0,783","0,544","0,888","14,5","8,3",289.3,8,Maxime Cressy,289.3,289.3,% 1st Serve,-3.687499999999999,<10%
51,8,Maxime Cressy,"289,3","0,616","0,783","0,544","0,888","14,5","8,3",289.3,8,Maxime Cressy,289.3,289.3,% 1st Serve Points Won,10.474999999999996,<10%
52,8,Maxime Cressy,"289,3","0,616","0,783","0,544","0,888","14,5","8,3",289.3,8,Maxime Cressy,289.3,289.3,% 2nd Serve Points Won,3.8104166666666655,<10%
53,8,Maxime Cressy,"289,3","0,616","0,783","0,544","0,888","14,5","8,3",289.3,8,Maxime Cressy,289.3,289.3,% Service Games Won,14.48125,<10%
54,8,Maxime Cressy,"289,3","0,616","0,783","0,544","0,888","14,5","8,3",289.3,8,Maxime Cressy,289.3,289.3,Avg. Aces/ Match,11.5125,<10%
55,8,Maxime Cressy,"289,3","0,616","0,783","0,544","0,888","14,5","8,3",289.3,8,Maxime Cressy,289.3,289.3,Avg. Double Faults/Match,-6.591666666666667,<10%
56,10,Stefanos Tsitsipas,"286,6","0,631","0,765","0,552","0,863","7,6","2,1",286.6,9,Stefanos Tsitsipas,286.6,286.6,Serve Rating,0.0,<10%
57,10,Stefanos Tsitsipas,"286,6","0,631","0,765","0,552","0,863","7,6","2,1",286.6,9,Stefanos Tsitsipas,286.6,286.6,% 1st Serve,-1.8020833333333333,<10%
58,10,Stefanos Tsitsipas,"286,6","0,631","0,765","0,552","0,863","7,6","2,1",286.6,9,Stefanos Tsitsipas,286.6,286.6,% 1st Serve Points Won,9.010416666666666,<10%
59,10,Stefanos Tsitsipas,"286,6","0,631","0,765","0,552","0,863","7,6","2,1",286.6,9,Stefanos Tsitsipas,286.6,286.6,% 2nd Serve Points Won,5.606249999999999,<10%
60,10,Stefanos Tsitsipas,"286,6","0,631","0,765","0,552","0,863","7,6","2,1",286.6,9,Stefanos Tsitsipas,286.6,286.6,% Service Games Won,12.283333333333337,<10%
61,10,Stefanos Tsitsipas,"286,6","0,631","0,765","0,552","0,863","7,6","2,1",286.6,9,Stefanos Tsitsipas,286.6,286.6,Avg. Aces/ Match,2.831249999999999,<10%
62,10,Stefanos Tsitsipas,"286,6","0,631","0,765","0,552","0,863","7,6","2,1",286.6,9,Stefanos Tsitsipas,286.6,286.6,Avg. Double Faults/Match,1.0708333333333324,<10%
63,9,Ben Shelton,"286,6","0,586","0,79","0,543","0,895",10,"4,8",286.59999999999997,10,Ben Shelton,286.6,286.6,Serve Rating,0.0,"10-
20%"
64,9,Ben Shelton,"286,6","0,586","0,79","0,543","0,895",10,"4,8",286.59999999999997,10,Ben Shelton,286.6,286.6,% 1st Serve,-7.389583333333332,"10-
20%"
65,9,Ben Shelton,"286,6","0,586","0,79","0,543","0,895",10,"4,8",286.59999999999997,10,Ben Shelton,286.6,286.6,% 1st Serve Points Won,11.956249999999995,"10-
20%"
66,9,Ben Shelton,"286,6","0,586","0,79","0,543","0,895",10,"4,8",286.59999999999997,10,Ben Shelton,286.6,286.6,% 2nd Serve Points Won,3.8479166666666647,"10-
20%"
67,9,Ben Shelton,"286,6","0,586","0,79","0,543","0,895",10,"4,8",286.59999999999997,10,Ben Shelton,286.6,286.6,% Service Games Won,16.35833333333333,"10-
20%"
68,9,Ben Shelton,"286,6","0,586","0,79","0,543","0,895",10,"4,8",286.59999999999997,10,Ben Shelton,286.6,286.6,Avg. Aces/ Match,5.814583333333333,"10-
20%"
69,9,Ben Shelton,"286,6","0,586","0,79","0,543","0,895",10,"4,8",286.59999999999997,10,Ben Shelton,286.6,286.6,Avg. Double Faults/Match,-2.587499999999999,"10-
20%"
70,11,Felix Auger-Aliassime,"286,1","0,647","0,771","0,504","0,863",11,"3,4",286.1,11,Felix Auger-Aliassime,286.1,286.1,Serve Rating,0.0,"10-
20%"
71,11,Felix Auger-Aliassime,"286,1","0,647","0,771","0,504","0,863",11,"3,4",286.1,11,Felix Auger-Aliassime,286.1,286.1,% 1st Serve,-0.0666666666666666,"10-
20%"
