Institution,Count AI,Count Systems,Count Theory,Count Interdisciplinary,Faculty
Carnegie Mellon University,4.278282007820601,6.0579175781164984,2.1762956988550908,3.924023220507264,0.0
Univ. of Illinois at Urbana-Champaign,3.1349789774655044,5.221259253169496,1.6267611584137076,2.3198005775475075,0.0
Univ. of California - San Diego,2.399860991783018,3.9344080649774638,1.1462894365612915,2.505004390943476,0.0
Massachusetts Institute of Technology,2.192884125200593,3.6848264379316387,1.369703764830201,2.064034459562588,0.0
Georgia Institute of Technology,2.1060411669170165,3.3385379158215405,0.8337544564107995,2.2810685960041677,0.0
Stanford University,2.286089937726946,2.5759967869486484,1.1790464656952624,2.386079254440744,0.0
University of Michigan,2.118766450240039,3.5408524435734403,0.9800238702389783,1.576538136455254,0.0
University of Washington,2.011420994781599,2.7848546078102587,1.1069119266390037,2.172603223753085,0.0
Univ. of California - Berkeley,1.8046959999489212,3.0386964245686934,1.2144388766996572,1.601994358559661,0.0
Cornell University,2.258082111203086,2.5244288834510384,1.088198837157528,1.6514176364906339,0.0
University of Maryland - College Park,1.8856799335987566,1.9711308240515288,0.611922368936383,2.061791074088823,0.0
Northeastern University,1.4234594590460197,2.2332663299269386,0.9025527826946312,1.2036207988737315,0.0
University of Wisconsin - Madison,1.1884635891130875,2.417345161855321,0.7870101570131677,0.9607959703360485,0.0
Columbia University,1.4605855167176416,1.8796816529976696,0.7342113147477484,1.061335066129228,0.0
Purdue University,1.116426160150589,2.329546761802145,0.7071088118432172,0.8876833827459978,0.0
University of Texas at Austin,1.3929011902691393,2.161738098452746,0.9302602908157864,0.5871237644818259,0.0
University of Pennsylvania,1.3853796125808922,1.8719588496952206,0.6459571401858124,0.9999085761199926,0.0
Princeton University,1.0882829914777692,1.6631917579020548,0.5456705834270921,0.9336967947129655,0.0
University of Massachusetts Amherst,1.4394868612399232,1.5588110582558432,0.18659560751832835,0.7477579430004987,0.0
New York University,1.1901521117811495,1.0881657730654335,0.6600172530734111,0.828516475730777,0.0
University of Southern California,1.2147905393441396,1.4647312370366146,0.3438627466872323,0.5516735303057642,0.0
Univ. of California - Los Angeles,1.3244153829012628,1.3032205958800285,0.6564199813526532,0.07000653079700339,0.0
Stony Brook University,0.9760608590329407,1.1815517666043245,0.4145255048726326,0.7082006623521412,0.0
University of Chicago,0.6628973461177605,1.812664976565495,0.3167249363616817,0.511083114845333,0.0
Univ. of California - Irvine,0.8003842444419587,1.5348475265527688,0.24010722699303683,0.572292799831214,0.0
Univ. of California - Santa Barbara,0.9861429921995783,1.4322513743100778,0.4573220238423775,0.3298583311863656,0.0
Rutgers University,1.1472604174214125,0.7087951867956661,0.24458869477262585,0.6209402390673504,0.0
Duke University,0.8472135527439686,1.1194902614327062,0.2507717843225737,0.3864088717462784,0.0
Univ. of California - Riverside,0.4883161352708706,1.780089975827492,0.13146058866313776,0.13955567777762612,0.0
Northwestern University,0.5117674286422863,1.05461321125682,0.2146415624387697,0.6125445970213248,0.0
Pennsylvania State University,0.8480870873758687,1.4064152988861869,0.02695155534261484,0.13553363413577396,0.0
University of Utah,0.4611734365745056,0.8412629697450933,0.13101334211330146,0.6519628164122764,0.0
George Mason University,0.5623113948422712,0.7168123871544156,0.06599466686290023,0.6421124379769193,0.0
Harvard University,0.6919998594115498,0.6415730901982348,0.26237657514043544,0.4665688682049932,0.0
Ohio State University,0.6460519599725572,1.1426066890674869,0.0669739937920122,0.12429344111218761,0.0
Texas A&M University,0.6719353090323366,0.720484758304482,0.007874273815174054,0.612777602071635,0.0
Univ. of California - Santa Cruz,0.694990647743084,0.6738430624667364,0.2265041642561606,0.37262536579477723,0.0
Yale University,0.3806884814816084,0.7544198729049967,0.44417539959181135,0.4192442907593657,0.0
Boston University,0.6912986287563937,0.6893947873395571,0.34954492575570373,0.011978220134593723,0.0
Brown University,0.6106866517110414,0.3381313900391189,0.2124882662651672,0.6696408047052239,0.0
North Carolina State University,0.14236507485299704,1.1938378575980753,0.10329042942791107,0.3907796892371193,0.0
University at Buffalo,0.692905542262717,0.7906641230819846,0.1435603921411192,0.04841293899022853,0.0
Rice University,0.6024463349113538,0.6345811122686956,0.18792475380633666,0.17393555654322568,0.0
University of Colorado Boulder,0.3756665909261026,0.4125271486140733,0.09470776233253024,0.5893096543743976,0.0
University of Illinois at Chicago,0.7936792379369899,0.3182630239950953,0.20865049728079207,0.16977203134007743,0.0
University of North Carolina,0.7533346926792206,0.3196485949216685,0.00534495579637298,0.4263457303878395,0.0
University of Virginia,0.5695530118338192,0.7300516617592596,0.09556743896779223,0.07914924574694625,0.0
Arizona State University,0.6734358919716454,0.5332859745433552,-0.009022817408832581,0.16643809341393118,0.0
University of Minnesota,0.4778092035158148,0.5803969456033493,-0.05338805910970448,0.44099687638117,0.0
Virginia Tech,0.3405343419489364,0.7261018544417384,0.01969420682507278,0.36312659062985875,0.0
Univ. of California - Davis,0.2893673165612197,0.5064339725555331,0.1086142261510105,0.20816640822888638,0.0
Johns Hopkins University,0.7102705933538952,-0.10466599615937447,0.2954521245253584,0.004530350893827723,0.0
Oregon State University,0.5044154192869268,0.08048655329376173,0.1797162856969262,0.17553028431503073,0.0
Indiana University,0.05502916739631308,0.39798009782946575,0.02691640197393337,0.29820042464726465,0.0
University of Central Florida,0.3905262864907921,0.17334451771633286,-0.1296224197460334,0.18639196108759204,0.0
University of Rochester,0.493903361210307,0.0716576171763262,0.0013609123667250034,0.0029691203245107434,0.0
Michigan State University,0.4953288329978223,-0.03951702202852665,-0.06013320195331896,0.0584116697148029,0.0
Rochester Institute of Technology,0.31182657163035804,0.01655734135092081,-0.035580878656675904,0.20128434131732706,0.0
