,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
0,0.0,3.009918072256232e-12,7.094832371684408e-12,4.474004994649228e-12,6.739721645329668e-12,3.937304451432065e-12,3.090885401932971e-12,3.716702280242153e-12,5.634509811840989e-12,5.558460969419746e-12,4.594745354439348e-12,3.739264479850788e-12,2.7131569853567342e-12,6.3045924815468414e-12,2.1644396021846302e-12,3.1498448434210834e-12,2.7228160806491416e-12,4.2031710954358815e-12,2.610855418187014e-12,5.084627135800308e-12,2.6450138250924714e-12,3.242691607436667e-12,2.662023490887441e-12,4.110009145391028e-12,2.672925401663259e-12,4.0601284857345925e-12,4.189527720327558e-12,6.22840865408223e-12,3.3553871370252168e-12,3.1870356619879514e-12,3.204697405647486e-12,5.750218272294547e-12,4.444272994967356e-12,8.001619840042186e-12,6.794631552786056e-12,5.192157038235593e-12,6.173467460716643e-12,5.480896566037312e-12,8.10142119421009e-12,1.033696829596286e-11,5.912654906377585e-12,8.127764152047153e-12,7.892105351310206e-12,8.142931354617015e-12,1.0757222787680933e-11,6.41511099773459e-12,5.870665591068556e-12,4.979277462995992e-12,5.021320603695343e-12,1.8098626782071925e-12,4.928196565053787e-12,5.915318418396582e-12,3.0777246976304166e-12,6.739841499891458e-12,4.764643376862091e-12,2.3132722460263665e-12,3.401444591784548e-12,2.1068999973329878e-12,4.524522794941504e-12,5.11014115643331e-12,2.3336542760144073e-12,6.78255378482366e-12,2.6038070987268684e-12,4.258232285496407e-12,5.345114107682739e-12,2.47509685938331e-12,4.1368723162472534e-12,6.8722817707579174e-12,3.821081885299362e-12,2.616380063120574e-12,5.959230045776525e-12,5.495137416189309e-12,3.62109197992323e-12,7.052064165948734e-12,4.707269206930135e-12,4.901426591246183e-12,5.418176064098627e-12,6.491794681069038e-12,4.543897184439378e-12,7.007882401102097e-12,4.9918143102468016e-12,5.3741649811116565e-12,3.4270265055631666e-12,7.168837466835756e-12,6.28775321931877e-12,5.87881263690547e-12
1,3.009918072256232e-12,0.0,5.732736997075997e-12,3.300010155195742e-12,5.463680931213807e-12,2.607023805778261e-12,1.5384521933270159e-12,3.338976327290983e-12,4.878402420115513e-12,3.890219856042521e-12,3.702766298780965e-12,2.931262223550842e-12,2.914368792664552e-12,4.595822053053954e-12,2.2101876951327257e-12,2.516083898473634e-12,2.968402302291658e-12,1.7986698517571244e-12,3.0597590579187876e-12,6.667859632562013e-12,3.2280230973188536e-12,3.580317606788447e-12,1.4337477740127926e-12,4.8968510378006865e-12,2.1264586615718022e-12,2.7365767321176216e-12,5.911425188370897e-12,7.742412218704449e-12,4.037858765094776e-12,4.369208111599524e-12,2.642072691802137e-12,4.772795474299561e-12,3.014778485808945e-12,8.942840175535377e-12,7.111521201135503e-12,4.648861262553818e-12,6.560753170416198e-12,5.414372945194764e-12,7.764902564544711e-12,1.030014474430513e-11,6.0365195108562616e-12,8.177368367647857e-12,7.41856978564226e-12,6.844190178922426e-12,1.0508463445350241e-11,5.062615745724358e-12,5.441143089955084e-12,3.101972762787059e-12,3.1067866651976274e-12,3.3103361733820913e-12,4.114208107301434e-12,6.374831665694026e-12,3.6756973901506925e-12,5.161006018994367e-12,4.042757139828347e-12,1.7970411047774158e-12,3.0411893141913815e-12,3.713848577799703e-12,4.6956070331534025e-12,3.6024726922168024e-12,3.810046495098029e-12,5.397637319296383e-12,3.5280432430292075e-12,3.909638323700791e-12,4.0913936734375775e-12,1.4162455389965763e-12,5.4217344092451605e-12,5.392265705826508e-12,3.1157116668230636e-12,3.095422975028409e-12,3.87776704415127e-12,5.965428387790878e-12,1.9176757321098645e-12,5.593663917514048e-12,3.0364044322754138e-12,2.7712988539206845e-12,4.3205205290310734e-12,3.840324087903341e-12,3.4838338570271113e-12,6.764993764857442e-12,4.8739709905535205e-12,5.113262215510558e-12,4.464719465223151e-12,7.427574806070542e-12,3.7577165271762244e-12,4.38362832221237e-12
2,7.094832371684408e-12,5.732736997075997e-12,0.0,3.2602376757333757e-12,2.9532262348028195e-12,3.472889834083959e-12,4.916134226144241e-12,4.4470212737512554e-12,2.4900240005061095e-12,2.3990263058375925e-12,3.3408205228813944e-12,4.677271355013719e-12,6.716369269105379e-12,2.7911580227608056e-12,6.685433128133729e-12,6.265907327041733e-12,5.546130844017773e-12,5.913150137217158e-12,7.373434496987351e-12,1.1459245891314923e-11,6.017151773397513e-12,8.20074676910221e-12,6.591002996118819e-12,7.380552109772422e-12,5.334297549263232e-12,5.640169900944575e-12,9.6576638256213e-12,1.1831225735447582e-11,7.521731701555023e-12,6.690385279132849e-12,4.760657539776341e-12,4.7176399192936675e-12,4.166180549733232e-12,7.215000827299881e-12,5.364611771713277e-12,4.214638607135581e-12,5.849471596676089e-12,4.752952024250712e-12,4.781187106881909e-12,6.602758276637192e-12,4.900664295672672e-12,5.517601109420744e-12,4.294712151294539e-12,1.8319880791834335e-12,7.008962967305273e-12,2.7241878605440938e-12,3.713739821966252e-12,3.714908780320534e-12,3.822931226373878e-12,6.1697207640880734e-12,4.119211796217707e-12,4.5938222690575474e-12,8.121923070750338e-12,7.153566978623838e-12,4.530811844296229e-12,6.146305557277451e-12,5.982516667248572e-12,7.811705673605611e-12,7.52585184191404e-12,6.495821950655362e-12,8.717684702481294e-12,2.005644538546379e-12,8.334651146745146e-12,7.403855306620244e-12,4.92159466043972e-12,6.437281902635273e-12,9.501611685869623e-12,1.0162500063177689e-12,4.035182143216944e-12,7.1818122394761354e-12,3.0080724127170145e-12,5.00207955664311e-12,5.5796745395134376e-12,4.401787875031501e-12,4.005948951366644e-12,3.565933599225515e-12,5.7109958027496794e-12,4.16217958386456e-12,3.7175443830707726e-12,3.775008637246203e-12,4.9613592464150535e-12,4.492743232599774e-12,5.140382614162998e-12,4.973007339674174e-12,4.627351945490827e-12,5.9460498516331296e-12
3,4.474004994649228e-12,3.300010155195742e-12,3.2602376757333757e-12,0.0,3.073423835901379e-12,1.409384397927333e-12,2.689157853249816e-12,2.0243860090186352e-12,2.1498820529682747e-12,1.3274794410059196e-12,7.370489629403176e-13,2.180891680524255e-12,4.156401709544645e-12,2.1712400274264244e-12,3.9517931541250555e-12,3.251119326493694e-12,2.739821831659931e-12,3.987430103439131e-12,4.733601362254788e-12,8.865979032570462e-12,3.649147161011499e-12,5.692046053912979e-12,3.8378254263209596e-12,5.1923126154762e-12,2.606365285456942e-12,3.882659339467235e-12,7.344303904775889e-12,9.399919139891866e-12,5.0176594142886285e-12,4.200167104835306e-12,2.7358386726802493e-12,3.656472525061343e-12,2.630927807213882e-12,7.313041702660806e-12,5.2410125405729125e-12,3.297102049858337e-12,5.283572085560513e-12,4.065248416686391e-12,5.8410070406026215e-12,8.06155121846689e-12,4.32642931120899e-12,6.118957078191121e-12,5.4508585638077164e-12,3.990543632388475e-12,8.170673007279545e-12,3.210426773664178e-12,3.1746871320489913e-12,2.163599713545438e-12,1.525930849259807e-12,3.3833177120118015e-12,3.649672865088223e-12,4.399286774248191e-12,5.026887735926315e-12,5.189433681516345e-12,2.671565095735864e-12,3.1710273290130665e-12,3.028579535736792e-12,4.943314803378526e-12,5.593501451378464e-12,3.815978345661538e-12,5.708679165946092e-12,3.2583478712954257e-12,5.404423734022104e-12,4.473598732686581e-12,2.9127399274987498e-12,3.805511939256244e-12,6.5407147357050086e-12,2.810840964891145e-12,2.0873515639960346e-12,4.289819016811288e-12,2.222579494701699e-12,3.883387451867348e-12,3.413771498202943e-12,4.1450654060649525e-12,1.2327455730270368e-12,1.5897748653766314e-12,3.722023337478902e-12,3.971825848258532e-12,1.629421831865771e-12,4.594635473047158e-12,3.4320023234310274e-12,2.6483711207840803e-12,3.0118296532213865e-12,5.353589417581327e-12,3.732777951640977e-12,4.809844271093117e-12
4,6.739721645329668e-12,5.463680931213807e-12,2.9532262348028195e-12,3.073423835901379e-12,0.0,3.729422158415654e-12,4.627046439139489e-12,4.4534877905795544e-12,3.622318712689532e-12,2.4375655030529188e-12,2.7591024944539633e-12,3.731641649971775e-12,5.373601287075061e-12,3.5896405228301287e-12,6.512107698552574e-12,5.294549490614173e-12,5.137081475913874e-12,5.277280830355054e-12,7.062980647258863e-12,1.0275597735699048e-11,5.1916319306286075e-12,7.073723263892865e-12,6.141917598179417e-12,5.646271416882411e-12,4.325332242785134e-12,4.788952616091838e-12,8.262997982512369e-12,1.01971374080195e-11,5.966663898901801e-12,5.251405962404762e-12,3.8882467064958104e-12,2.490915973635934e-12,3.099302381657908e-12,6.73362122940461e-12,3.963631313171727e-12,2.4412908341551442e-12,5.269909186277725e-12,3.100181907489828e-12,5.071164959741616e-12,6.935421252081116e-12,4.055973118655185e-12,5.6199573551793085e-12,4.731766508932054e-12,2.76553602251855e-12,7.765097620941355e-12,2.6240873295380502e-12,3.582854939951609e-12,2.9884721307314328e-12,3.446007738078126e-12,5.585100937710568e-12,4.1624949510397644e-12,3.931529976373831e-12,7.63903170092978e-12,7.723962317801671e-12,3.6885313000289596e-12,5.5412494231878695e-12,6.0057129975822375e-12,6.694790819258255e-12,6.152315427121343e-12,6.295585069095723e-12,8.170648290992771e-12,3.0795286126207287e-12,7.203487721925436e-12,7.16596351888522e-12,4.691067501021839e-12,6.0870417508906054e-12,8.242356988273673e-12,2.7684189377323136e-12,3.847154231634357e-12,6.372724662954952e-12,3.846261748329551e-12,5.137769387962858e-12,5.84467076125059e-12,5.965394534570014e-12,3.762979588490178e-12,3.22498746087881e-12,5.6876627033525274e-12,4.324118140627795e-12,3.1687019564406766e-12,3.477538719031258e-12,4.629751651063884e-12,3.57139447186818e-12,4.495529263017471e-12,3.9794453239635775e-12,4.2315429930127756e-12,5.96932022762732e-12
5,3.937304451432065e-12,2.607023805778261e-12,3.472889834083959e-12,1.409384397927333e-12,3.729422158415654e-12,0.0,1.6676424384754753e-12,1.6542680122707995e-12,2.3234204224613533e-12,1.9648016328465436e-12,1.91060700538609e-12,1.945486252309937e-12,3.9386121554737166e-12,2.7566127918632306e-12,3.314085881956831e-12,3.2059574852816106e-12,2.3743187139317676e-12,3.2663642607393326e-12,3.9476516428793875e-12,8.307602949874252e-12,3.2119361126683607e-12,5.4386929438659e-12,3.1860216512521393e-12,5.090700277760245e-12,2.422856960490833e-12,3.698591645404016e-12,6.943249684302925e-12,9.160017559781058e-12,4.7610393069245475e-12,4.2251908630869664e-12,2.152229137722541e-12,4.13948318499408e-12,2.6635782230108726e-12,7.141304454623822e-12,5.577611123970237e-12,3.5353910478701434e-12,4.8972840434914665e-12,4.100120964278954e-12,5.5175279074159725e-12,7.958357777406679e-12,4.1482796926274915e-12,5.9200449065469826e-12,5.124387707571254e-12,4.491799185361934e-12,8.104287352759393e-12,2.9479560956025456e-12,3.1263557397805337e-12,2.5428298422469774e-12,1.8606996608619862e-12,3.287471692984559e-12,2.619195843630558e-12,4.465171762763134e-12,4.811817230630287e-12,5.447819705753039e-12,3.5044670771842494e-12,3.0206675148784767e-12,3.1431056894991153e-12,4.79449471646383e-12,5.668029287382891e-12,3.988772003333187e-12,5.3880132848118e-12,3.056622383498016e-12,5.080057576447085e-12,4.42640180804713e-12,2.8223129548768836e-12,3.0100522578954702e-12,6.342866595898856e-12,3.3260990435826674e-12,1.4128906016801456e-12,3.82799911870391e-12,2.5384978298045676e-12,3.8945002263427885e-12,2.4414149139597575e-12,3.918770413385387e-12,2.0117772537715948e-12,1.6348660387425091e-12,3.3882385136010288e-12,3.677839485148321e-12,1.6015450425905262e-12,4.627002793728349e-12,3.1188536651750434e-12,3.5008059142599968e-12,3.245306229902822e-12,5.596046212265213e-12,3.286734453948643e-12,3.88892184400261e-12
6,3.090885401932971e-12,1.5384521933270159e-12,4.916134226144241e-12,2.689157853249816e-12,4.627046439139489e-12,1.6676424384754753e-12,0.0,2.3117003140834136e-12,3.889986245839677e-12,3.2345541162109113e-12,3.0823799224026282e-12,2.021790641273249e-12,2.8600205696635114e-12,4.079505486528942e-12,2.3469432001254725e-12,2.7087991555958634e-12,2.1963012737372637e-12,1.9691137908567697e-12,2.9051033095336513e-12,6.873016379747571e-12,2.745601858744822e-12,4.301853643903392e-12,1.952583849056136e-12,4.4553919205550294e-12,1.7354124483728941e-12,3.0692485447314626e-12,5.7889831461774534e-12,7.973606613601431e-12,3.792914127967924e-12,3.820976181631597e-12,1.6303511069818222e-12,4.295135333552161e-12,2.725818267744975e-12,7.602183031892268e-12,6.159106408317217e-12,3.866057736353138e-12,5.243073614623234e-12,4.283176128823802e-12,6.335427906181914e-12,8.90084040545808e-12,4.628900988706826e-12,6.709254397449223e-12,6.003190514265538e-12,5.903288941195347e-12,9.190831148071416e-12,3.86859036534167e-12,4.1493262331504266e-12,3.0546727222713455e-12,2.6831433463416198e-12,3.0763464502476476e-12,2.6915598928439804e-12,5.129114640123006e-12,4.138116954474762e-12,5.846225420104312e-12,4.095858255597886e-12,2.2775970535934368e-12,3.347191789659196e-12,3.803255908629369e-12,5.067838658391876e-12,4.115435064458152e-12,4.461303138769017e-12,4.243290781792081e-12,3.901571981128647e-12,4.265079751007691e-12,3.4010586560492858e-12,1.688761436113452e-12,5.444296956629127e-12,4.763371663556351e-12,1.7593933467358239e-12,2.836765678359635e-12,3.665794577296366e-12,4.826693321428604e-12,1.7654663627671756e-12,5.068794944589348e-12,2.8998501740454026e-12,2.286049098632659e-12,3.68365529570347e-12,3.840587010347246e-12,2.521135395316382e-12,5.578009386407908e-12,3.5213110133338056e-12,4.504504713211103e-12,3.6625152592608796e-12,6.289246516673126e-12,3.305024441761335e-12,3.4169940322807196e-12
7,3.716702280242153e-12,3.338976327290983e-12,4.4470212737512554e-12,2.0243860090186352e-12,4.4534877905795544e-12,1.6542680122707995e-12,2.3117003140834136e-12,0.0,2.40007831661681e-12,2.9298840058177667e-12,2.370914060860848e-12,2.016389588058951e-12,4.127757964175609e-12,3.289713112836974e-12,2.9488465202152104e-12,3.1134422755779163e-12,1.293422002729898e-12,4.0851696655496964e-12,3.3357389640518586e-12,8.010801364017272e-12,3.2230143304282953e-12,5.841214482371815e-12,3.2031846557699995e-12,5.044172858188281e-12,2.7230385783884832e-12,4.747255078025988e-12,6.793100709820736e-12,9.094469609298724e-12,4.676407744493887e-12,3.856329552708111e-12,2.744571917763205e-12,4.944948646511933e-12,3.865300236392458e-12,6.755225117667386e-12,5.838136673232404e-12,4.264558877285859e-12,4.518314383599542e-12,4.396439755245114e-12,5.475403779344689e-12,7.817662293782755e-12,3.768154909634007e-12,5.473208810948605e-12,5.1543105046283526e-12,5.050334635243312e-12,7.651407123586309e-12,3.614868273631431e-12,2.7542674865003315e-12,3.843477970164395e-12,2.4787657853426604e-12,2.883052870740642e-12,3.179708513730752e-12,4.386897985926848e-12,4.1141835644260095e-12,5.52272283863379e-12,4.28543869354501e-12,3.074113691995339e-12,2.7332169520767155e-12,4.444432032615446e-12,6.340876367222631e-12,3.863340496005413e-12,4.966525995450868e-12,3.6723169323707626e-12,4.8284502776801345e-12,3.7360496505877876e-12,2.3457812724204074e-12,3.054375206922523e-12,5.576778301512141e-12,4.332143573436107e-12,1.4000396745075605e-12,3.1025911816602223e-12,3.553395734355782e-12,2.878496233202347e-12,2.6503910764574282e-12,3.96108297660902e-12,2.5283343117613367e-12,2.6817505712729983e-12,2.6515337655623513e-12,5.127716709775497e-12,1.8771242737282555e-12,4.9697372475195925e-12,1.9898241551421994e-12,3.3316499521122156e-12,2.785436278597597e-12,5.7835385335022015e-12,4.1780154543197514e-12,3.821372555309418e-12
8,5.634509811840989e-12,4.878402420115513e-12,2.4900240005061095e-12,2.1498820529682747e-12,3.622318712689532e-12,2.3234204224613533e-12,3.889986245839677e-12,2.40007831661681e-12,0.0,2.2608661489005825e-12,2.3434126005662753e-12,3.3801825630105293e-12,5.82613847929035e-12,2.332269266492348e-12,5.1045856972525775e-12,4.898644669343832e-12,3.622625330973361e-12,5.459595106190164e-12,5.614043075462877e-12,1.0173771127694368e-11,4.7458297729266674e-12,7.494538554313165e-12,5.263409762389363e-12,6.431836611891117e-12,4.312824668462377e-12,5.629418040657417e-12,8.597966406697596e-12,1.0905708417493206e-11,6.4259624573719326e-12,5.373150289267282e-12,3.950566492313007e-12,5.077532622668897e-12,4.266002961758648e-12,6.468671174810107e-12,5.38580144891023e-12,4.302745497057766e-12,4.707612405538549e-12,4.547140429759086e-12,4.461529466439468e-12,6.514448624764795e-12,3.817142447406722e-12,4.676450928807644e-12,4.036958417515617e-12,3.0354398977712303e-12,6.33625662917774e-12,2.7813369256279248e-12,2.193633122994637e-12,3.927109984676687e-12,2.9196649745463497e-12,4.574725541937289e-12,3.542552597730375e-12,3.984516879718656e-12,6.282805141208717e-12,6.110452708515211e-12,4.385862088723366e-12,4.90653297456828e-12,4.258279710637551e-12,6.455639535252171e-12,7.341251072040844e-12,5.09504229774185e-12,7.097607083988915e-12,2.240768364589826e-12,6.9580530027984295e-12,5.527912887846593e-12,3.2350847675689227e-12,5.1081252825979545e-12,7.742633924382805e-12,2.5969729475746936e-12,2.650848211208255e-12,5.442887218580704e-12,2.9819100737885397e-12,2.852844569088171e-12,4.293277723439405e-12,3.227021965882543e-12,3.0039071289861517e-12,3.075066095984536e-12,3.866449488444405e-12,5.0237532145295e-12,2.410154256455582e-12,3.872294937945842e-12,3.0182597554281308e-12,3.237767906296839e-12,3.649811195681218e-12,5.06171813826373e-12,4.5462076784388884e-12,4.9233997867471195e-12
9,5.558460969419746e-12,3.890219856042521e-12,2.3990263058375925e-12,1.3274794410059196e-12,2.4375655030529188e-12,1.9648016328465436e-12,3.2345541162109113e-12,2.9298840058177667e-12,2.2608661489005825e-12,0.0,1.6678240757884626e-12,2.9740436549046634e-12,4.911592932531466e-12,1.5032639500541212e-12,4.8487552907100866e-12,4.250566181900129e-12,3.8213989787594495e-12,4.117397435408756e-12,5.6569198469289195e-12,9.752353709844041e-12,4.637509458533425e-12,6.455045140835568e-12,4.619161761676735e-12,5.995128278104307e-12,3.4498148677603087e-12,4.133331591359579e-12,8.20934890821216e-12,1.0254212452561536e-11,5.866863206823773e-12,5.209591573768414e-12,3.340699623213462e-12,3.5731752297319537e-12,2.7626500988906525e-12,7.64067058106718e-12,5.472120222832553e-12,3.4459491339993464e-12,5.696833712303282e-12,4.207229080488862e-12,5.632287210286514e-12,7.860516906599734e-12,4.606312155573822e-12,6.099155806457546e-12,5.1796957187645685e-12,3.1161005393725975e-12,8.008431319309325e-12,2.6669878712423965e-12,3.3821535673495145e-12,2.093196671867414e-12,1.6832515961864417e-12,4.627853804999428e-12,3.663204435205904e-12,4.69790739454446e-12,6.127614432257217e-12,5.522119453202725e-12,3.197852820371333e-12,4.106912426365953e-12,4.127342085186985e-12,5.953059173558883e-12,6.18129709431354e-12,4.48365415747128e-12,6.83104714788389e-12,2.4886448677497972e-12,6.398452130256951e-12,5.464919016815869e-12,3.3377967174367968e-12,4.578696811819495e-12,7.621722694471289e-12,1.8788985698933132e-12,2.5833676667711717e-12,5.270119947773812e-12,1.5641626404848873e-12,4.591931562861068e-12,3.902348315524924e-12,4.025937899718039e-12,1.8239232048188505e-12,1.372727373987282e-12,4.1827979772035994e-12,3.1755457787558876e-12,2.2142043957568435e-12,4.542030158183698e-12,3.902658806042498e-12,3.4331789763578355e-12,4.0600290056976845e-12,5.420952146250697e-12,3.2012611713298932e-12,4.7189667522033714e-12
