serve_standing_player_serve,standing_player2,serve_rating_serve,pct_1st_serve_serve,pct_1st_serve_points_won_serve,pct_2nd_serve_points_won_serve,pct_service_games_won_serve,avg_aces_match_serve,avg_double_faultsmatch_serve
1,John Isner,314.8,0.687,0.793,0.56,0.922,20.6,2.0
2,Reilly Opelka,300.6,0.657,0.771,0.548,0.883,17.1,2.4
3,Matteo Berrettini,295.9,0.643,0.791,0.528,0.898,11.5,1.6
4,Nick Kyrgios,293.7,0.677,0.771,0.513,0.856,14.4,2.4
5,Borna Coric,293.0,0.667,0.762,0.573,0.858,9.0,2.0
6,Alexander Zverev,290.0,0.678,0.773,0.521,0.862,10.4,3.8
7,Stefanos Tsitsipas,288.5,0.628,0.761,0.571,0.878,6.8,2.1
8,Novak Djokovic,288.1,0.649,0.765,0.542,0.87,8.1,2.6
9,Hubert Hurkacz,286.2,0.634,0.753,0.536,0.857,9.9,1.7
10,Daniil Medvedev,285.8,0.618,0.784,0.527,0.869,9.3,3.3
11,Lloyd Harris,284.7,0.664,0.763,0.49,0.839,11.4,2.3
12,Maxime Cressy,284.2,0.611,0.792,0.506,0.85,16.7,8.4
13,Casper Ruud,282.4,0.638,0.736,0.567,0.853,4.9,1.9
14,Ugo Humbert,280.3,0.632,0.753,0.521,0.839,8.9,3.1
15,Andrey Rublev,279.7,0.604,0.768,0.515,0.854,7.5,1.9
16,Felix Auger-Aliassime,278.1,0.629,0.767,0.503,0.833,9.1,4.2
17,Arthur Rinderknech,277.8,0.639,0.756,0.477,0.83,10.0,2.4
18,Pablo Carreno Busta,277.2,0.687,0.706,0.539,0.816,3.9,1.5
19,Ilya Ivashka,276.7,0.611,0.736,0.543,0.83,7.1,2.4
20,Lorenzo Sonego,276.7,0.662,0.721,0.514,0.827,6.2,1.9
21,Tallon Griekspoor,276.3,0.666,0.708,0.519,0.814,9.5,3.9
22,Alexei Popyrin,274.9,0.592,0.747,0.524,0.829,9.5,3.8
23,Karen Khachanov,274.1,0.628,0.723,0.525,0.815,7.4,2.4
24,Taylor Fritz,274.0,0.589,0.751,0.515,0.821,9.5,3.1
25,Denis Shapovalov,273.0,0.596,0.767,0.502,0.845,7.9,5.9
26,Frances Tiafoe,271.3,0.606,0.717,0.528,0.816,7.1,2.5
27,Grigor Dimitrov,271.1,0.644,0.735,0.508,0.809,5.0,3.5
28,Sebastian Korda,270.8,0.65,0.715,0.505,0.809,5.4,2.5
29,Marin Cilic,270.1,0.581,0.771,0.476,0.803,11.0,4.0
30,Botic van de Zandschulp,270.1,0.621,0.75,0.488,0.816,7.0,4.4
31,Cameron Norrie,270.1,0.658,0.713,0.498,0.811,4.8,2.7
32,Mackenzie McDonald,269.9,0.647,0.698,0.522,0.793,6.3,2.4
33,Nicolas Jarry,268.5,0.589,0.733,0.508,0.795,13.3,7.3
34,Jannik Sinner,268.4,0.596,0.71,0.542,0.808,4.8,2.0
35,Alexander Bublik,268.3,0.573,0.77,0.459,0.812,13.6,6.7
36,Roberto Bautista Agut,267.7,0.662,0.693,0.523,0.783,3.3,1.7
37,James Duckworth,267.6,0.571,0.729,0.521,0.8,7.4,1.9
