pct_1st_serve_rpw,points_won_1st_serve_rpw,total_points_1st_serve_rpw,matches_1st_serve_rpw,standing_player2,standing_player_1st_serve_rpw
0.3458,831,2403,46,Novak Djokovic,1
0.3207,812,2532,51,Andrey Rublev,2
