pct_1st_serve_pw,points_won_1st_serve_pw,total_points_1st_serve_pw,matches_1st_serve_pw,standing_player2,standing_player_1st_serve_pw
0.7876,2043,2594,47,Nick Kyrgios,1
0.7842,1941,2475,51,Marin Cilic,2
0.784,1982,2528,55,Alexander Bublik,3
0.7827,2179,2784,53,Maxime Cressy,4
0.7823,2540,3247,62,Hubert Hurkacz,5
0.7717,1832,2374,49,Novak Djokovic,6
0.7709,3183,4129,81,Felix Auger-Aliassime,7
0.766,2301,3004,57,Denis Shapovalov,8
0.7651,2590,3385,71,Andrey Rublev,9
0.7645,3172,4149,83,Stefanos Tsitsipas,10
0.7645,2438,3189,64,Daniil Medvedev,11
0.7625,2510,3292,62,Taylor Fritz,12
0.7501,1645,2193,48,Grigor Dimitrov,13
0.7485,2164,2891,58,Brandon Nakashima,14
0.7477,2730,3651,70,Casper Ruud,15
0.7445,2142,2877,59,Jannik Sinner,16
0.7418,1560,2103,44,Andy Murray,17
0.7372,2252,3055,59,Frances Tiafoe,18
0.7313,2403,3286,61,Karen Khachanov,19
0.7275,1655,2275,44,Laslo Djere,20
0.7274,1945,2674,47,Rafael Nadal,21
0.7217,2220,3076,63,Holger Rune,22
0.7189,2637,3668,67,Carlos Alcaraz,23
0.7167,1799,2510,55,Daniel Evans,24
0.7158,2163,3022,62,Botic van de Zandschulp,25
0.7158,2111,2949,52,Lorenzo Sonego,26
0.7146,1805,2526,53,Roberto Bautista Agut,27
0.7141,2660,3725,72,Cameron Norrie,28
0.7099,2205,3106,62,Tommy Paul,29
0.7083,1666,2352,52,Adrian Mannarino,30
0.705,2261,3207,61,Pablo Carreno Busta,31
0.7039,1983,2817,55,Sebastian Korda,32
0.7038,1497,2127,46,Marcos Giron,33
0.7036,1605,2281,48,David Goffin,34
0.6942,2027,2920,60,Emil Ruusuvuori,35
0.6939,1997,2878,59,Lorenzo Musetti,36
0.6918,2036,2943,61,Miomir Kecmanovic,37
0.6914,2142,3098,65,Alex de Minaur,38
0.6878,1630,2370,46,Aslan Karatsev,39
0.6877,1973,2869,54,Mackenzie McDonald,40
0.6718,1539,2291,44,Alex Molcan,41
0.6619,1429,2159,46,Jenson Brooksby,42
0.6613,1755,2654,51,Albert Ramos-Vinolas,43
0.6559,1830,2790,47,Alejandro Davidovich Fokina,44
0.6428,1537,2391,45,Pedro Martinez,45
0.6385,1863,2918,52,Sebastian Baez,46
0.6305,1920,3045,55,Diego Schwartzman,47
