pct_return_games_won,games_won_return_games_won,total_games_return_games_won,matches_return_games_won,standing_player2,standing_player_return_games_won
0.346,273,789,58,Novak Djokovic,1
0.3394,242,713,59,Diego Schwartzman,2
0.309,186,602,49,Carlos Alcaraz,3
0.3065,270,881,71,Daniil Medvedev,4
0.2799,241,861,74,Cameron Norrie,5
0.2761,143,518,47,Federico Delbonis,6
0.2758,257,932,74,Alexander Zverev,7
0.2669,213,798,70,Casper Ruud,8
0.2633,163,619,50,Alejandro Davidovich Fokina,9
0.2618,178,680,60,Nikoloz Basilashvili,10
0.2616,219,837,68,Jannik Sinner,11
0.259,172,664,54,Aslan Karatsev,12
0.2587,178,688,54,Roberto Bautista Agut,13
0.2563,143,558,47,Ilya Ivashka,14
0.2538,218,859,71,Andrey Rublev,15
0.2531,226,893,74,Stefanos Tsitsipas,16
0.2481,161,649,49,Marton Fucsovics,17
0.2469,141,571,48,Alex de Minaur,18
0.2461,141,573,49,Sebastian Korda,19
0.2444,153,626,49,Albert Ramos-Vinolas,20
0.2419,134,554,46,Fabio Fognini,21
0.2418,126,521,44,Emil Ruusuvuori,22
0.2296,135,588,49,Laslo Djere,23
0.2271,129,568,54,Pablo Carreno Busta,24
0.227,131,577,48,Tommy Paul,25
0.226,134,593,45,Daniel Evans,26
0.2216,125,564,49,John Millman,27
0.2188,121,553,45,Dominik Koepfer,28
0.2182,161,738,59,Karen Khachanov,29
0.217,115,530,44,Dusan Lajovic,30
0.2167,132,609,51,Marin Cilic,31
0.2144,143,667,53,Denis Shapovalov,32
0.212,155,731,56,Frances Tiafoe,33
0.211,161,763,62,Felix Auger-Aliassime,34
0.2104,133,632,51,Lorenzo Sonego,35
0.209,149,713,53,Matteo Berrettini,36
0.2054,153,745,56,Taylor Fritz,37
0.1968,146,742,62,Alexander Bublik,38
0.1951,142,728,59,Hubert Hurkacz,39
0.1939,121,624,52,Jan-Lennard Struff,40
0.1897,122,643,51,Lloyd Harris,41
