return_standing_player_return,standing_player2,return_rating_return,pct_1st_serve_return_points_won_return,pct_2nd_serve_return_points_won_return,pct_return_games_won_return,pct_break_points_converted_return
1,Diego Schwartzman,163.5,0.353,0.54,0.315,0.427
2,Rafael Nadal,162.6,0.342,0.539,0.31,0.435
3,Bernabe Zapata Miralles,160.1,0.318,0.501,0.273,0.509
4,Novak Djokovic,160.1,0.33,0.56,0.286,0.425
5,Carlos Alcaraz,158.6,0.34,0.534,0.308,0.404
6,Alex de Minaur,158.3,0.331,0.526,0.286,0.44
7,Mikael Ymer,158.2,0.338,0.522,0.296,0.426
8,Alejandro Tabilo,157.8,0.332,0.521,0.29,0.435
9,Daniil Medvedev,154.7,0.317,0.539,0.267,0.424
10,Alexander Zverev,154.1,0.327,0.5,0.261,0.453
11,Francisco Cerundolo,154.1,0.327,0.524,0.276,0.414
12,Cameron Norrie,154.1,0.311,0.526,0.267,0.437
13,Jannik Sinner,153.4,0.323,0.53,0.267,0.414
14,Jenson Brooksby,151.9,0.323,0.498,0.261,0.437
15,Roberto Bautista Agut,151.5,0.3,0.551,0.273,0.391
16,Sebastian Korda,150.9,0.325,0.502,0.265,0.417
17,Miomir Kecmanovic,150.0,0.306,0.531,0.253,0.41
18,Lorenzo Musetti,149.9,0.3,0.5,0.236,0.463
19,Federico Coria,149.3,0.329,0.502,0.253,0.409
20,Botic van de Zandschulp,148.7,0.315,0.503,0.249,0.42
21,Alejandro Davidovich Fokina,148.2,0.318,0.5,0.261,0.403
22,Emil Ruusuvuori,148.1,0.316,0.516,0.252,0.397
23,Mackenzie McDonald,147.5,0.299,0.508,0.242,0.426
24,Sebastian Baez,147.1,0.325,0.508,0.252,0.386
25,Daniel Evans,146.9,0.301,0.51,0.242,0.416
26,Albert Ramos-Vinolas,146.6,0.305,0.512,0.234,0.415
27,Andy Murray,146.1,0.285,0.547,0.236,0.393
28,Filip Krajinovic,146.1,0.266,0.503,0.217,0.475
29,David Goffin,145.7,0.317,0.498,0.253,0.389
30,Cristian Garin,145.3,0.316,0.493,0.245,0.399
31,Jaume Munar,145.2,0.338,0.496,0.256,0.362
32,Taylor Fritz,144.8,0.299,0.523,0.245,0.381
33,Pablo Carreno Busta,144.6,0.298,0.52,0.243,0.385
34,Jack Draper,144.5,0.279,0.523,0.237,0.406
35,Tommy Paul,144.4,0.313,0.496,0.243,0.392
36,Andrey Rublev,144.3,0.299,0.515,0.235,0.394
37,Yoshihito Nishioka,143.9,0.26,0.54,0.223,0.416
38,Federico Delbonis,143.6,0.285,0.473,0.206,0.472
39,Holger Rune,143.3,0.297,0.505,0.222,0.409
40,Alex Molcan,142.9,0.303,0.505,0.227,0.394
41,Marin Cilic,142.2,0.307,0.501,0.228,0.386
42,Ilya Ivashka,141.9,0.289,0.485,0.223,0.422
43,Fabio Fognini,141.7,0.288,0.506,0.236,0.387
44,Taro Daniel,141.6,0.299,0.493,0.212,0.412
45,Stefanos Tsitsipas,141.2,0.286,0.499,0.212,0.415
46,Aslan Karatsev,140.8,0.303,0.493,0.221,0.391
47,Richard Gasquet,140.8,0.286,0.509,0.225,0.388
48,Grigor Dimitrov,140.7,0.3,0.496,0.222,0.389
49,J.J. Wolf,139.9,0.292,0.496,0.22,0.391
50,Pedro Martinez,139.9,0.311,0.507,0.23,0.351
51,Casper Ruud,139.7,0.294,0.503,0.226,0.374
52,Soonwoo Kwon,138.2,0.264,0.514,0.214,0.39
53,Karen Khachanov,138.1,0.282,0.489,0.202,0.408
54,Joao Sousa,138.0,0.301,0.501,0.216,0.362
55,Lorenzo Sonego,138.0,0.307,0.454,0.203,0.416
56,Felix Auger-Aliassime,137.7,0.311,0.479,0.21,0.377
57,Nick Kyrgios,136.7,0.269,0.477,0.195,0.426
58,Alexander Bublik,135.4,0.304,0.458,0.197,0.395
59,Benjamin Bonzi,135.4,0.273,0.509,0.196,0.376
60,Frances Tiafoe,134.4,0.264,0.511,0.188,0.381
61,Dominic Thiem,134.2,0.293,0.478,0.187,0.384
62,Oscar Otte,134.1,0.28,0.478,0.197,0.386
63,Laslo Djere,134.0,0.267,0.469,0.203,0.401
64,Brandon Nakashima,133.6,0.275,0.493,0.185,0.383
65,Adrian Mannarino,133.0,0.275,0.509,0.196,0.35
66,Marton Fucsovics,132.2,0.288,0.487,0.19,0.357
67,Jiri Lehecka,130.8,0.274,0.459,0.185,0.39
68,Thiago Monteiro,130.8,0.247,0.479,0.165,0.417
69,Hubert Hurkacz,130.6,0.27,0.477,0.179,0.38
70,Dusan Lajovic,130.1,0.281,0.483,0.188,0.349
71,Marcos Giron,129.7,0.269,0.46,0.173,0.395
72,Denis Shapovalov,129.5,0.276,0.477,0.183,0.359
73,Ugo Humbert,128.2,0.28,0.468,0.169,0.365
74,Matteo Berrettini,128.1,0.287,0.445,0.179,0.37
75,Nikoloz Basilashvili,125.3,0.248,0.49,0.157,0.358
76,Borna Coric,124.2,0.261,0.489,0.161,0.331
77,Tallon Griekspoor,120.9,0.243,0.499,0.152,0.315
78,Tomas Martin Etcheverry,119.6,0.248,0.442,0.14,0.366
79,Maxime Cressy,119.4,0.243,0.42,0.132,0.399
80,Ben Shelton,119.4,0.255,0.434,0.126,0.379
