pct_2nd_serve_rpw,points_won_2nd_serve_rpw,total_points_2nd_serve_rpw,matches_2nd_serve_rpw,standing_player2,standing_player_2nd_serve_rpw
0.5776,834,1444,46,Novak Djokovic,1
0.5349,850,1589,51,Andrey Rublev,2
