pct_1st_serve_rpw,points_won_1st_serve_rpw,total_points_1st_serve_rpw,matches_1st_serve_rpw,standing_player2,standing_player_1st_serve_rpw
0.3582,1172,3272,58,Novak Djokovic,1
0.3545,1023,2886,59,Diego Schwartzman,2
0.3312,1200,3623,71,Daniil Medvedev,3
0.3312,789,2382,49,Carlos Alcaraz,4
0.3192,721,2259,48,Alex de Minaur,5
0.3176,680,2141,47,Federico Delbonis,6
0.3167,1066,3366,74,Cameron Norrie,7
0.3158,668,2115,46,Fabio Fognini,8
0.3157,765,2423,50,Alejandro Davidovich Fokina,9
0.3147,827,2628,49,Marton Fucsovics,10
0.3137,1233,3930,74,Alexander Zverev,11
0.3137,1051,3350,68,Jannik Sinner,12
0.3136,1159,3696,74,Stefanos Tsitsipas,13
0.313,878,2805,60,Nikoloz Basilashvili,14
0.3129,655,2093,44,Emil Ruusuvuori,15
0.3122,735,2354,49,Sebastian Korda,16
0.3088,819,2652,54,Aslan Karatsev,17
0.3075,715,2325,48,Tommy Paul,18
0.3033,731,2410,49,Laslo Djere,19
0.3021,1046,3463,71,Andrey Rublev,20
0.3014,867,2877,53,Matteo Berrettini,21
0.3009,953,3167,62,Felix Auger-Aliassime,22
0.3006,754,2508,49,Albert Ramos-Vinolas,23
0.2995,952,3179,70,Casper Ruud,24
0.2952,713,2415,45,Daniel Evans,25
0.2938,750,2553,51,Lorenzo Sonego,26
0.2936,652,2221,47,Ilya Ivashka,27
0.2932,635,2166,45,Dominik Koepfer,28
0.293,635,2167,49,John Millman,29
0.2917,720,2468,51,Marin Cilic,30
0.2913,614,2108,44,Dusan Lajovic,31
0.2912,889,3053,59,Karen Khachanov,32
0.2906,781,2688,54,Roberto Bautista Agut,33
0.2877,749,2603,53,Denis Shapovalov,34
0.2833,728,2570,52,Jan-Lennard Struff,35
0.2829,624,2206,54,Pablo Carreno Busta,36
0.2825,802,2839,62,Alexander Bublik,37
0.2813,824,2929,59,Hubert Hurkacz,38
0.2765,815,2948,56,Frances Tiafoe,39
0.2747,797,2901,56,Taylor Fritz,40
0.2619,664,2535,51,Lloyd Harris,41
