return_standing_player_return,standing_player2,return_rating_return,pct_1st_serve_return_points_won_return,pct_2nd_serve_return_points_won_return,pct_return_games_won_return,pct_break_points_converted_return
1,Francisco Cerundolo,196.4,0.373,0.483,0.308,0.8
2,Rafael Nadal,175.6,0.351,0.568,0.344,0.493
3,Diego Schwartzman,173.7,0.344,0.574,0.349,0.47
4,Novak Djokovic,168.8,0.346,0.578,0.329,0.435
5,Roberto Bautista Agut,166.8,0.331,0.581,0.335,0.421
6,Lorenzo Musetti,166.8,0.335,0.537,0.307,0.489
7,Jannik Sinner,160.1,0.337,0.522,0.286,0.456
8,Grigor Dimitrov,159.1,0.326,0.532,0.286,0.447
9,Andrey Rublev,158.6,0.321,0.535,0.286,0.444
10,Daniil Medvedev,156.7,0.314,0.563,0.275,0.415
11,Alejandro Davidovich Fokina,155.1,0.336,0.515,0.288,0.412
12,Alexander Zverev,154.1,0.327,0.508,0.271,0.435
13,Alex de Minaur,152.0,0.316,0.527,0.248,0.429
14,Dominic Thiem,151.0,0.325,0.503,0.261,0.421
15,J.J. Wolf,150.7,0.317,0.436,0.254,0.5
16,Karen Khachanov,149.5,0.283,0.533,0.229,0.45
17,Cristian Garin,149.3,0.31,0.519,0.261,0.403
18,Daniel Evans,148.6,0.312,0.507,0.251,0.416
19,Sebastian Korda,146.9,0.313,0.488,0.258,0.41
20,Aslan Karatsev,146.2,0.293,0.491,0.197,0.481
21,Yoshihito Nishioka,146.0,0.304,0.529,0.255,0.372
22,Adrian Mannarino,144.4,0.301,0.508,0.235,0.4
23,Tommy Paul,144.2,0.275,0.513,0.231,0.423
24,Borna Coric,143.5,0.268,0.51,0.225,0.432
25,Emil Ruusuvuori,143.4,0.3,0.534,0.228,0.372
26,Cameron Norrie,143.3,0.302,0.487,0.233,0.411
27,Pablo Carreno Busta,143.2,0.283,0.523,0.252,0.374
28,Hubert Hurkacz,142.1,0.283,0.506,0.221,0.411
29,Jan-Lennard Struff,140.4,0.289,0.511,0.227,0.377
30,Stefanos Tsitsipas,139.9,0.293,0.499,0.216,0.391
31,Maxime Cressy,139.4,0.228,0.514,0.152,0.5
32,Miomir Kecmanovic,138.5,0.281,0.49,0.213,0.401
33,Carlos Alcaraz,138.5,0.387,0.506,0.25,0.242
34,Denis Shapovalov,138.0,0.299,0.492,0.225,0.364
35,Casper Ruud,137.1,0.29,0.499,0.23,0.352
36,Richard Gasquet,135.1,0.262,0.469,0.208,0.412
37,Frances Tiafoe,135.1,0.284,0.483,0.198,0.386
38,Nick Kyrgios,133.8,0.197,0.509,0.132,0.5
39,Ugo Humbert,132.0,0.288,0.481,0.2,0.351
40,Lorenzo Sonego,130.2,0.278,0.462,0.181,0.381
41,Milos Raonic,129.8,0.271,0.484,0.18,0.363
42,Taylor Fritz,129.5,0.263,0.524,0.188,0.32
43,Felix Auger-Aliassime,128.7,0.292,0.457,0.191,0.347
44,Matteo Berrettini,125.9,0.281,0.482,0.183,0.313
45,Alexander Bublik,120.3,0.284,0.447,0.16,0.312
46,Andy Murray,114.6,0.248,0.435,0.12,0.343
47,Nicolas Jarry,110.0,0.198,0.521,0.114,0.267
48,Tallon Griekspoor,51.0,0.055,0.455,0.0,0.0
