number_aces,matches_aces,standing_player2,standing_player_aces
840,62,Alexander Bublik,1
749,74,Alexander Zverev,2
737,43,Reilly Opelka,3
701,34,John Isner,4
652,71,Daniil Medvedev,5
614,53,Matteo Berrettini,6
580,59,Hubert Hurkacz,7
576,51,Lloyd Harris,8
560,62,Felix Auger-Aliassime,9
546,51,Marin Cilic,10
530,56,Taylor Fritz,11
518,71,Andrey Rublev,12
487,74,Stefanos Tsitsipas,13
465,52,Jan-Lennard Struff,14
464,58,Novak Djokovic,15
440,26,Kevin Anderson,16
428,59,Karen Khachanov,17
428,53,Denis Shapovalov,18
408,43,Alexei Popyrin,19
386,56,Frances Tiafoe,20
380,25,Sam Querrey,21
347,74,Cameron Norrie,22
344,43,Benoit Paire,23
344,70,Casper Ruud,24
341,34,Arthur Rinderknech,25
331,47,Ilya Ivashka,26
325,68,Jannik Sinner,27
320,35,Gael Monfils,28
319,38,Ugo Humbert,29
311,51,Lorenzo Sonego,30
310,42,Jordan Thompson,31
301,29,Feliciano Lopez,32
289,41,James Duckworth,33
274,25,Jiri Vesely,34
266,49,Sebastian Korda,35
248,54,Aslan Karatsev,36
246,30,Aljaz Bedene,37
238,40,Egor Gerasimov,38
238,39,Gianluca Mager,39
236,60,Nikoloz Basilashvili,40
235,37,Jeremy Chardy,41
234,37,Mackenzie McDonald,42
231,49,Laslo Djere,43
230,29,Andy Murray,44
229,43,Marcos Giron,45
216,15,Nick Kyrgios,46
216,29,Brandon Nakashima,47
215,22,Steve Johnson,48
213,22,Vasek Pospisil,49
209,42,Grigor Dimitrov,50
209,23,Pierre-Hugues Herbert,51
206,49,Marton Fucsovics,52
200,12,Maxime Cressy,53
193,48,Tommy Paul,54
192,12,Milos Raonic,55
191,44,Emil Ruusuvuori,56
186,54,Pablo Carreno Busta,57
185,45,Dominik Koepfer,58
182,31,Stefano Travaglia,59
180,37,Cristian Garin,60
179,24,Tennys Sandgren,61
178,54,Roberto Bautista Agut,62
177,45,Daniel Evans,63
175,41,Filip Krajinovic,64
174,25,Botic van de Zandschulp,65
167,22,Peter Gojowczyk,66
162,29,Thiago Monteiro,67
160,32,Soonwoo Kwon,68
158,39,Miomir Kecmanovic,69
153,37,Marco Cecchinato,70
151,49,Carlos Alcaraz,71
149,38,Adrian Mannarino,72
145,48,Alex de Minaur,73
143,29,David Goffin,74
141,44,Dusan Lajovic,75
139,49,Albert Ramos-Vinolas,76
137,19,Lucas Pouille,77
131,20,Andreas Seppi,78
129,20,Denis Kudla,79
128,46,Fabio Fognini,80
128,49,John Millman,81
127,47,Federico Delbonis,82
121,43,Lorenzo Musetti,83
120,23,Facundo Bagnis,84
116,29,Rafael Nadal,85
112,50,Alejandro Davidovich Fokina,86
110,25,Guido Pella,87
109,13,Roger Federer,88
109,6,Ivo Karlovic,89
108,21,Norbert Gombos,90
107,13,Christopher O'Connell,91
102,36,Pedro Martinez,92
101,14,Henri Laaksonen,93
100,43,Kei Nishikori,94
99,29,Richard Gasquet,95
96,20,Pablo Cuevas,96
95,10,Tallon Griekspoor,97
94,11,Jack Sock,98
91,8,Oscar Otte,99
91,13,Yasutaka Uchiyama,100
90,6,Thanasi Kokkinakis,101
90,31,Jaume Munar,102
89,21,Yannick Hanfmann,103
88,59,Diego Schwartzman,104
84,31,Ricardas Berankis,105
83,24,Salvatore Caruso,106
81,9,Borna Coric,107
80,18,Dominic Thiem,108
79,15,Daniel Altmaier,109
79,33,Federico Coria,110
77,9,Benjamin Bonzi,111
77,16,Philipp Kohlschreiber,112
75,9,Jo-Wilfried Tsonga,113
73,9,Mario Vilella Martinez,114
70,35,Mikael Ymer,115
67,22,Daniel Elahi Galan,116
67,20,Holger Rune,117
63,12,Alex Bolt,118
63,11,Max Purcell,119
62,21,Radu Albot,120
62,29,Pablo Andujar,121
62,27,Roberto Carballes Baena,122
62,12,Kamil Majchrzak,123
61,17,Dennis Novak,124
61,7,Dominic Stricker,125
59,6,Stan Wawrinka,126
57,9,Illya Marchenko,127
56,3,Quentin Halys,128
54,22,Jenson Brooksby,129
53,16,Taro Daniel,130
52,25,Corentin Moutet,131
50,33,Yoshihito Nishioka,132
49,14,Carlos Taberner,133
48,15,Mikhail Kukushkin,134
48,7,Jurij Rodionov,135
48,22,Gilles Simon,136
47,11,Matthew Ebden,137
47,7,Bjorn Fratangelo,138
45,5,Christopher Eubanks,139
44,6,Aleksandar Vukic,140
44,15,Bernabe Zapata Miralles,141
43,5,Sebastian Ofner,142
43,6,Roman Safiullin,143
41,4,Maximilian Marterer,144
40,11,Liam Broady,145
40,3,Nicolas Jarry,146
40,12,Alex Molcan,147
39,5,Viktor Troicki,148
39,3,Marco Trungelliti,149
39,10,Fernando Verdasco,150
38,18,Hugo Gaston,151
38,2,Borna Gojo,152
37,7,Evgeny Donskoy,153
37,17,Andrej Martin,154
37,10,Elias Ymer,155
36,4,Robin Haase,156
36,12,Jozef Kovalik,157
35,14,Joao Sousa,158
33,7,Gregoire Barrere,159
33,5,Michael Mmoh,160
31,2,Li Tu,161
30,5,Jack Draper,162
30,9,Ernesto Escobedo,163
29,8,Marc Polmans,164
29,3,Ramkumar Ramanathan,165
28,5,Tomas Machac,166
27,3,Sergiy Stakhovsky,167
25,11,Juan Ignacio Londero,168
25,8,Yuichi Sugita,169
25,6,Alejandro Tabilo,170
24,3,J.J. Wolf,171
23,4,Antoine Hoang,172
22,3,Arthur Cazaux,173
22,13,Francisco Cerundolo,174
