number_aces,matches_aces,standing_player2,standing_player_aces
643,40,Hubert Hurkacz,1
436,50,Taylor Fritz,2
417,34,Alexander Bublik,3
417,49,Andrey Rublev,4
381,28,Quentin Halys,5
376,55,Daniil Medvedev,6
360,46,Stefanos Tsitsipas,7
357,25,Maxime Cressy,8
346,27,Christopher Eubanks,9
344,41,Frances Tiafoe,10
335,41,Alexander Zverev,11
331,28,Alexei Popyrin,12
309,36,Grigor Dimitrov,13
291,34,Nicolas Jarry,14
288,34,Tallon Griekspoor,15
287,13,John Isner,16
282,26,Ben Shelton,17
278,20,Thanasi Kokkinakis,18
271,48,Jannik Sinner,19
270,38,Novak Djokovic,20
256,26,Jan-Lennard Struff,21
255,48,Holger Rune,22
252,34,Karen Khachanov,23
236,24,Felix Auger-Aliassime,24
226,26,Denis Shapovalov,25
225,35,Tomas Martin Etcheverry,26
223,38,Tommy Paul,27
216,32,J.J. Wolf,28
208,43,Cameron Norrie,29
208,25,Stan Wawrinka,30
207,23,Jordan Thompson,31
204,34,Laslo Djere,32
203,37,Jiri Lehecka,33
201,25,Marc-Andrea Huesler,34
200,51,Carlos Alcaraz,35
190,30,Christopher O'Connell,36
185,35,Lorenzo Sonego,37
184,36,Adrian Mannarino,38
184,36,Casper Ruud,39
184,35,Emil Ruusuvuori,40
176,34,Marcos Giron,41
176,19,Sebastian Korda,42
176,26,Jason Kubler,43
175,18,Matteo Berrettini,44
173,19,Oscar Otte,45
166,35,Mackenzie McDonald,46
164,21,Arthur Rinderknech,47
153,30,Botic van de Zandschulp,48
151,28,Yannick Hanfmann,49
150,21,Thiago Monteiro,50
149,11,Yosuke Watanuki,51
148,38,Lorenzo Musetti,52
147,22,Benjamin Bonzi,53
145,20,Ugo Humbert,54
142,24,Aslan Karatsev,55
140,29,Richard Gasquet,56
137,35,Miomir Kecmanovic,57
136,26,Pedro Cachin,58
133,28,Borna Coric,59
128,28,Marton Fucsovics,60
122,33,Gregoire Barrere,61
121,31,Roberto Bautista Agut,62
121,17,Jack Draper,63
121,10,Lloyd Harris,64
