under_pressure_standing_player_underpressure,standing_player2,under_pressure_rating_underpressure,pct_break_points_converted_underpressure,pct_break_points_saved_underpressure,pct_tie_breaks_won_underpressure,pct_deciding_sets_won_underpressure
1,Andy Murray,290.8,0.343,0.565,1.0,1.0
2,Novak Djokovic,287.7,0.435,0.671,0.882,0.889
3,Nick Kyrgios,280.5,0.5,0.722,0.583,1.0
4,Rafael Nadal,246.8,0.493,0.675,0.5,0.8
5,Miomir Kecmanovic,239.1,0.401,0.619,0.571,0.8
6,Diego Schwartzman,238.1,0.47,0.582,0.714,0.615
7,Borna Coric,236.0,0.432,0.624,0.471,0.833
8,Ugo Humbert,233.4,0.351,0.683,0.7,0.6
9,Carlos Alcaraz,232.5,0.242,0.583,1.0,0.5
10,Daniil Medvedev,228.9,0.415,0.637,0.545,0.692
11,Emil Ruusuvuori,228.9,0.372,0.517,0.6,0.8
12,Dominic Thiem,226.8,0.421,0.657,0.607,0.583
13,Cristian Garin,225.1,0.403,0.556,0.6,0.692
14,Andrey Rublev,224.2,0.444,0.638,0.524,0.636
15,Alexander Zverev,222.9,0.435,0.608,0.55,0.636
16,Felix Auger-Aliassime,221.9,0.347,0.663,0.609,0.6
17,Roberto Bautista Agut,221.9,0.421,0.631,0.667,0.5
18,Alexander Bublik,215.9,0.312,0.633,0.5,0.714
19,Pablo Carreno Busta,215.2,0.374,0.622,0.6,0.556
20,Alejandro Davidovich Fokina,214.9,0.412,0.581,0.556,0.6
21,Daniel Evans,214.1,0.416,0.592,0.533,0.6
22,Lorenzo Musetti,211.9,0.489,0.63,1.0,0.0
23,Yoshihito Nishioka,209.9,0.372,0.627,0.5,0.6
24,Jannik Sinner,205.7,0.456,0.657,0.5,0.444
25,Karen Khachanov,205.4,0.45,0.604,0.6,0.4
26,Milos Raonic,203.3,0.363,0.765,0.619,0.286
27,Richard Gasquet,202.4,0.412,0.612,0.667,0.333
28,Lorenzo Sonego,202.3,0.381,0.642,0.5,0.5
29,Hubert Hurkacz,201.8,0.411,0.607,0.5,0.5
30,Grigor Dimitrov,198.9,0.447,0.657,0.5,0.385
31,Aslan Karatsev,196.1,0.481,0.647,0.5,0.333
32,Stefanos Tsitsipas,195.3,0.391,0.642,0.52,0.4
33,Casper Ruud,193.4,0.352,0.638,0.308,0.636
34,Alex de Minaur,193.0,0.429,0.617,0.429,0.455
35,Adrian Mannarino,192.3,0.4,0.605,0.533,0.385
36,Tommy Paul,189.2,0.423,0.59,0.462,0.417
37,Frances Tiafoe,183.9,0.386,0.62,0.583,0.25
38,Denis Shapovalov,172.6,0.364,0.642,0.412,0.308
39,Cameron Norrie,171.2,0.411,0.602,0.143,0.556
40,Matteo Berrettini,169.5,0.313,0.677,0.455,0.25
41,Taylor Fritz,169.3,0.32,0.616,0.313,0.444
42,Jan-Lennard Struff,168.7,0.377,0.602,0.333,0.375
43,Francisco Cerundolo,134.5,0.8,0.545,0.0,0.0
44,Nicolas Jarry,132.7,0.267,0.56,0.5,0.0
45,Maxime Cressy,118.8,0.5,0.688,0.0,0.0
46,J.J. Wolf,97.1,0.5,0.471,0.0,0.0
47,Sebastian Korda,96.4,0.41,0.554,0.0,0.0
48,Tallon Griekspoor,52.9,0.0,0.529,0.0,0.0
