pct_break_point_won,points_won_break_point_won,total_points_break_point_won,matches_break_point_won,standing_player2,standing_player_break_point_won
0.7554,139,184,47,Nick Kyrgios,1
0.7011,183,261,62,Hubert Hurkacz,2
0.6796,227,334,64,Daniil Medvedev,3
0.6721,287,427,81,Felix Auger-Aliassime,4
0.6653,161,242,53,Maxime Cressy,5
0.6628,287,433,83,Stefanos Tsitsipas,6
0.6549,186,284,51,Marin Cilic,7
0.6534,262,401,67,Carlos Alcaraz,8
0.6506,216,332,57,Denis Shapovalov,9
0.6456,235,364,63,Holger Rune,10
0.6404,260,406,61,Karen Khachanov,11
0.6401,265,414,59,Frances Tiafoe,12
0.639,131,205,49,Novak Djokovic,13
0.6361,236,371,71,Andrey Rublev,14
0.6349,233,367,61,Pablo Carreno Busta,15
0.6319,182,288,44,Laslo Djere,16
0.6288,227,361,70,Casper Ruud,17
0.6265,213,340,52,Lorenzo Sonego,18
0.6263,290,463,65,Alex de Minaur,19
0.6261,288,460,72,Cameron Norrie,20
0.6261,221,353,59,Jannik Sinner,21
0.625,210,336,55,Alexander Bublik,22
0.624,229,367,55,Sebastian Korda,23
0.6219,250,402,61,Miomir Kecmanovic,24
0.6216,184,296,58,Brandon Nakashima,25
0.6197,220,355,62,Taylor Fritz,26
0.6184,256,414,51,Albert Ramos-Vinolas,27
0.6166,267,433,62,Botic van de Zandschulp,28
0.6165,254,412,62,Tommy Paul,29
0.6129,171,279,53,Roberto Bautista Agut,30
0.6125,177,289,47,Rafael Nadal,31
0.6107,240,393,54,Mackenzie McDonald,32
0.6047,153,253,48,Grigor Dimitrov,33
0.5995,223,372,46,Aslan Karatsev,34
0.5959,230,386,60,Emil Ruusuvuori,35
0.5959,202,339,55,Daniel Evans,36
0.5955,187,314,52,Adrian Mannarino,37
0.5941,221,372,48,David Goffin,38
0.592,296,500,55,Diego Schwartzman,39
0.5918,187,316,44,Alex Molcan,40
0.5866,227,387,52,Sebastian Baez,41
0.5836,178,305,46,Jenson Brooksby,42
0.5773,209,362,59,Lorenzo Musetti,43
0.5765,196,340,45,Pedro Martinez,44
0.5746,154,268,44,Andy Murray,45
0.5604,167,298,46,Marcos Giron,46
0.5427,197,363,47,Alejandro Davidovich Fokina,47
