pct_break_points_converted,points_won_break_points_converted,total_points_break_points_converted,matches_break_points_converted,standing_player2,standing_player_break_points_converted
0.4655,270,580,71,Daniil Medvedev,1
0.4527,273,603,58,Novak Djokovic,2
0.4522,241,533,74,Cameron Norrie,3
0.4498,242,538,59,Diego Schwartzman,4
0.4494,213,474,70,Casper Ruud,5
0.438,219,500,68,Jannik Sinner,6
0.4376,186,425,49,Carlos Alcaraz,7
0.4325,218,504,71,Andrey Rublev,8
0.432,178,412,54,Roberto Bautista Agut,9
0.431,178,413,60,Nikoloz Basilashvili,10
0.4272,226,529,74,Stefanos Tsitsipas,11
0.4272,129,302,54,Pablo Carreno Busta,12
0.4227,134,317,45,Daniel Evans,13
0.4195,125,298,49,John Millman,14
0.4179,257,615,74,Alexander Zverev,15
0.4149,161,388,49,Marton Fucsovics,16
0.4135,141,341,48,Alex de Minaur,17
0.4098,134,327,46,Fabio Fognini,18
0.4086,143,350,47,Federico Delbonis,19
0.4069,153,376,49,Albert Ramos-Vinolas,20
0.406,149,367,53,Matteo Berrettini,21
0.4028,143,355,47,Ilya Ivashka,22
0.4007,121,302,45,Dominik Koepfer,23
0.3976,163,410,50,Alejandro Davidovich Fokina,24
0.3945,172,436,54,Aslan Karatsev,25
0.3939,143,363,53,Denis Shapovalov,26
0.3917,141,360,49,Sebastian Korda,27
0.3901,126,323,44,Emil Ruusuvuori,28
0.3899,131,336,48,Tommy Paul,29
0.3898,122,313,51,Lloyd Harris,30
0.3894,155,398,56,Frances Tiafoe,31
0.3889,161,414,59,Karen Khachanov,32
0.3883,146,376,62,Alexander Bublik,33
0.3855,133,345,51,Lorenzo Sonego,34
0.3844,153,398,56,Taylor Fritz,35
0.371,161,434,62,Felix Auger-Aliassime,36
0.371,115,310,44,Dusan Lajovic,37
0.3668,135,368,49,Laslo Djere,38
0.3568,132,370,51,Marin Cilic,39
0.3559,142,399,59,Hubert Hurkacz,40
0.327,121,370,52,Jan-Lennard Struff,41
