pct_1st_serve_pw,points_won_1st_serve_pw,total_points_1st_serve_pw,matches_1st_serve_pw,standing_player2,standing_player_1st_serve_pw
0.7896,1753,2220,51,Andrey Rublev,1
0.7539,1734,2300,46,Novak Djokovic,2
