pct_1st_serve,matches_1st_serve,standing_player2,standing_player_1st_serve
0.6877,54,Pablo Carreno Busta,1
0.6804,50,Alejandro Davidovich Fokina,2
0.6787,74,Alexander Zverev,3
0.6772,44,Dusan Lajovic,4
0.6641,51,Lloyd Harris,5
0.662,51,Lorenzo Sonego,6
0.659,54,Roberto Bautista Agut,7
0.6583,74,Cameron Norrie,8
0.6497,49,Sebastian Korda,9
0.6488,58,Novak Djokovic,10
0.6488,44,Emil Ruusuvuori,11
0.643,53,Matteo Berrettini,12
0.6375,70,Casper Ruud,13
0.636,59,Diego Schwartzman,14
0.6344,59,Hubert Hurkacz,15
0.6319,47,Federico Delbonis,16
0.6293,62,Felix Auger-Aliassime,17
0.6279,49,Carlos Alcaraz,18
0.6278,74,Stefanos Tsitsipas,19
0.6271,59,Karen Khachanov,20
0.6265,49,Albert Ramos-Vinolas,21
0.6219,45,Daniel Evans,22
0.6202,49,John Millman,23
0.6191,71,Daniil Medvedev,24
0.6142,45,Dominik Koepfer,25
0.6118,47,Ilya Ivashka,26
0.607,56,Frances Tiafoe,27
0.6055,48,Tommy Paul,28
0.6038,71,Andrey Rublev,29
0.6034,48,Alex de Minaur,30
0.5979,54,Aslan Karatsev,31
0.5961,68,Jannik Sinner,32
0.5956,46,Fabio Fognini,33
0.5953,53,Denis Shapovalov,34
0.5905,49,Laslo Djere,35
0.5904,49,Marton Fucsovics,36
0.5892,56,Taylor Fritz,37
0.5811,51,Marin Cilic,38
0.5724,62,Alexander Bublik,39
0.5677,60,Nikoloz Basilashvili,40
0.5573,52,Jan-Lennard Struff,41
