under_pressure_standing_player_underpressure,standing_player2,under_pressure_rating_underpressure,pct_break_points_converted_underpressure,pct_break_points_saved_underpressure,pct_tie_breaks_won_underpressure,pct_deciding_sets_won_underpressure
1,Matteo Berrettini,259.6,0.403,0.73,0.645,0.818
2,Casper Ruud,247.4,0.449,0.61,0.591,0.824
3,Federico Coria,240.9,0.428,0.587,0.667,0.727
4,Carlos Alcaraz,238.5,0.438,0.603,0.63,0.714
5,Yoshihito Nishioka,237.5,0.335,0.516,0.667,0.857
6,Jordan Thompson,233.6,0.34,0.608,0.619,0.769
7,Novak Djokovic,232.3,0.453,0.659,0.478,0.733
8,Nick Kyrgios,231.8,0.293,0.592,0.833,0.6
9,Ilya Ivashka,231.5,0.404,0.639,0.636,0.636
10,Botic van de Zandschulp,229.3,0.36,0.651,0.615,0.667
11,Jannik Sinner,228.6,0.438,0.66,0.6,0.588
12,Daniil Medvedev,227.7,0.459,0.618,0.45,0.75
13,Jeremy Chardy,226.7,0.395,0.589,0.636,0.647
14,Tallon Griekspoor,224.6,0.4,0.679,0.5,0.667
15,Alexander Zverev,224.4,0.414,0.612,0.676,0.542
16,Nikoloz Basilashvili,222.3,0.432,0.557,0.684,0.55
17,Taylor Fritz,221.0,0.384,0.623,0.571,0.632
18,John Isner,219.7,0.275,0.63,0.667,0.625
19,Pablo Carreno Busta,219.2,0.431,0.655,0.706,0.4
20,John Millman,218.6,0.416,0.571,0.611,0.588
21,Stefanos Tsitsipas,218.4,0.427,0.661,0.536,0.56
22,Sebastian Korda,217.6,0.392,0.665,0.476,0.643
23,Andrey Rublev,216.5,0.436,0.648,0.516,0.565
24,Marcos Giron,215.9,0.39,0.626,0.5,0.643
25,Cameron Norrie,214.7,0.452,0.604,0.5,0.591
26,Lorenzo Musetti,214.0,0.343,0.604,0.667,0.526
27,Alejandro Davidovich Fokina,213.1,0.396,0.579,0.6,0.556
28,Diego Schwartzman,212.9,0.454,0.592,0.583,0.5
29,Maxime Cressy,212.7,0.342,0.629,0.556,0.6
30,Kei Nishikori,212.7,0.387,0.592,0.529,0.619
31,Adrian Mannarino,212.4,0.371,0.599,0.583,0.571
32,Marin Cilic,211.8,0.362,0.634,0.522,0.6
33,Aljaz Bedene,211.6,0.422,0.575,0.563,0.556
34,Ugo Humbert,210.7,0.296,0.664,0.591,0.556
35,Tommy Paul,209.1,0.39,0.59,0.444,0.667
36,Alexei Popyrin,207.9,0.354,0.656,0.657,0.412
