pct_services_games_won,games_won_services_games_won,total_games_services_games_won,matches_services_games_won,standing_player2,standing_player_services_games_won
0.9288,587,632,47,Nick Kyrgios,1
0.9055,747,825,62,Hubert Hurkacz,2
0.8877,640,721,53,Maxime Cressy,3
0.8771,528,602,49,Novak Djokovic,4
0.8637,678,785,64,Daniil Medvedev,5
0.8633,922,1068,83,Stefanos Tsitsipas,6
0.8626,879,1019,81,Felix Auger-Aliassime,7
0.8567,586,684,51,Marin Cilic,8
0.8531,778,912,70,Casper Ruud,9
0.8513,664,780,57,Denis Shapovalov,10
0.848,753,888,71,Andrey Rublev,11
0.8442,607,719,58,Brandon Nakashima,12
0.8438,751,890,67,Carlos Alcaraz,13
0.8423,721,856,62,Taylor Fritz,14
0.8326,557,669,47,Rafael Nadal,15
0.8316,652,784,59,Jannik Sinner,16
0.8307,633,762,63,Holger Rune,17
0.8275,643,777,61,Pablo Carreno Busta,18
0.8239,468,568,48,Grigor Dimitrov,19
0.8232,503,611,53,Roberto Bautista Agut,20
0.8198,664,810,61,Karen Khachanov,21
0.8149,656,805,59,Frances Tiafoe,22
0.8124,550,677,52,Lorenzo Sonego,23
0.8111,541,667,55,Alexander Bublik,24
0.81,452,558,44,Laslo Djere,25
0.8089,728,900,72,Cameron Norrie,26
0.7991,549,687,55,Sebastian Korda,27
0.7974,622,780,62,Tommy Paul,28
0.7952,493,620,52,Adrian Mannarino,29
0.7942,440,554,44,Andy Murray,30
0.7926,581,733,61,Miomir Kecmanovic,31
0.7863,504,641,55,Daniel Evans,32
0.7845,557,710,59,Lorenzo Musetti,33
0.7824,622,795,65,Alex de Minaur,34
0.7765,542,698,60,Emil Ruusuvuori,35
0.7763,576,742,62,Botic van de Zandschulp,36
0.7723,519,672,54,Mackenzie McDonald,37
0.7661,429,560,46,Marcos Giron,38
0.765,420,549,44,Alex Molcan,39
0.75,381,508,46,Jenson Brooksby,40
0.7496,452,603,48,David Goffin,41
0.7492,445,594,46,Aslan Karatsev,42
0.746,464,622,51,Albert Ramos-Vinolas,43
0.7432,463,623,52,Sebastian Baez,44
0.7406,474,640,47,Alejandro Davidovich Fokina,45
0.7363,402,546,45,Pedro Martinez,46
0.6969,469,673,55,Diego Schwartzman,47
