,Label,Score,Score bucket,Feature,Contribution
142,Denis Shapovalov,279.2,279.2,% 1st Serve Points Won,9.31875
143,Denis Shapovalov,279.2,279.2,% 2nd Serve Points Won,4.0124999999999975
144,Denis Shapovalov,279.2,279.2,% Service Games Won,10.160416666666665
145,Denis Shapovalov,279.2,279.2,Avg. Aces/ Match,3.831249999999998
146,Denis Shapovalov,279.2,279.2,Avg. Double Faults/Match,-3.6541666666666655
147,Carlos Alcaraz,278.69999999999993,278.7,Serve Rating,0.0
148,Carlos Alcaraz,278.69999999999993,278.7,% 1st Serve,-0.5020833333333333
149,Carlos Alcaraz,278.69999999999993,278.7,% 1st Serve Points Won,1.3041666666666667
150,Carlos Alcaraz,278.69999999999993,278.7,% 2nd Serve Points Won,8.316666666666668
151,Carlos Alcaraz,278.69999999999993,278.7,% Service Games Won,9.38125
152,Carlos Alcaraz,278.69999999999993,278.7,Avg. Aces/ Match,-3.872916666666665
153,Carlos Alcaraz,278.69999999999993,278.7,Avg. Double Faults/Match,1.2479166666666648
154,Pablo Carreno Busta,278.5,278.5,Serve Rating,0.0
155,Pablo Carreno Busta,278.5,278.5,% 1st Serve,0.5979166666666662
156,Pablo Carreno Busta,278.5,278.5,% 1st Serve Points Won,-0.6625000000000001
157,Pablo Carreno Busta,278.5,278.5,% 2nd Serve Points Won,9.995833333333332
158,Pablo Carreno Busta,278.5,278.5,% Service Games Won,6.495833333333335
159,Pablo Carreno Busta,278.5,278.5,Avg. Aces/ Match,-3.831249999999998
160,Pablo Carreno Busta,278.5,278.5,Avg. Double Faults/Match,2.279166666666665
161,Rafael Nadal,277.9,277.9,Serve Rating,0.0
162,Rafael Nadal,277.9,277.9,% 1st Serve,-2.2249999999999996
163,Rafael Nadal,277.9,277.9,% 1st Serve Points Won,3.6854166666666646
164,Rafael Nadal,277.9,277.9,% 2nd Serve Points Won,7.389583333333333
165,Rafael Nadal,277.9,277.9,% Service Games Won,8.160416666666666
166,Rafael Nadal,277.9,277.9,Avg. Aces/ Match,-2.3270833333333325
167,Rafael Nadal,277.9,277.9,Avg. Double Faults/Match,-0.9333333333333331
168,Borna Coric,276.8,276.8,Serve Rating,0.0
169,Borna Coric,276.8,276.8,% 1st Serve,-6.8687499999999995
170,Borna Coric,276.8,276.8,% 1st Serve Points Won,4.7749999999999995
171,Borna Coric,276.8,276.8,% 2nd Serve Points Won,5.481249999999998
172,Borna Coric,276.8,276.8,% Service Games Won,6.118749999999998
173,Borna Coric,276.8,276.8,Avg. Aces/ Match,1.00625
174,Borna Coric,276.8,276.8,Avg. Double Faults/Match,2.237499999999999
175,Steve Johnson,276.2,276.2,Serve Rating,0.0
176,Steve Johnson,276.2,276.2,% 1st Serve,-14.868750000000004
177,Steve Johnson,276.2,276.2,% 1st Serve Points Won,10.9
178,Steve Johnson,276.2,276.2,% 2nd Serve Points Won,3.3895833333333316
179,Steve Johnson,276.2,276.2,% Service Games Won,8.002083333333335
180,Steve Johnson,276.2,276.2,Avg. Aces/ Match,5.343749999999999
181,Steve Johnson,276.2,276.2,Avg. Double Faults/Match,-1.0166666666666662
182,Lorenzo Sonego,275.7,275.7,Serve Rating,0.0
183,Lorenzo Sonego,275.7,275.7,% 1st Serve,3.658333333333332
184,Lorenzo Sonego,275.7,275.7,% 1st Serve Points Won,1.375
185,Lorenzo Sonego,275.7,275.7,% 2nd Serve Points Won,-0.27708333333333335
186,Lorenzo Sonego,275.7,275.7,% Service Games Won,4.0124999999999975
187,Lorenzo Sonego,275.7,275.7,Avg. Aces/ Match,-0.3791666666666669
188,Lorenzo Sonego,275.7,275.7,Avg. Double Faults/Match,2.360416666666665
189,Karen Khachanov,275.4,275.4,Serve Rating,0.0
190,Karen Khachanov,275.4,275.4,% 1st Serve,-3.75
191,Karen Khachanov,275.4,275.4,% 1st Serve Points Won,3.868749999999999
192,Karen Khachanov,275.4,275.4,% 2nd Serve Points Won,1.147916666666666
193,Karen Khachanov,275.4,275.4,% Service Games Won,5.106249999999998
194,Karen Khachanov,275.4,275.4,Avg. Aces/ Match,2.422916666666666
195,Karen Khachanov,275.4,275.4,Avg. Double Faults/Match,0.9541666666666659
196,Jack Draper,275.09999999999997,275.1,Serve Rating,0.0
197,Jack Draper,275.09999999999997,275.1,% 1st Serve,-12.147916666666662
198,Jack Draper,275.09999999999997,275.1,% 1st Serve Points Won,8.14375
199,Jack Draper,275.09999999999997,275.1,% 2nd Serve Points Won,0.4895833333333331
200,Jack Draper,275.09999999999997,275.1,% Service Games Won,9.637499999999998
201,Jack Draper,275.09999999999997,275.1,Avg. Aces/ Match,2.7187499999999996
202,Jack Draper,275.09999999999997,275.1,Avg. Double Faults/Match,-0.09166666666666667
