,Serve Standing Player,Serve Standing Player2,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2nd Serve Points Won,% Service Games Won,Avg. Aces/ Match,Avg. Double Faults/Match,My score,My Rank,Unnamed: 0,Label,Score,Score bucket,Feature,Contribution,Rank Bucket
33,5,Matteo Berrettini,292,"0,64","0,783","0,516","0,878","12,4","2,1",292.0,5,33,Matteo Berrettini,292.0,292.0,Avg. Aces/ Match,4.849999999999986,<10%
34,5,Matteo Berrettini,292,"0,64","0,783","0,516","0,878","12,4","2,1",292.0,5,34,Matteo Berrettini,292.0,292.0,Avg. Double Faults/Match,0.6124999999999848,<10%
35,6,Nicolas Jarry,"291,8","0,645","0,812","0,49","0,87","12,4","2,3",291.8,6,35,Nicolas Jarry,291.8,291.8,Serve Rating,0.0,<10%
36,6,Nicolas Jarry,"291,8","0,645","0,812","0,49","0,87","12,4","2,3",291.8,6,36,Nicolas Jarry,291.8,291.8,% 1st Serve,-0.4124999999999927,<10%
37,6,Nicolas Jarry,"291,8","0,645","0,812","0,49","0,87","12,4","2,3",291.8,6,37,Nicolas Jarry,291.8,291.8,% 1st Serve Points Won,9.187500000000009,<10%
38,6,Nicolas Jarry,"291,8","0,645","0,812","0,49","0,87","12,4","2,3",291.8,6,38,Nicolas Jarry,291.8,291.8,% 2nd Serve Points Won,-2.737499999999999,<10%
39,6,Nicolas Jarry,"291,8","0,645","0,812","0,49","0,87","12,4","2,3",291.8,6,39,Nicolas Jarry,291.8,291.8,% Service Games Won,6.612500000000007,<10%
40,6,Nicolas Jarry,"291,8","0,645","0,812","0,49","0,87","12,4","2,3",291.8,6,40,Nicolas Jarry,291.8,291.8,Avg. Aces/ Match,4.849999999999987,<10%
41,6,Nicolas Jarry,"291,8","0,645","0,812","0,49","0,87","12,4","2,3",291.8,6,41,Nicolas Jarry,291.8,291.8,Avg. Double Faults/Match,0.4124999999999945,<10%
42,7,Novak Djokovic,"290,7","0,656","0,772","0,562","0,877","5,9","1,9",290.7,7,42,Novak Djokovic,290.7,290.7,Serve Rating,0.0,<10%
43,7,Novak Djokovic,"290,7","0,656","0,772","0,562","0,877","5,9","1,9",290.7,7,43,Novak Djokovic,290.7,290.7,% 1st Serve,0.6874999999999957,<10%
44,7,Novak Djokovic,"290,7","0,656","0,772","0,562","0,877","5,9","1,9",290.7,7,44,Novak Djokovic,290.7,290.7,% 1st Serve Points Won,5.187499999999977,<10%
45,7,Novak Djokovic,"290,7","0,656","0,772","0,562","0,877","5,9","1,9",290.7,7,45,Novak Djokovic,290.7,290.7,% 2nd Serve Points Won,4.462499999999998,<10%
46,7,Novak Djokovic,"290,7","0,656","0,772","0,562","0,877","5,9","1,9",290.7,7,46,Novak Djokovic,290.7,290.7,% Service Games Won,7.312500000000003,<10%
47,7,Novak Djokovic,"290,7","0,656","0,772","0,562","0,877","5,9","1,9",290.7,7,47,Novak Djokovic,290.7,290.7,Avg. Aces/ Match,-1.65000000000001,<10%
48,7,Novak Djokovic,"290,7","0,656","0,772","0,562","0,877","5,9","1,9",290.7,7,48,Novak Djokovic,290.7,290.7,Avg. Double Faults/Match,0.8125000000000264,<10%
49,8,Maxime Cressy,"289,3","0,616","0,783","0,544","0,888","14,5","8,3",289.3,8,49,Maxime Cressy,289.3,289.3,Serve Rating,0.0,<10%
50,8,Maxime Cressy,"289,3","0,616","0,783","0,544","0,888","14,5","8,3",289.3,8,50,Maxime Cressy,289.3,289.3,% 1st Serve,-3.312499999999996,<10%
51,8,Maxime Cressy,"289,3","0,616","0,783","0,544","0,888","14,5","8,3",289.3,8,51,Maxime Cressy,289.3,289.3,% 1st Serve Points Won,6.287500000000002,<10%
52,8,Maxime Cressy,"289,3","0,616","0,783","0,544","0,888","14,5","8,3",289.3,8,52,Maxime Cressy,289.3,289.3,% 2nd Serve Points Won,2.6625000000000045,<10%
53,8,Maxime Cressy,"289,3","0,616","0,783","0,544","0,888","14,5","8,3",289.3,8,53,Maxime Cressy,289.3,289.3,% Service Games Won,8.412499999999996,<10%
54,8,Maxime Cressy,"289,3","0,616","0,783","0,544","0,888","14,5","8,3",289.3,8,54,Maxime Cressy,289.3,289.3,Avg. Aces/ Match,6.950000000000001,<10%
55,8,Maxime Cressy,"289,3","0,616","0,783","0,544","0,888","14,5","8,3",289.3,8,55,Maxime Cressy,289.3,289.3,Avg. Double Faults/Match,-5.587500000000006,<10%
56,10,Stefanos Tsitsipas,"286,6","0,631","0,765","0,552","0,863","7,6","2,1",286.6,9,63,Stefanos Tsitsipas,286.6,286.6,Serve Rating,0.0,<10%
57,10,Stefanos Tsitsipas,"286,6","0,631","0,765","0,552","0,863","7,6","2,1",286.6,9,64,Stefanos Tsitsipas,286.6,286.6,% 1st Serve,-1.8125000000000016,<10%
58,10,Stefanos Tsitsipas,"286,6","0,631","0,765","0,552","0,863","7,6","2,1",286.6,9,65,Stefanos Tsitsipas,286.6,286.6,% 1st Serve Points Won,4.487500000000002,<10%
59,10,Stefanos Tsitsipas,"286,6","0,631","0,765","0,552","0,863","7,6","2,1",286.6,9,66,Stefanos Tsitsipas,286.6,286.6,% 2nd Serve Points Won,3.4625000000000035,<10%
60,10,Stefanos Tsitsipas,"286,6","0,631","0,765","0,552","0,863","7,6","2,1",286.6,9,67,Stefanos Tsitsipas,286.6,286.6,% Service Games Won,5.912500000000001,<10%
61,10,Stefanos Tsitsipas,"286,6","0,631","0,765","0,552","0,863","7,6","2,1",286.6,9,68,Stefanos Tsitsipas,286.6,286.6,Avg. Aces/ Match,0.0500000000000313,<10%
62,10,Stefanos Tsitsipas,"286,6","0,631","0,765","0,552","0,863","7,6","2,1",286.6,9,69,Stefanos Tsitsipas,286.6,286.6,Avg. Double Faults/Match,0.6124999999999848,<10%
63,9,Ben Shelton,"286,6","0,586","0,79","0,543","0,895",10,"4,8",286.59999999999997,10,56,Ben Shelton,286.6,286.6,Serve Rating,0.0,"10-
20%"
64,9,Ben Shelton,"286,6","0,586","0,79","0,543","0,895",10,"4,8",286.59999999999997,10,57,Ben Shelton,286.6,286.6,% 1st Serve,-6.312500000000021,"10-
20%"
65,9,Ben Shelton,"286,6","0,586","0,79","0,543","0,895",10,"4,8",286.59999999999997,10,58,Ben Shelton,286.6,286.6,% 1st Serve Points Won,6.987499999999991,"10-
20%"
66,9,Ben Shelton,"286,6","0,586","0,79","0,543","0,895",10,"4,8",286.59999999999997,10,59,Ben Shelton,286.6,286.6,% 2nd Serve Points Won,2.562500000000002,"10-
20%"
67,9,Ben Shelton,"286,6","0,586","0,79","0,543","0,895",10,"4,8",286.59999999999997,10,60,Ben Shelton,286.6,286.6,% Service Games Won,9.11249999999999,"10-
20%"
68,9,Ben Shelton,"286,6","0,586","0,79","0,543","0,895",10,"4,8",286.59999999999997,10,61,Ben Shelton,286.6,286.6,Avg. Aces/ Match,2.450000000000009,"10-
20%"
69,9,Ben Shelton,"286,6","0,586","0,79","0,543","0,895",10,"4,8",286.59999999999997,10,62,Ben Shelton,286.6,286.6,Avg. Double Faults/Match,-2.087500000000006,"10-
20%"
70,11,Felix Auger-Aliassime,"286,1","0,647","0,771","0,504","0,863",11,"3,4",286.1,11,70,Felix Auger-Aliassime,286.1,286.1,Serve Rating,0.0,"10-
20%"
71,11,Felix Auger-Aliassime,"286,1","0,647","0,771","0,504","0,863",11,"3,4",286.1,11,71,Felix Auger-Aliassime,286.1,286.1,% 1st Serve,-0.2124999999999983,"10-
20%"
72,11,Felix Auger-Aliassime,"286,1","0,647","0,771","0,504","0,863",11,"3,4",286.1,11,72,Felix Auger-Aliassime,286.1,286.1,% 1st Serve Points Won,5.087500000000002,"10-
20%"
73,11,Felix Auger-Aliassime,"286,1","0,647","0,771","0,504","0,863",11,"3,4",286.1,11,73,Felix Auger-Aliassime,286.1,286.1,% 2nd Serve Points Won,-1.3375000000000077,"10-
20%"
74,11,Felix Auger-Aliassime,"286,1","0,647","0,771","0,504","0,863",11,"3,4",286.1,11,74,Felix Auger-Aliassime,286.1,286.1,% Service Games Won,5.912499999999992,"10-
20%"
75,11,Felix Auger-Aliassime,"286,1","0,647","0,771","0,504","0,863",11,"3,4",286.1,11,75,Felix Auger-Aliassime,286.1,286.1,Avg. Aces/ Match,3.4500000000000077,"10-
20%"
76,11,Felix Auger-Aliassime,"286,1","0,647","0,771","0,504","0,863",11,"3,4",286.1,11,76,Felix Auger-Aliassime,286.1,286.1,Avg. Double Faults/Match,-0.6874999999999746,"10-
20%"
77,12,Casper Ruud,"284,1","0,653","0,748","0,549","0,853","5,9","2,1",284.09999999999997,12,77,Casper Ruud,284.1,284.1,Serve Rating,0.0,"10-
20%"
78,12,Casper Ruud,"284,1","0,653","0,748","0,549","0,853","5,9","2,1",284.09999999999997,12,78,Casper Ruud,284.1,284.1,% 1st Serve,0.4625000000000015,"10-
20%"
79,12,Casper Ruud,"284,1","0,653","0,748","0,549","0,853","5,9","2,1",284.09999999999997,12,79,Casper Ruud,284.1,284.1,% 1st Serve Points Won,2.4999999999999942,"10-
20%"
80,12,Casper Ruud,"284,1","0,653","0,748","0,549","0,853","5,9","2,1",284.09999999999997,12,80,Casper Ruud,284.1,284.1,% 2nd Serve Points Won,3.724999999999997,"10-
20%"
81,12,Casper Ruud,"284,1","0,653","0,748","0,549","0,853","5,9","2,1",284.09999999999997,12,81,Casper Ruud,284.1,284.1,% Service Games Won,4.7875000000000005,"10-
20%"
82,12,Casper Ruud,"284,1","0,653","0,748","0,549","0,853","5,9","2,1",284.09999999999997,12,82,Casper Ruud,284.1,284.1,Avg. Aces/ Match,-2.287500000000014,"10-
20%"
83,12,Casper Ruud,"284,1","0,653","0,748","0,549","0,853","5,9","2,1",284.09999999999997,12,83,Casper Ruud,284.1,284.1,Avg. Double Faults/Match,0.7749999999999798,"10-
20%"
