count,mean,std,min,25%,50%,75%,max,feature,strata,batch,qoi,weights,data,group
40.0,0.0003944347469335498,0.0003578274846713025,-0.00020524827293595747,0.00016330067445816451,0.0003029230213991831,0.0007066972317032105,0.0012925957196174458,X,0-20%,NONE,rank_score,equal weights,Standard normal 2 vars,NONE
40.0,0.0007789326117621061,0.0003287635134174886,-0.0003207270447049715,0.0006542087970074982,0.000799793775524349,0.001023194505390086,0.0012512283314683303,Y,0-20%,NONE,rank_score,equal weights,Standard normal 2 vars,NONE
40.0,-6.452487154550461e-05,0.0003618069629000854,-0.0008063187454372444,-0.0003694020740315113,-3.070467987506069e-05,0.0001621399288418747,0.0005615102056811211,X,20-40%,NONE,rank_score,equal weights,Standard normal 2 vars,NONE
40.0,0.0006309106549837724,0.00038181360700855973,-0.00013982802796605736,0.00036963419923785536,0.0006201294798956775,0.0009592688273927409,0.001261092809816603,Y,20-40%,NONE,rank_score,equal weights,Standard normal 2 vars,NONE
40.0,2.805229059355766e-06,0.00042928034533631606,-0.0007884709294811786,-0.0002505363452640712,-2.5032064954700757e-05,0.0001961666464639258,0.0011723095871625307,X,40-60%,NONE,rank_score,equal weights,Standard normal 2 vars,NONE
40.0,1.0627790441096466e-05,0.00046772991080507666,-0.0012071763111457482,-0.00028630256097266225,2.5786443343537317e-05,0.0003159338166663267,0.0008424618011317247,Y,40-60%,NONE,rank_score,equal weights,Standard normal 2 vars,NONE
40.0,-7.553167804593688e-05,0.00039648231407427335,-0.0008983754520386525,-0.00031431730113228284,-9.053244624448408e-05,0.00022410168702572585,0.0007391539693375978,X,60-80%,NONE,rank_score,equal weights,Standard normal 2 vars,NONE
40.0,-0.00046629727199809485,0.0004134042390725204,-0.0011626283733197418,-0.0008549186661316842,-0.0004002886601824749,-0.0002206242525554849,0.0003920703748626246,Y,60-80%,NONE,rank_score,equal weights,Standard normal 2 vars,NONE
40.0,-0.0002571834264014641,0.00036254422828965667,-0.0012074042803825536,-0.0005244934822019043,-0.0002727769532950995,0.00010032984702822173,0.00020825325999570377,X,80-100%,NONE,rank_score,equal weights,Standard normal 2 vars,NONE
40.0,-0.0009541737851888801,0.00030317123773598755,-0.0012389071901833977,-0.0011496158417983406,-0.0010494170346518007,-0.0009593452509056001,-5.652596877297127e-05,Y,80-100%,NONE,rank_score,equal weights,Standard normal 2 vars,NONE
20.0,0.0006031110263330848,0.0008007406354118468,-0.00033455590529205714,0.0001538788641915708,0.00041975562157636867,0.0006711508104543444,0.00266113207981475,X,0-20%,0,rank_score,equal weights,Standard normal 2 vars,NONE
20.0,0.0017061316582115365,0.0007010784609941377,-0.000735180773533953,0.0015517849092432146,0.001851311074794219,0.002135606574902223,0.0023536730378453112,Y,0-20%,0,rank_score,equal weights,Standard normal 2 vars,NONE
20.0,-6.56577979838958e-05,0.0007225752902821931,-0.0015366968502946315,-0.0006499384059292285,-4.067328006668495e-05,0.0003547965244647767,0.0011989610519420994,X,20-40%,0,rank_score,equal weights,Standard normal 2 vars,NONE
20.0,0.0012389986664722602,0.0007444609108661131,-0.000373382740056125,0.0008159348420457792,0.001260617422771268,0.0017653385414437865,0.002428458935509197,Y,20-40%,0,rank_score,equal weights,Standard normal 2 vars,NONE
20.0,5.85450059521668e-05,0.0007258772694455842,-0.0010383968664813383,-0.00042513204994828416,-0.00013569784769091572,0.0004682739335077093,0.0014276152208578374,X,40-60%,0,rank_score,equal weights,Standard normal 2 vars,NONE
20.0,6.832294794788804e-07,0.0008571532667151025,-0.0013624913598046379,-0.0005369904335556107,-4.215379743693536e-05,0.0006092866104128044,0.0015911969181394386,Y,40-60%,0,rank_score,equal weights,Standard normal 2 vars,NONE
20.0,-4.712780158035653e-05,0.000841154470463354,-0.0015010012183824997,-0.0006931076068511154,-7.101731610904218e-05,0.0005241440146313094,0.001554248579255053,X,60-80%,0,rank_score,equal weights,Standard normal 2 vars,NONE
20.0,-0.001025077721080489,0.0009664427210442149,-0.002418983430763495,-0.0018455904107609754,-0.0009859756123769801,-0.0006076357960939053,0.0009558252739098644,Y,60-80%,0,rank_score,equal weights,Standard normal 2 vars,NONE
20.0,-0.0005488704327209994,0.0008584210400928017,-0.0023388679201852506,-0.001240674755585505,-0.00043055065670316253,0.0002766003346363013,0.0004924471605712652,X,80-100%,0,rank_score,equal weights,Standard normal 2 vars,NONE
20.0,-0.0019207358330827866,0.0007551135477437992,-0.0025533928806229862,-0.002407577655432205,-0.002265105222580101,-0.0019071723524854897,-0.00020677862166995238,Y,80-100%,0,rank_score,equal weights,Standard normal 2 vars,NONE
20.0,0.0009742083993692933,0.0005083818289616314,1.8631266377238096e-05,0.0005635398558008153,0.000885554111332986,0.0013946138282025415,0.0017382869383766933,X,0-20%,1,rank_score,equal weights,Standard normal 2 vars,NONE
20.0,0.0013986547661832267,0.0005221229016365056,0.0002260101865748867,0.001150411359572796,0.001420044052572891,0.0016242875309820772,0.002596183347060671,Y,0-20%,1,rank_score,equal weights,Standard normal 2 vars,NONE
20.0,-0.00022395461230164212,0.0007430791152486473,-0.0014561840160285079,-0.0008511858146657413,-9.743364849466786e-05,0.0002784626910250713,0.0007641194371837278,X,20-40%,1,rank_score,equal weights,Standard normal 2 vars,NONE
20.0,0.0013268578506290467,0.0007753317668422194,7.484585760336582e-05,0.0007953451196160307,0.0012671959032446805,0.0020941757427978607,0.0025929245134029113,Y,20-40%,1,rank_score,equal weights,Standard normal 2 vars,NONE
20.0,8.95170936491443e-05,0.0008797736693731851,-0.0014221710782947557,-0.00028679202045684316,4.9642070149623506e-05,0.0003244851439721335,0.0022686785337452027,X,40-60%,1,rank_score,equal weights,Standard normal 2 vars,NONE
20.0,-0.0001109656921216298,0.0009507263614491748,-0.0023206259381674853,-0.00047887843782131476,-1.5443560274978668e-05,0.0005410518189844875,0.0016190488315998364,Y,40-60%,1,rank_score,equal weights,Standard normal 2 vars,NONE
20.0,-0.0003356216837694121,0.0008419873348661375,-0.001872691544657163,-0.0008645141436448864,-0.00027128640770856963,0.00031718415773183555,0.0009520657427991425,X,60-80%,1,rank_score,equal weights,Standard normal 2 vars,NONE
20.0,-0.0007434480002222714,0.0008804904649126569,-0.002038977082099355,-0.00155506377934186,-0.000565138560173737,-0.00026198621423409956,0.0008778674338492596,Y,60-80%,1,rank_score,equal weights,Standard normal 2 vars,NONE
20.0,-0.0005041491969473835,0.0005599330159030292,-0.0013503806677294266,-0.0008905934893916037,-0.0006848155303195271,1.4585951995280306e-05,0.0003140178516421269,X,80-100%,1,rank_score,equal weights,Standard normal 2 vars,NONE
20.0,-0.0018710989244683722,0.00045469291849399774,-0.002384087696242783,-0.002160378736510229,-0.001988855980940088,-0.0018249638176871916,-0.0008096964405614202,Y,80-100%,1,rank_score,equal weights,Standard normal 2 vars,NONE
40.0,0.0004909375000000001,0.001299451275650019,-0.001125,-0.00041874999999999996,-3.75e-05,0.001275,0.003175,X,0-20%,NONE,top_k,equal weights,Standard normal 2 vars,NONE
40.0,0.0005090625,0.0011471606094799053,-0.0013750000000000001,-0.0001875,0.0001875,0.00105,0.003025,Y,0-20%,NONE,top_k,equal weights,Standard normal 2 vars,NONE
40.0,-0.0003221875,0.00040281946531245904,-0.0012374999999999999,-0.0005843749999999999,-0.000275,-7.5e-05,0.00035000000000000005,X,20-40%,NONE,top_k,equal weights,Standard normal 2 vars,NONE
40.0,7.218750000000001e-05,0.0004028194653124591,-0.0006,-0.00017500000000000003,2.5e-05,0.00033437500000000004,0.0009875,Y,20-40%,NONE,top_k,equal weights,Standard normal 2 vars,NONE
40.0,-3.15625e-05,0.0002847342933130141,-0.0004,-0.0001625,-0.000125,-1.6940658945086007e-21,0.001,X,40-60%,NONE,top_k,equal weights,Standard normal 2 vars,NONE
40.0,-0.00021843750000000002,0.0002847342933130141,-0.00125,-0.00025,-0.000125,-8.750000000000001e-05,0.00015,Y,40-60%,NONE,top_k,equal weights,Standard normal 2 vars,NONE
40.0,-3.46875e-05,0.00016247503506456237,-0.0001625,-0.000125,-0.000125,2.8125e-05,0.0005874999999999999,X,60-80%,NONE,top_k,equal weights,Standard normal 2 vars,NONE
