,Count,Institution,Score,Faculty,Count AI,Faculty AI,Count Systems,Faculty Systems,Count Theory,Faculty Theory,Count Interdisciplinary,Faculty Interdisciplinary
24,25,Univ. of California - Irvine,5.1,74,11.6,22.0,5.0,38.0,3.2,8.0,3.5,32.0
25,25,Univ. of California - Santa Barbara,5.1,37,15.9,25.0,4.6,23.0,5.9,6.0,2.6,10.0
26,27,Rutgers University,4.7,49,24.1,28.0,2.8,21.0,3.4,10.0,3.9,23.0
27,28,Duke University,4.5,48,14.1,30.0,3.9,26.0,3.5,9.0,2.9,19.0
28,28,Univ. of California - Riverside,4.5,49,7.2,21.0,6.6,35.0,2.4,7.0,2.1,14.0
29,30,Northwestern University,4.3,46,7.8,24.0,3.8,25.0,3.2,6.0,4.0,21.0
30,30,Pennsylvania State University,4.3,61,14.5,34.0,5.0,38.0,1.7,5.0,2.1,16.0
31,32,University of Utah,4.0,63,7.4,17.0,3.3,35.0,2.5,6.0,4.4,28.0
32,33,George Mason University,3.9,56,9.2,30.0,3.0,33.0,2.0,4.0,4.4,23.0
33,33,Harvard University,3.9,30,11.8,22.0,2.8,13.0,3.9,11.0,3.4,14.0
34,33,Ohio State University,3.9,47,10.8,25.0,4.3,31.0,2.0,4.0,2.1,15.0
35,33,Texas A&M University,3.9,48,11.4,25.0,3.0,18.0,1.6,2.0,4.2,23.0
36,33,Univ. of California - Santa Cruz,3.9,62,12.1,28.0,2.9,31.0,3.5,8.0,3.0,26.0
37,33,Yale University,3.9,41,6.4,21.0,3.1,22.0,7.2,12.0,3.2,13.0
38,39,Boston University,3.7,39,12.6,23.0,3.0,21.0,5.5,10.0,1.8,9.0
39,39,Brown University,3.7,39,10.5,22.0,2.2,19.0,3.4,9.0,4.7,19.0
40,39,North Carolina State University,3.7,53,4.0,24.0,4.6,34.0,2.3,4.0,3.1,28.0
41,42,University at Buffalo,3.6,45,12.8,29.0,3.3,28.0,2.7,4.0,1.9,16.0
42,43,Rice University,3.5,30,10.8,19.0,2.9,20.0,3.2,4.0,2.3,13.0
43,44,University of Colorado Boulder,3.4,63,6.8,24.0,2.4,24.0,2.3,6.0,4.4,39.0
44,44,University of Illinois at Chicago,3.4,46,16.8,24.0,2.2,22.0,3.5,7.0,2.3,17.0
45,44,University of North Carolina,3.4,38,15.3,18.0,2.2,12.0,1.6,2.0,3.4,15.0
46,44,University of Virginia,3.4,39,10.3,25.0,3.2,26.0,2.3,4.0,2.0,12.0
47,48,Arizona State University,3.3,50,13.3,30.0,2.7,24.0,1.5,2.0,2.3,13.0
48,48,University of Minnesota,3.3,40,8.5,22.0,2.8,18.0,1.2,1.0,3.5,19.0
49,48,Virginia Tech,3.3,63,6.3,22.0,3.2,30.0,1.7,1.0,3.1,28.0
50,51,Univ. of California - Davis,3.0,36,5.9,14.0,2.7,21.0,2.5,6.0,2.5,12.0
51,52,Johns Hopkins University,2.9,35,16.6,22.0,1.5,10.0,5.4,5.0,1.8,14.0
52,53,Oregon State University,2.8,30,10.1,17.0,1.8,13.0,3.4,5.0,2.4,15.0
53,54,Indiana University,2.7,51,3.5,18.0,2.5,23.0,1.8,3.0,3.0,22.0
54,55,University of Central Florida,2.6,42,8.2,21.0,2.0,16.0,0.0,0.0,2.5,18.0
55,56,University of Rochester,2.5,28,10.8,21.0,1.8,10.0,1.6,2.0,1.8,9.0
56,57,Michigan State University,2.4,29,11.2,16.0,1.6,10.0,1.1,2.0,2.0,14.0
57,57,Rochester Institute of Technology,2.4,49,6.9,20.0,1.7,15.0,1.3,2.0,2.6,24.0
58,57,University of Pittsburgh,2.4,34,8.2,17.0,2.1,14.0,1.2,1.0,1.6,11.0
59,57,University of Texas at Dallas,2.4,37,12.6,26.0,1.7,13.0,2.0,3.0,1.5,8.0
60,61,Washington University in St. Louis,2.3,25,6.6,16.0,1.7,11.0,1.5,5.0,2.2,12.0
61,62,University of Notre Dame,2.2,25,6.5,14.0,1.8,16.0,0.0,0.0,1.9,11.0
62,63,Univ. of California - Merced,2.1,18,4.5,6.0,1.8,11.0,1.9,1.0,1.8,8.0
63,63,University of Delaware,2.1,27,3.8,12.0,1.7,11.0,1.4,1.0,2.5,10.0
64,63,University of Florida,2.1,28,3.4,14.0,1.8,15.0,1.5,1.0,2.4,14.0
65,63,University of Texas at Arlington,2.1,24,5.9,9.0,2.0,17.0,0.0,0.0,1.6,6.0
66,67,University of Connecticut,2.0,23,3.5,11.0,1.7,13.0,2.1,5.0,1.9,10.0
67,68,Binghamton University,1.9,18,4.2,9.0,2.1,13.0,0.0,0.0,1.3,5.0
68,68,Clemson University,1.9,27,2.0,9.0,1.5,7.0,0.0,0.0,3.2,20.0
69,68,TTI Chicago,1.9,13,7.6,11.0,0.0,0.0,2.6,4.0,1.7,5.0
70,68,Vanderbilt University,1.9,28,2.8,14.0,1.6,13.0,1.2,2.0,2.3,13.0
71,68,Worcester Polytechnic Institute,1.9,23,4.5,9.0,1.4,9.0,0.0,0.0,2.3,14.0
